;Key Phrase_to_localise Sound_file_URL Comments
;
; PLEASE NOTE THAT ALL COMMENTS REFER TO THE TEXT IMMEDIATELY FOLLOWING THE COMMENT.
;
; ONSCREEN TEXT ONLY - THESE ARE NEVER SPOKEN
;
; THERE ARE NO CHARACTER LIMITS
;
;Names in the Santa Romera system.
;
Santa Romera System,"Santa Romera System"
Santa Romera I,"Santa Romera I"
Sebastian's Belt,"Sebastian's Belt"
Breeze,"Breeze"
Breeze Government Medicare Orbital,"Breeze Medicare Orbital"
Breeze Independent Docking Station,"Breeze Docking Station"
Breeze Independent Waystation,"Breeze Waystation"
Crocus,"Crocus"
Crocus Independent Homestead,"Crocus Homestead"
Guru,"Guru"
Guru Government Medicare Orbital,"Guru Medicare Orbital"
Guru Independent Rare Metals Processing Plant,"Guru Processing Plant"
Guru Independent Settlement,"Guru Settlement"
Kiri,"Kiri"
Little Blue,"Little Blue"
Little Blue Government Medicare Orbital,"Sisters of Charity Hospital"
Little Blue Independent Exotic Metals Mine,"Little Blue Exotics Mine"
Nymas,"Nymas"
Nymas MAAS Common Metals Mine,"Nymas Maas Metals Mine"
Nymas MAAS Common Metals Processing Facility,"Nymas Ore Processing Facility"
Nymas MAAS Security Station,"Maas Security Station"
Reservation,"Reservation"
Reservation Government Medicare Orbital,"Reservation Medicare Orbital"
Reservation Independent Settlement,"Reservation Metropolis"
Reservation Independent Waystation,"Reservation Waystation"
Reservation L-Point,"Reservation L-Point"
Saria,"Saria"
Saria Belt Underworld Pirate Base,"Saria Bolt Hole"
The Baron,"The Baron"
The Baron Independent Agricultural Settlement,"The Baron Agri-Settlement"
The Baron Underworld Gangster Hideout,"Baron Shantytown"
Skallywag,"Skallywag"
Skallywag Government Dome Farm,"Skallywag Dome Farm"
Skallywag L-Point,"Skallywag L-Point"
Faith,"Faith"
Kiri-Bi,"Kiri-Bi"
Kiri-Bi L-Point,"Kiri-Bi L-Point"
Uchi-Bi,"Uchi-Bi"
Unity,"Unity"
Freedom,"Freedom"
Hot Rock,"Hot Rock"
Hot Rock Government Medicare Orbital,"Hot Rock Medicare Orbital"
Hot Rock Independent Agricultural Settlement,"Hot Rock Agri-Settlement"
Hot Rock Independent Common Metals Mine,"Hot Rock Metals Mine"
Hot Rock Independent Rare Metals Mine,"Hot Rock Specialist Metals Mine"
Hot Rock Independent Waystation,"Hot Rock Waystation"
Hot Rock L-Point,"Hot Rock L-Point"
Hot Rock Orbital Transfer Station,"Hot Rock Transfer Station"
Brotherhood,"Brotherhood"
Brotherhood Exile Ark,"Brotherhood Ark"
Brotherhood Exile Collective Settlement,"Brotherhood Collective"
Brotherhood Independent Docking Station,"Brotherhood Docking Station"
Brotherhood Independent Settlement,"Brotherhood Township"
Brotherhood Underworld Pirate Outpost,"Brotherhood Bolt Hole"
The Ritz,"The Ritz"
Maxentius,"Maxentius"
Maxentius NOMEX Radioactives Mine,"Maxentius Radioactives Mine"
Maxentius NOMEX Orbital Transfer Station,"Maxentius Transfer Station"
Licinius,"Licinius"
Licinius NOMEX Rare Metals Mine,"Licinius Rare Metals Mine"
Licinius Underworld Gangster Hideout,"Licinius Freetown"
Licinius Nomex Orbital Transfer Station,"Licinius Transfer Station"
Constantine,"Constantine"
Liberty,"Liberty"
Liberty Independent Settlement,"Liberty New Town"
Liberty NOMEX Docking Station,"Liberty Docking Station"
Liberty NOMEX Warehouse,"Liberty Warehouse"
Liberty Government System Administration,"System Administration"
Liberty Military System Defence Station,"System Defence Command"
Liberty Police Base,"Liberty Police Headquarters"
Liberty City,"Liberty City"
Liberty Waystation,"Liberty Waystation"
Liberty System Defense Station,"System Defence Station"
Liberty Marshalling Yard,"Liberty Marshalling Yard"
Liberty MAAS Docking Station,"Maas Docking Station"
Liberty MAAS Warehousing,"Maas Warehousing"
Liberty Network54 Transmittion Station,"Network159 Transmitter"
Liberty Infonet Transmittion Station,"Liberty InfiroNet Transmitter"
Libery Beanstalk,"Liberty Beanstalk"
Libery Beanstalk,"Liberty Transfer Station"
Snowball,"Snowball"
Liberty L-Point,"Liberty L-Point"
Jump Accelerator,"Jump Accelerator"
Super Freighter Service Depot,"Super Freighter Service Depot"
Snowball Independent Water Mine,"Snowball Water Mine"
Snowball Independent Transfer Station,"Snowball Transfer Station"
Mercy,"Mercy"
Mercy NOMEX Fusionable Gases Mine,"Mercy Gas Mine"
Jewel,"Jewel"
Jewel Independent Homestead,"Jewel Homestead"
Gem,"Gem"
Gem Government Medicare Orbital,"Gem Medicare Orbital"
Gem Independent Settlement,"Gem Township"
Gem Transfer Station,"Gem Transfer Station"
Grace,"Grace"
Grace MAAS Fusionable Gases Processing Plant,"Grace Fusionable Gas Processor"
Grace MAAS Organics Mine,"Grace Organics Mine"
Grace MAAS Organics Processing Plant,"Grace Organics Processor"
