;
; Localised text for Indies vs Corporates piracy game
;
; 
mp_piracy_indies,"INDIES"
mp_piracy_corporates,"CORPORATES"
mp_piracy_joined_indies, "JOINED THE INDIES"
mp_piracy_joined_corporates, "JOINED THE CORPORATES"
mp_piracy_cargo_saved,"CARGO HAS BEEN SAVED"
mp_piracy_cargo_pirated, "PIRATED CARGO: "
mp_piracy_score_cargo,"CARGO"
mp_piracy_score_cargo_totals,"CARGO TOTALS"
mp_piracy_score_cargo_saved,"CARGO SAVED: "
mp_piracy_score_cargo_pirated,"CARGO PIRATED: "
mp_piracy_score_corporates_win, "CORPORATES WIN"
mp_piracy_score_indies_win, "INDIES WIN"


