; FILE: DIn.csv,
; Key,Text for Localisation
3,
4,"They came...just like they came to every frontier mankind has ever had: men, women and children left the safety of home and came to the cruellest edge of space. They came looking for opportunity: a chance to make it big; a lucky strike. Engineers, traders and miners came in their thousands, to a new place where just a little hardship would earn them a better life.  After all, justice dictates that is exactly what should happen. But here, on the very rim of known space, justice is a long way away."
5,
6,Infogrames presents
7,
8,A Particle Systems Game
9,
10,ASTEROID
11,
12,COMMON METAL MINE
13,
14,Hey! Watch it!
15,
16,"Sorry Cal, must be getting old. You move pretty fast in your old age."
17,
18,"Ha ha, very funny. So what d'you get me, then?"
19,
20,"Oh, will you look at that, I've lost the drill bit again, I'm gonna have to burn it out. Can you fix me the lance?"
21,
22,"Hmm, okay... "
23,
24,"We've got plenty more bits, why don't you just fit another? It'll take an age to get that one out."
25,
26,I can't afford to leave it there.
27,
28,Locked and loaded!
29,
30,"Thanks, that should do the trick. Hmm."
31,
32,"Cal, you knock off now - you get yourself back home before it gets too busy."
33,
34,But I want to stay and help out.
35,
36,"You've been a big help but I'm just about finished now. Anyway with it being your birthday and all... Well, you never know what might be waiting for you."
37,
38,O-oh - so you have got me something! What is it?
39,
40,Go home and you'll see.
41,
42,Anyhow I've got some blasting to do and I need you out of the way.
43,
44,"Okay. Thanks dad, I'll see you later, yeah?"
45,
46,"Well, I just hope you two'll get along..."
47,
48,"INDEPENDENT MINING COLONY SITUATED IN THE BADLANDS CLUSTER. POPULATION: 499,956. YEAR: 2378"
49,
50,"Good day, Mister Johnston, it's Caleb Maas. I believe we have unfinished business."
51,
52,Caleb who?
53,
54,This vessel is registered to a Mr Felix Johnston?
55,
56,"Oh, that's be my dad. He's down at the mineface."
57,
58,You're welcome.
59,
60,Weird...
61,
62,Aah!
63,
64,"Ah, Mr Cal Johnston I presume? What are you doing on your backside? Well boy, do you speak?"
65,
66,Of course I can speak! Who are you?
67,
68,"Well, let me introduce myself. My name is Jefferson Clay; I was born more than two hundred years ago. It was your father's final wish, rest his soul, that I should - "
69,
70,"What do you mean, final wish? Y-you're talking like he's dead or something. Look, if this is some kind of joke then it's not very funny. I've just left my dad back at the mineface - he said..."
71,
72,Cal! Damn it!
73,
74,"Mr Johnston, I thought I'd come and pay you a visit."
75,
76,Hello Caleb; I'm surprised that you do this sort of work yourself.
77,
78,"Well, in your case I'm making an exception. Our loan records say that we haven't received a payment from you for...three months. Where's my money, Felix?"
79,
80,"Maas, we've been here before: I've paid for this ship ten times over. The matter is closed. Now if you don't mind, I've got a job to do."
81,
82,"I'm sorry to say I had anticipated this response, and in these situations we have very clear instructions to, uh, close your account. Take him down."
83,
84,That's what I thought you'd say.
85,Armed
86,Aaah!
87,
88,"Dad! Come in, dad."
89,
90,I'm sorry son.
91,
92,Please clear the area
93,Warning. Warning.
94,
95,Wha-at?
96,
97,"Dad! Come in, dad. Can you hear me? Why aren't you answering?"
98,
99,NOOOO!
100,
101,"My father died and took some gangsters down with him. Hoffer's Gap had itself a new orphan, but that wasn't so unusual - like any frontier town, the only guy who made a regular living was the undertaker. He'd left me Clay as a sort of surrogate parent. He was one hell of a lousy babysitter."
102,
103,The Edge Of Chaos.
