; FILE: DLog#4.csv,
; Key,
; FILE NAME,GERMAN TRANSLATION
;,
;,
,
E_AutopilotApproachEngaged,AUTOPILOT AUF ANFLUG
E_AutopilotFormateEngaged,AUTOPILOT AUF FORMATION
E_AutopilotDockEngaged,AUTOPILOT AUF ANDOCKEN
E_AutopilotPursuitEngaged,AUTOPILOT AUF VERFOLGUNG
E_NoPursuitProgram,VERFOLGUNGS-SOFTWARE NICHT INSTALLIERT
E_AutopilotDisengaged,AUTOPILOT AUS
E_NoTargetForAutopilot,KEIN ZIEL FÜR AUTOPILOT
E_NoDockportAvailable,KEINE ANDOCKLUKE VERFÜGBAR
E_AutopilotTargetLost,AUTOPILOT-ZIEL VERLOREN

E_FlightAssistDisengaged,FLUGASSISTENT DEAKTIVIERT
E_FlightAssistEngaged,FLUGASSISTENT AKTIVIERT
E_ControlOverrideDocked,NICHT MÖGLICH - ANGEDOCKT
E_Undocking,ABKOPPELN EINGELEITET
E_NotDocked,NICHT ANGEDOCKT
E_DockportNotReady,ANDOCKLUKE NICHT BEREIT
E_NoCompatiblePorts,ACHTUNG: KEINE KOMPATIBLEN LUKEN VERFÜGBAR

E_LDSInhibited,ACHTUNG: LDS-ANTRIEBSFELD GEHEMMT
E_LDSRunning,LDS-ANTRIEB LÄUFT
E_LDSDamaged,ACHTUNG: LDS-ANTRIEB BESCHÄDIGT
E_LDSAvoidance,AUSWEICHEN

E_CapsuleDriveCharging,HYPERANTRIEB LÄDT
E_CapsuleDriveCharged,HYPERANTRIEB GELADEN
E_EnteringLagrangePoint,EINTRITT IN HYPERRAUM
E_ExitingLagrangePoint,AUSTRITT AUS HYPERRAUM
E_NoLPointRoute,ACHTUNG: KEINE L-PUNKT-ROUTE ZUM ZIEL
E_UsingLPRoute,FLUG ÜBER
E_QueuingForLP,WARTEN AUF FLUG NACH

E_WeaponDamaged,ACHTUNG: WAFFEN BESCHÄDIGT
E_WeaponEmpty,ACHTUNG: WAFFEN LEER
E_CannotFireInLDS,ACHTUNG: FEUER IN LDS NICHT MÖGLICH
E_MissileAway,RAKETE GESTARTET
E_RapidFireEnabled,SCHNELLFEUER AKTIVIERT
E_RapidFireDisabled,SCHNELLFEUER DEAKTIVIERT

E_AimAssistEnabled,VISIERASSISTENT AKTIVIERT
E_AimAssistDisabled,VISIERASSISTENT DEAKTIVIERT
E_TargetAssistEnabled,ZIELASSISTENT AKTIVIERT
E_TargetAssistDisabled,ZIELASSISTENT DEAKTIVIERT

E_EnteringLDSIRegion,EINTRITT IN LDS-BLOCKIERFELD
E_LeavingLDSIRegion,AUSTRITT AUS LDS-BLOCKIERFELD
E_EnteringTrafficControlRegion,EINTRITT IN HAFENBEREICH - TEMPOLIMIT BEACHTEN
