a0_master_dialogue_young_cal_its_very_dark_in_here_clay,"Äh... Es ist total dunkel, Clay. Bist du sicher, dass hier alles in Ordnung ist?"
a0_master_dialogue_clay_yeah_i_think_theres_a_power_fault_somewhere,Hmm... Die Station wird wohl mit Notstrom versorgt. Siehst du die Funktionsanzeige dort? Was steht da?
a0_master_dialogue_young_cal_it_says_fuel_rod_malfunction,"Da steht ""Funktionsstörung Brennstab""... Ist das schlimm?"
a0_master_dialogue_clay_sure_is_it_means_we_need_to_find_some_new_rods_from_somewhere_before,"Das kann man wohl sagen, Kleiner! Um die Basis wieder funktionstüchtig zu machen, brauchen wir einen ganzen Satz neuer Brennstäbe."
a0_master_dialogue_clay_right_before,"Mit der Notbeleuchtung wirkt dieser Ort richtig unheimlich... Ich denke, wir sollten lieber von hier abhauen und uns in ein Schiff setzen... Ich zeig dir, wie man die Storm Petrel fliegt, ja? Gleich hinter der Basis ist ein Übungsgelände. Deine Großmutter hat es errichtet, um ihre Leute zu Spitzenpiloten auszubilden, bevor sie in die große weite Welt zogen. Na, wie wär's?"
a0_master_dialogue_young_cal_so_grandma_was_a_space_pirate,Grandma war eine Weltraumpiratin? Cool! Warum hat mir Dad nie was davon erzählt? Das ist doch viel spannender als dieses langweilige Minenarbeiterdasein!
a0_master_dialogue_clay_you_gotta_understand_cal_that_your_dad_and_your_grandma,"Äh... Cal, das musst du verstehen. Dein Vater und deine Großmutter waren nie einer Meinung bezüglich... naja... ALLEM. Und dein Vater wollte dir geben, was er selbst nie hatte: ein echtes Zuhause."
a0_master_dialogue_young_cal_and_look_where_that_get_him,"Na prima! Und was hat ihm sein echtes Zuhause gebracht? Schulden bei diesem Maas! Ich wünschte, er wäre ein Pirat gewesen... wie Grandma! Dann wäre er vielleicht nicht... dann wäre Maas jetzt vielleicht tot!"
a0_master_dialogue_clay_listen_kid_your_father,"Ich sag' dir mal was, Kleiner... Felix Johnston war ein tapferer Mann und ein guter Vater. Minenarbeiter ist vielleicht nicht gerade der spannendste und lukrativste Beruf, das stimmt schon... Aber dein Vater war immerhin immer für dich da. Weltraumpiraterie mag sich toll und spannend anhören, und vielleicht ist es das auch, aber denk auch daran, was in der E-Mail deiner Großmutter steht: Alles, was wir wollen, hat seinen Preis. Vielleicht wirst du eines Tages zu schätzen wissen, was dein Vater für dich getan hat, und dann wirst du stolz auf ihn sein."
a0_master_dialogue_clay_hey_maybe,"Hey, Junge, vielleicht wär's jetzt an der Zeit, zum Schrottplatz zurückzufliegen und nach einem schönen neuen Reaktor für die Basis zu suchen."
a0_master_dialogue_clay_well_this_is_the_nerve_centre_of_the_base,"Das ist das Nervenzentrum der Station deiner Großmutter. Von hier aus hast du Zugriff auf jeden Bereich und jedes System... das heißt, du HÄTTEST, wenn alles funktionieren würde! Ein paar Sachen scheinen allerdings noch intakt zu sein. Versuch mal, den Hangar anzuschauen."
a0_master_dialogue_clay_heres_the_hanger,"Das ist der Hangar der Basis. Deine Großmutter hatte hier mal fast DREISSIG Schiffe - ihre eigene Flotte! Sieht jetzt ein bisschen leer aus, nur die alte Kommandokapsel und die Storm Petrel sind noch da..."
a0_master_dialogue_clay_the_hanger_is_where_you_can_access_all_the_systems_for_fitting_out_a_ship,"Vom Hangar aus hast du Zugang zu allen Systemen, die du zum Ausrüsten eines Schiffes brauchst - das ist die Ausstattung. Und du kannst die Ladeliste einsehen, die dir anzeigt, womit du jedes deiner Schiffe ausgestattet hast.   "
a0_master_dialogue_young_cal_wow_look_at_that_ship,Boah! Sieh dir das Schiff an! War das Grandmas?
a0_master_dialogue_clay_yeah_thats_the_storm_petrol,"Jawohl... Das ist die Storm Petrel - war damals der Schrecken des Weltraums! Mann, das weckt Erinnerungen... Wir hatten's damals so gut..."
a0_master_dialogue_young_cal_can_i_fly_it,Ich will damit fliegen! OK?
a0_master_dialogue_clay_sure_you_can_but_lets_take_things_one_step_at_a_time,"Klar, kannst du sie fliegen, aber immer schön eins nach dem andern. Zuerst müssen wir die Basis auf Vordermann bringen. Danach hast du genug Zeit, in deinem eigenen Kampfschiff rumzurasen!"
a0_master_dialogue_clay_here_you_can_select_the_ship,"Hier kannst du wählen, welches Schiff im Hangar du ausstatten und fliegen willst."
