; FILE: Dact0_mission20_demo_training.csv,
; Key,GERMAN TRANSLATION
a0_m20_dialogue_cal_c1_option1_start,Lass mich die Strecke fliegen!
a0_m20_dialogue_cal_c1_option2_rules,Erklär mir die Regeln.
a0_m20_dialogue_cal_c1_option3_hi,Sag mir die Bestzeit!
a0_m20_dialogue_cal_c1_option4_nothing,Ach nichts.
a0_m20_dialogue_cal_c1_option5_nothing,Ich möchte gegen eine Drohne im Rennen antreten...
a0_m20_text_c1_option6_hud_tour,HUD-Einführung
a0_m20_dialogue_cal_c1_option6_hud_tour,Kannst du mir das HUD erklären?
a0_m20_dialogue_clay_sure_first,"Aber klar doch, Junge, zunächst zeige ich dir die wichtigsten Bestandteile des HUD....."
a0_m20_dialogue_clay_top_right,Siehst du das blinkende Licht rechts oben auf dem Schirm? Das nennt man Globus. Darauf werden Kontakte in deiner Nähe im dreidimensionalen Raum um dich herum angezeigt.
a0_m20_dialogue_clay_bottom_right,"Rechts unten auf dem Schirm ist die Kontaktliste, auf der Schiffe in der Nähe, Stationen oder einfach Streckenpunkte angezeigt werden. Darauf kommen wir später zurück..."
a0_m20_dialogue_clay_top_left,Links oben siehst du das Multifunktionsdisplay. Es bietet Einzelheiten zu deinem aktuellen Ziel und andere wichtige Informationen.
a0_m20_dialogue_clay_under_top_left,"Darunter findest du die Anzeige gerade gewählter Waffen. Hier wird der Waffentyp angezeigt, den du benutzt und wie viel Munition noch übrig ist."
a0_m20_dialogue_clay_hud_menu,"Gut, sehen wir uns das HUD-Menü an. Du kannst es mit dem Joystick Hat oder über die Cursorpfeile aufrufen..."
a0_m20_dialogue_clay_hud_select,"Dies ist das HUD-Hauptmenü. Von hier aus hast du Zugang zum Maschinenraum-Bildschirm ( nach oben bewegen ), zum Waffen-Menü ( nach links bewegen ), zum Befehle-Menü ( nach unten bewegen ) und zum Navigationsmenü ( nach rechts bewegen )."
a0_m20_dialogue_clay_as_you,"Während du dir das HUD ansiehst, erkläre ich dir das Menü. Wenn du diese Einführung abbrechen willst, verlasse einfach das HUD mithilfe der Abbruch-Taste."
a0_m20_dialogue_clay_eng_screen,Dies ist der Maschinenraum-Bildschirm. Von hier aus überprüfst du die Reparaturzustände deiner Schiffssysteme und leitest Energie an deine Hauptsysteme. 
a0_m20_dialogue_clay_wep_menu,Dies ist das Waffen-Menü. Hier kannst du deinen aktuellen Kontaktfilter vom Filter-Menü einschalten.
a0_m20_dialogue_clay_cmd_menu,Dies ist das Befehle-Menü. Von hier aus kannst du das Logbuch oder die Einsatzziele wählen oder zum Kommunikationsmenü gehen.
a0_m20_dialogue_clay_log_screen,Dies ist der Logbuch-Bildschirm. Im Spiel zeichnet er alle wichtigen Vorkommnisse inklusive Dialog auf.
a0_m20_dialogue_clay_objective_screen,"Dies ist der Bildschirm Einsatzziele. Alle aktuellen Einsatzziele sind hier aufgeführt, egal ob sie bereits erfüllt sind oder nicht."
a0_m20_dialogue_clay_comms_menu,Dies ist das Kommunikationsmenü. Von hier aus schickst du Befehle an dir unterstellte Schiffe.
a0_m20_dialogue_clay_nav_menu,"Dies ist das Navigationsmenü. Von hier aus kannst du von Stationen und anderen Schiffen abdocken, das Autopilot-Menü aufrufen oder die Sternkarte wählen."
a0_m20_dialogue_clay_starmap,"Dies ist die Sternkarte. Von diesem Bildschirm aus kannst du dir die verschiedenen Systeme ansehen und Zielstreckenpunkte wählen, zu denen du fliegen willst."
a0_m20_dialogue_clay_autop,"Dies ist das Autopilot-Menü. Von hier aus kannst du jeden Autopiloten des Schiffs wählen, der gerade installiert ist."
a0_m20_text_c2_option1_yes,Ja
a0_m20_dialogue_cal_c2_option1_yes,"Ja, mach weiter."
a0_m20_text_c2_option2_no,Nein
a0_m20_dialogue_cal_c2_option2_no,"Nein, ich glaube ich habe verstanden."
a0_m20_dialogue_clay_c2_do_you,Möchtest du die HUD-Einführung fortsetzen?
