; FILE: Dact1_master_addendum.csv,
; Key,
; FILE NAME,GERMAN TRANSLATION
a1_master_dialogue_cal_hey_anyone_home,Ist irgendwer zu Hause?
a1_master_dialogue_cal_clay_its_me_cal,"Hey, Clay, ich bin's - Cal, ich bin wieder da. Clay... Bist du da?"
a1_master_dialogue_clay_thats_it_fifteen_years_and_you_come_back_with_just_a_hi_honey_im_home,"Natürlich bin ich da. Fünfzehn Jahre und du kannst nicht mehr sagen als 'hallo, ich bin wieder da' - wo zum Teufel hast du gesteckt?"
a1_master_dialogue_cal_er_its_a_long_story,"Äh, das ist 'ne lange Geschichte..."
a1_master_dialogue_clay_ill_give_you_long_story,"Ne lange Geschichte? Ich geb dir gleich 'ne lange Geschichte.  Ich könnte Dir zum Beispiel erzählen, wie ich hier fünfzehn Jahre gesessen habe mit niemandem außer der Kaffeemaschine als Gesellschaft.  Oh Mann, du gehst nur mal gerade einen ganz simplen Job erledigen und schwupp fünfzehn Jahre Funkstille! Wer sind diese Witzfiguren überhaupt?"
a1_master_dialogue_cal_sorry_clay_but_i_had_run_in_with_kaleb_maas,"Tut mir wirklich leid, aber ich hatte eine Begegnung mit Caleb Maas in der Nähe von Dads Haus. Man hat mich geschnappt und im örtlichen Gefängnis eingelocht. Das sind meine Kumpels, wir sind gerade ausgebrochen und ich......"
a1_master_dialogue_clay_oh_right_well_i_guess_you_guys_better_make_yourself_at_home,"Verstehe, naja, dann macht's euch mal gemütlich...."
a1_master_dialogue_victim_question_1,Bleiben Sie bitte auf Distanz und nennen Sie Ihr Anleigen.
a1_master_dialogue_jafs_mail_from_stepsons,"Wir haben gerade eine E-Mail gekriegt, die dich bestimmt interessiert - scheinbar haben wir die Stepsons ganz schön beeindruckt...."
