; FILE: Dact1_master_addendum3.csv,
; Key,GERMAN TRANSLATION
;,
a1_master_dialogue_clay_its_a_good,"Ja, Smith kann den UCP-Scanner in deiner Kommandokapsel so einstellen, dass du Frachtkapseln markieren kannst, wenn sie angepeilt sind. Er müsste auch eine Verknüpfung zu deinem 'Befehle'-Menü herstellen können, damit du Jafs zum Abholen rufen kannst."
a1_master_dialogue_clay_well_done,"Gut gemacht, Junge. Du hast sie dazu gebracht, ihre Ladung aufzugeben.... Markiere jetzt alles, was du davon haben willst und rufe Jafs mit der Funktion 'Jafs rufen' im Abschnitt 'Befehle' deines HUD-Menüs zum Abholen."
a1_master_dialogue_clay_call_jafs,"Also, Junge, du hast eine volle Ladung Kapseln. Ruf jetzt Jafs zum Einsammeln."
a1_master_dialogue_clay_good_comment_1,Sehr gut.... Dafür kriegen wir ein schönes Sümmchen....
a1_master_dialogue_clay_medium_comment_1,"Hmmmm, nicht schlecht..."
a1_master_dialogue_clay_medium_comment_2,Keine schlechte Ausbeute...
a1_master_dialogue_clay_medium_comment_3,Dafür kriegen wir einen anständigen Preis auf dem Schwarzmarkt....
a1_master_dialogue_clay_bad_comment_1,Was?!? Das ist doch nur ein Haufen Müll!
a1_master_dialogue_clay_bad_comment_2,"Komm schon Cal, wir brauchen bessere Ware...."
a1_master_dialogue_clay_bad_comment_3,Was sollen wir denn damit anfangen?
a1_master_dialogue_clay_get_a_move_on,"Los, Cal, markier die Kapseln - wir wollen doch nicht, dass sie den ganzen Tag hier rumliegen....."
a1_master_dialogue_clay_call_jafs_long,"Worauf wartest du noch??! Lass uns Jafs rufen, um sie einzusammeln...."
a1_master_dialogue_clay_end_speech,"Na, Junge, das war wohl dein erster echter Piratenfang, was? Nicht schlecht für einen Anfänger...."
a1_master_dialogue_clay_go_back,"He, wo willst du denn hin?? Du hast die Fracht noch nicht eingesammelt!"
a1_master_dialogue_clay_end_speech2,"Bild dir bloß nichts darauf ein - wenn wir hier auf einen grünen Zweig kommen wollen, haben wir noch einiges zu tun....."
