
a2_master_stc_control,"RFK-Station, Eureka"
a2_master_dialogue_clay_this_place_was_a_snake_pit,"Das Ritz war schon zu Zeiten deiner Großmutter eine Schlangengrube, und anscheinend hat sich daran nichts geändert. Sei also vorsichtig!"
a2_master_dialogue_indigo_word_has_passed_down,"Meine Vorgesetzten bei der MCA haben mich angewiesen, 'Mr. Cal Johnston jede Ehre zu erweisen und seinen Anliegen nachzukommen'. Offen gesagt, Mr. Johnston, können mich meine Vorgesetzten mal gern haben. Wir haben alle Hände voll damit zu tun, unsere Nachschubwege nach Mwari offen zu halten. Ich habe weder die Zeit noch die Mittel, einem dahergelaufenen Typen mit guten Beziehungen zu den Bossen auszuhelfen. Also machen Sie's kurz. Was wollen Sie?"
a2_master_option_cal_problems_with_marauders,Wir könnten Ihre Hilfe gebrauchen.
a2_master_dialogue_cal_problems_with_marauders,Wir könnten Ihre Hilfe gebrauchen. Wir haben Ärger mit den Maraudern.
a2_master_dialogue_indigo_well_if_you_hadnt_noticed,"Ach ja? Den haben wir auch! Die Marauder belagern Mwari! Meine Leute verhungern, und die Regierung des Sternhaufens macht keinen Finger krumm, um uns zu helfen. Alle Mittel, die uns bleiben, müssen in die Verteidigung gesteckt werden. Wir zahlen uns dumm und dämlich, um Abschaum wie den hier im Ritz anzuheuern! Es tut mir Leid, Mr. Johnston, aber wir werden Ihnen nicht helfen. Und wenn mich meine Vorgesetzten unehrenhaft entlassen wollen, nur weil mir meine Leute wichtiger sind als Ihre, dann sollen sie das verdammt nochmal tun!"
a2_master_dialogue_cal_just_curious,"Ich wollte eigentlich nur wissen, was hier in der Gegend los ist."
a2_master_dialogue_indigo_this_fleapit,"Wir versuchen, die Verteidigung von Mwari von diesem reizenden Etablissement aus zu organisieren. Alles, was die MCA noch tun kann, ist von dieser Spelunke aus Beistand zur Rettung von Mwari zu koordinieren. Zumindest seit die Regierung des Sternhaufens  beschlossen hat, dass sie das Elend Mwaris nichts angeht. Die MCA heuert jetzt den Abschaum an, der im Ritz rumhängt, um Hilfskonvois durch die Marauder-Blockade zu geleiten.  "
a2_master_dialogue_cal_tell_me_about_mca,Erzählen Sie mir von der Arbeit der MCA.
a2_master_dialogue_indigo_mca_stands_for,"MCA steht für ""Mwari Colonial Alliance"". Die MCA übernahm die Führung im System, nachdem uns die Unternehmen im Stich gelassen hatten. Wir schufen eine umfassende Demokratie und machten Mwari zu einer Industriemmacht im System, völlig frei von den Unternehmen und der korrupten Regierung. Aber die Marauder haben uns schwer getroffen und Mwari vom Rest der Badlands isoliert. Ohne die Hilfe der Regierung des Sternhaufens haben wir keine andere Wahl, als uns auf überteuerte Söldner zu verlassen."
a2_master_dialogue_clay_these_mca_folk_are_intense,"Oh Mann! Diese MCA-Leute sind ganz schön hart, aber irgendwie kann man's auch verstehen. Die Mwari sind noch schlechter dran als die League."
a2_master_dialogue_jackson_your_reputation_proceeds_you_my_johnson,"Ihr Ruf eilt Ihnen voraus, Mr. Johnston. Wenn Sie bereit wären, an meinem bescheidenen Heim anzudocken, könnten wir Ihre Lage besprechen."
a2_master_dialogue_clay_i_recognise_that_voice,Diese Stimme kenne ich...
a2_master_dialogue_cal_what_voice,Welche Stimme?
a2_master_dialogue_clay_frederick_jackson_i_recognise_his_voice,Frederick Jackson. Irgendwoher kenne ich seine Stimme...
a2_master_dialogue_cal_where,Woher?
a2_master_dialogue_clay_dunno_but_it_must_have_been_a_long_long_time_ago,"Keine Ahnung, aber es muss schon sehr, sehr lange her sein... Meine Speicherzellen garantieren mir ein perfektes Gedächtnis auf dreißig Jahre, danach sterben allerdings die assoziativen Elemente ab. Meine Erinnerungen werden verschwommen, wenn ich sie nicht oft ins Gedächtnis rufe."
a2_master_dialogue_cal_great_so_now_i_gotta_listen_to_the_ramblings_of_a_geriatric,"Na toll! Es geht doch nichts über einen alten, kaputten Toaster, wenn's drauf ankommt! "
