; FILE: Dact2_mission02_addendum.csv,
; Key,
; FILE NAME,GERMAN TRANSLATION
;,
a2_m02_name_courage_grn,Gelände des Mutes
a2_m02_name_cunning_grn,Gelände der Geschicklichkeit
a2_m02_name_wisdom_grn,Gelände der Weisheit
a2_m02_name_training_grn,Übungsgelände
a2_m02_name_correct,Korrekt
a2_m02_name_gunstar,Gunstar
a2_m02_name_waypoint_1,Streckenpunkt 1
a2_m02_name_waypoint_2,Streckenpunkt 2
a2_m02_name_waypoint_3,Streckenpunkt 3
a2_m02_name_waypoint_4,Streckenpunkt 4
a2_m02_name_waypoint_5,Streckenpunkt 5
a2_m02_name_waypoint_6,Streckenpunkt 6
a2_m02_name_waypoint_7,Streckenpunkt 7
a2_m02_name_waypoint_8,Streckenpunkt 8
a2_m02_name_waypoint_9,Streckenpunkt 9
a2_m02_name_waypoint_10,Streckenpunkt 10
a2_m02_name_gold,Goldkapsel
a2_m02_name_mine,Mine
