Cargo_AiImages,KI-Pläne
Cargo_AtomicBlueprints,Atombaupläne
Cargo_ConsumerData,Verbraucherdat.
Cargo_PrivateData,Private Daten
Cargo_SecureData,Gesich. Daten
Cargo_Software,Software
Cargo_Avionics,Flugtechnik
Cargo_Computers,Computer
Cargo_ConsumerElectronics,Konsum.-Elektro.
Cargo_Cybernetics,Kybernetik
Cargo_DataStorage,Datenspeicher
Cargo_Instrumentation,Instrumente
Cargo_MedicalElectronics,Medizin. Geräte
Cargo_Nanotechnology,Nanotechnik
Cargo_Robotics,Robotechnik
Cargo_AgriculturalEquipment,Landwirt. Geräte
Cargo_Environmental,Umweltsyst.
Cargo_MachineTools,Maschinenwrkz.
Cargo_MiningEquipment,Bergbauausrüst.
Cargo_PowerSystems,Energiesysteme
Cargo_Terraforming,Terraforming
Cargo_Vehicles,Fahrzeuge
Cargo_Alcohol,Alkohol
Cargo_Art,Kunstwerke
Cargo_Furs,Felle
Cargo_Jewellery,Schmuck
Cargo_LuxuryConsumerGoods,Luxusgüter
Cargo_LuxuryFoodstuffs,Delikatessen
Cargo_Narcotics,Betäubungsmitt.
Cargo_SportingGoods,Sportausstatt.
Cargo_ConsumerGoods,Konsumgüter
Cargo_MedicalSupplies,Medizin. Ausr.
Cargo_Pharmaceuticals,Arzneimittel
Cargo_SurvivalEquipment,Überlebensausr.
Cargo_Bacteria,Bakterien
Cargo_Biomass,Biomasse
Cargo_Fauna,Fauna
Cargo_Flora,Flora
Cargo_Fungi,Pilzkulturen
Cargo_GeneticMaterial,Genmaterial
Cargo_ProcessedFoodstuffs,Behand. Nahrung
Cargo_UnprocessedFoodstuffs,Unbehand. Nahr.
Cargo_Waste,Abfall
Cargo_Antimatter,Antimaterie 
Cargo_ConstructionMaterial,Baumaterial
Cargo_Exotics,Spezialmetalle
Cargo_Fuel,Brennstoff
Cargo_Gemstones,Edelsteine
Cargo_Hydrocarbons,Kohlenwasserst.
Cargo_Metals,Metalle
Cargo_Radioactives,Radioakt. Mat.
Cargo_BulkChemicals,Massenchemie
Cargo_Gasses,Gase
Cargo_Ore,Erz
Cargo_Rocks,Gestein
Cargo_Water,Wasser
Cargo_CombatVehicles,Kampffahrzeuge
Cargo_NBCWarfare,ABC-Waffen
Cargo_Ordinance,Geschütze
Cargo_PersonalWeapons,Personenwaffen
Cargo_SpacecraftWeapons,Schiffswaffen
Cargo_SpacecraftDefenceSystems,Schiffsabwehr
Cargo_Data,Daten
Cargo_Electronics,Elektronik
Cargo_HeavyEngineering,Schw. Maschinen
Cargo_Luxuries,Luxusgüter
Cargo_ManufacturedGoods,Fertigwaren
Cargo_OrganicMaterials,Organ. Material
Cargo_ProcessedMaterials,Behand. Stoffe
Cargo_RawMaterials,Rohstoffe
Cargo_WeaponSystems,Waffensysteme

;;Added from back-up copy, apparently missing in main-game german copy ?

Cargo_IndustrialWater,Brauchwasser
Cargo_ReactorFuel,Reaktorbrennst.
Cargo_AntimatterGoods,A-M-Waren
Cargo_Blueprints,Baupläne
,
Cargo_SeekerMineBlueprints,Suchminen-Pläne
Cargo_AchillesBlueprints,Achilles-Pläne
Cargo_AntimatterMineBlueprints,A-M-Minen-Pläne
Cargo_AntimatterMissileBlueprints,A-M-Raketen-Pläne
Cargo_BlizzardMissileBlueprints,Blizzard-Pläne
Cargo_DeadshotBlueprints,Deadshot-Pläne
Cargo_DeathblowBlueprints,Deathblow-Pläne
Cargo_DecoyBlueprints,Köder-Pläne
Cargo_DisruptorBlueprints,Disruptor-Pläne
Cargo_LDSi3000Blueprints,LDS-B.-3000-Pläne
Cargo_LDSiMineBlueprints,LDS-B.-Mine-Pläne
Cargo_LDSiMissileBlueprints,LDS-B.-Rak.-Pläne
Cargo_SniperCannonAmmoBlueprints,Schützenkan.-Gs.-Pläne
Cargo_MiningChargeBlueprints,Sprengladungs-Pläne
Cargo_ProximityMineBlueprints,K-D-Minen-Pläne
Cargo_PulsarBlueprints,Pulsarraketen-Pläne
Cargo_RemoteMissileBlueprints,Remote-Raketen-Pläne
Cargo_RemoteProbeBlueprints,REM-Sonden-Pläne
Cargo_SmartDecoyBlueprints,KI-Köder-Pläne
,
Cargo_Antimatter,Antimaterie
,
Cargo_ValuableJewellery,Wertvoller Schmuck
Cargo_CommonOre,Erze
Cargo_CommonMetals,Metalle
Cargo_PowerPlant,Reaktoren
Cargo_DeionisedWater,Deionisiert. Wasser

