;TEXT FOR LOCALISATION,GERMAN TRANSLATION
badlands_cluster,Badlands Cluster

map:/geog/badlands/hoffers_wake,Hoffer's Wake
map:/geog/badlands/mwari,Mwari
map:/geog/badlands/santa_romera,Santa Romera
map:/geog/badlands/coyote,Coyote
map:/geog/badlands/kompira,Kompira
map:/geog/badlands/eureka,Eureka
map:/geog/badlands/firefrost,Firefrost
map:/geog/badlands/dagda,Dagda
map:/geog/badlands/dante,Dante

gagarin_cluster,Gagarin Cluster

map:/geog/gagarin/new_bavaria,Neu-Bayern
map:/geog/gagarin/drake,Drake
map:/geog/gagarin/ishime,Ishime
map:/geog/gagarin/owens_star,Owen's Star
map:/geog/gagarin/osprey,Osprey
map:/geog/gagarin/formhault,Fomalhaut
map:/geog/gagarin/batatas,Batatas
