; FILE NAMEDemail_addendum.csv,GERMAN TRANSLATION

;,
;,
a1_m07_email_sender,Elmo Stepson
a1_m07_email_subject,Du hast die Sicherungsschlüssel vergessen!
a1_master_maurice_mail_sender,Maurice Herzog
a1_master_stepsons_mail_sender,Der Stepson-Clan
a1_master_league_mail_sender,Die League
a1_master_story1.40_mail_subject,"Sie überraschen uns immer wieder, Johnston"
a1_master_story1.60_mail_subject,Das Marauder-Problem
a1_master_story1.70_mail_subject,Ehrenmitglied des Stepson-Clans
a1_master_story1.80_maurice_mail_subject,Die Info hier könnte dich interessieren.
a1_master_story1.90_stepson_mail_subject,Neues über die Marauder.
a1_master_story1.90_maurice_mail_subject,In Bezug auf meine letzte Mail...
a1_master_story1.100_mail_subject,Mein Vorschlag für sie...
a1_master_story1.110_mail_subject,Neues über die League.

a2_master_league_mail_sender,Die League
a2_m05_email_sender,Indigo
a2_m05_email_subject,Entschuldigung und Bitte um Hilfe
a2_m11_email_subject,Wir brauchen Ihre Hilfe!
a2_m15_email_subject,Wir haben den Code geknackt!
a2_m23_email_sender,Die League
a2_m23_email_subject,Brauchen Unterstützung. Dringend!
a2_m25_email_sender,Franklyn Hoffer
a2_m25_email_subject,Wir greifen die Marauder-Basen in Dante an.

a3_m01_email_sender,Die League
a3_m01_email_subject,Chance, die Firmen schwer zu treffen.
a3_m04_email_sender,Franklyn Hoffer
a3_m04_email_subject,Angriff auf den Sprungbeschleuniger.
a3_master_story3.75_mail_subject,Bewegen deiner Basis.
