Independent,Unabhängig,UNABH
Neutral,Unabhängig,UNABH
Exile,Exil,EXIL
Military,Militär,MIL
Underworld,Kriminelle,KRIM
Government,Regierung,REG
Transient,Nomaden,NOMAD
Society,Oberschicht,OBERS
Stepson,Stepsons,STPSN
Kong,Kong,KONG
MAAS Corporation,Maas Corporation,MAAS
Junkers,Junkers,JUNKS
Carva Cartel,Carva-Kartell,CARVA
Police,Polizei,POL
NOMEX Corporation,SOLAN Corporation,SOLAN
NSO Laplace,NSO Laplace,NSO-L
Marauders,Unbekannt,XXXXX
Angels,Angels,XXXXX
The Oman,Die Oman,OMAN
M.C.A.,MCA,MCA
Player,Cal Johnston,XXXXX
League,League,LEAGU
Trimann Shipping,Trimann Shipping,TRIMN
Rhondus Gas Mining,Rhondus Gas Mining,RHOND
Ashanti Investment,Ashanti Investment,ASHAN
Crosspoint Minerals,Crosspoint Minerals,CROSS
Helios Mining,Helios Mining,HELIO
Jardin Terraforming,Jardin Terraforming,JARDN
Chon Bodifule,Chon Bodifule,BFULE
Orion Products,Orion Products,ORION
Von Schelling Industries,Von Schelling Industries,VNSCH
Megalith Corp,Megalith Corp,MLITH
Hibatsh PMC,Hibatsu PMC,HIBAT
Dester Corporation,Dester Corporation,DSTER
Whind Weapons Systems,Whind Weapons Systems,WHIND
Advanced Security Corp,Advanced Security Corp,ADSEC
Network 54,Network 159,NW159
Infonet,InfiroNet,IFNET
Stellar Net,Stellar Net,STNET
Wordsworth Technology,Wordsworth Technology,WWTEK
Netcom SA,Metadyne SA,METAD
Coventry Engineering Research,Coventry Engineering Research,CVNTY
NINEX Wetware,NINEX Wetware,NXWET
Universal Consumer Products,Universal Consumer Products,UNICP
Highlife Products,Highlife Products,HLIFE
Low Orbit Recovery,Wartungsplattform,WPLF
KIMO Shipping,KIMO Shipping,KIMO
Datagon Technologies,Datagram Technologies,DATAG
Micoria Communications,Micoria Communications,MICOM
LOMAX Engines,LOMAX Engines,LXENG
LOMAX Technologies,LOMAX Technologies,LXTEK
Numiko Products,Numiko Products,NMIKO
The Third Way,Der Third Way,3RDWY
Aliens,Xeno-Kreatur,XENOK
