Batatas System,Batatas-System,
Batatas I,Batatas I,
Batatas I Underworld Pirate Outpost,"Schlupfwinkel, Batatas",
Titus,Titus,
Titus Independent Settlement,"Gemeinde, Titus",
Boston,Boston,
Thumscrew,Thumbscrew,
Thumscrew Independent Exotic Metals Mine,"Spezialmetallmine, Thumbscrew",
Barrsaong,Barrasong,
Wellington,Wellington,
Penfold,Penfold,
Silas,Silas,
Focault,Focault,
Tryst,Tryst,
Havenfrost,Havenfrost,
Havenfrost Independent Agricultural Settlement,"Agrar-Komplex, Havenfrost",
Havenfrost Government STL Transceiver,"STL-Relaisstation, Havenfrost",
Almost,Almost,
Almost Government STC System HQ,"RFK-Hauptquartier, Almost",
No Good,No Good,
This Time,This Time,
This Time Underworld Pirate Outpost,Bluebeard,
This Time L-Point,"L-Punkt, This Time",
Batatas II,Batatas II,
The Shards Independent Homestead,O'Gradys Anwesen,
The Shards Independent Homestead,O'Learys Anwesen,
The Shards Independent Homestead,O'Haras Anwesen,
The Shards Independent Homestead,Fitzpatricks Anwesen,
The Shards,Shards,
Teardrop,Teardrop,
Teardrop Exile Ark,"Arche, Teardrop",
Teardrop Exile Religious Centre,Kirche der Göttlichen Gnade,
Teardrop Exile Agricultural Settlement,"Agrar-Kommune, Teardrop",
Teardrop Exile Collective Settlement,"Kollektiv, Teardrop",
Kundar,Kundar,
Kundar Government Warehouse,"Lagerhaus, Kundar",
Kundar Government Gunstar Array,"Gunstar-Arsenal, Kundar",
Kundar Government Defense Station,"Verteidigungsstation, Kundar",
Lieberich,Lieberich,
Lieberich Naval Training Base,"Marinetrainingslager, Lieberich",
Lieberich NSO Laplace Radioactives Mine,"Atommine, Lieberich",
Farriday,Farraday,
Farriday Underworld Orbital Vice Den,"Funday-Casino, Farraday",
Kraken,Kraken,
Kraken Government STC Post,"RFK-Station, Kraken",
Focault NSO Laplace Security Station,NSO Laplace Sicherheitsstation,
Kraken Government System Administration Centre,Systemverwaltungszentrale,
Batatas Network 54 Transmitter Station,Network159-Sender,
Pudsey,Pudsey,
Kraken L-Point,"L-Punkt, Kraken",
Pudsey Coventry Engineering Black Budget Research Station,Technisches Forschungsinstitut Coventry,
Mottrom,Mottrom,
Shallar,Shallar,
Ghanan,Ghanan,
Barclay,Barclay,
Barclay L-Point,"L-Punkt, Barclay",
Batatas III,Batatas III,
The Black Megs Government Medicare Orbital,"Orbit-Krankenstation, Black Megs",
The Black Megs Independent Settlement,Grey Town,
The Black Megs Independent Homestead,"Anwesen, Black Megs",
The Black Megs Independent Agricultural Settlement,"Agrar-Komplex, Black Megs",
The Black Megs Underworld Pirate Base,Yellowbeard,
Tesla,Tesla,
Tesla Independent Warehousing,"Lagerhaus, Tesla",
Tesla Independent BlackMarket,"Handelsgesellschaft, Tesla",
Tesla Government Medicare Orbital,"Orbit-Krankenstation, Tesla",
Tesla Government Hospice,"Hospiz, Tesla",
Tesla Independent Docking Station,"Andockstation, Tesla",
Tesla Independent Settlement,"Siedlung, Tesla",
Tesla Independent Rare Metals Mine,"Metallmine, Tesla",
Tesla Independent Settlement,"Großstadt, Tesla",
Saqar,Saqar,
Winefred,Winifred,
Winefred Independent Mercenary Base,"Söldnerbasis, Winifred",
Mask,Mask,
Mask Underworld Orbital Vice Den,Kubla Khan,
Mask Independent Exotic Metals Mine,"Spezialmetallmine, Mask",
The Black Megs,Black Megs,
The Doctor,Doctor,
The Doctor Government Medicare Orbital,"Orbit-Krankenstation, Doctor",
The Doctor Independent Leisure Station,"Freizeitstation, Doctor",
The Doctor Government Garden Orbital,"Orbit-Gartenstation, Doctor",
The Doctor Underworld Gangster Hideout,"Schlupfwinkel, Doctor",
The Doctor Military Naval Outpost,"Marinevorposten, Doctor",
The Doctor Independent Rare Metals Processing Plant,"Metallverarbeitungsanlage, Doctor",
The Doctor NSO Laplace Radioactives Processing Plant,"Atomare Aufbereitungsanlage, Doctor",
The Doctor Independent Homestead,"Ballungsgebiet, Doctor",
Aidly's Knee,Aidly's Knee,
Aidly's Knee Independent Homestead,Swannecks Anwesen,
Aidly's Knee Naval Research Facility,"Marineforschungsinstitut, Aidly's Knee",
Aidly's Knee Independent Homestead,Robertsons Anwesen,
Aidly's Knee Independent Homestead,Moores Anwesen,
Silver Rock,Silver Rock,
Silver Rock Independent Homestead,Smiths Anwesen,
Silver Rock Coventry Engineering Security Station,Technische Sicherheitsstation Coventry,
Silver Rock Independent Homestead,Kershaws Anwesen,
Silver Rock Independent Homestead,Goodwins Anwesen,
Silver Rock Independent Waystation,"Raststation, Silver Rock",
Silver Rock Independent Homestead,Bramalls Anwesen,
Silver Rock Independent Homestead,Lillicraps Anwesen,
Bob,Bob,
Bob Independent Docking Station,"Andockstation, Bob",
Bob Independent Homestead,"Anwesen, Bob",
Bob Independent Electronics Engineering Manufacturing Plant,Elemental Manufactury Inc.,
Bob Independent Settlement,"Großstadt, Bob",
Bob Naval Testing Site,"Marineversuchsareal, Bob",
Bob Independent Homestead,McArthurs Anwesen,
Bob Crosspoint Minerals Exotic Metals Processing Plant,"Spezialmetall-Verarbeitungsanlage, Bob",
Vampyre,Vampyre,
Stoker,Stoker,
