Coyote System,Coyote-System,
Coyote I,Coyote I,
Ottawa,Ottawa,
Coyote MAAS Research Station 1,Maas Institut Alpha,
Coyote MAAS Research Station 2,Maas Institut Beta,
Coyote MAAS Research Station 3,Maas Institut Gamma,
Coyote MAAS Security Station,Maas Institut Epsilon,
MAAS Docking Station,Maas Andockstation,
MAAS Gunstar Array,Maas Gunstar-Arsenal,
Ottawa Independent Waystation,"Raststation, Ottawa",
Ottawa Maas Shipyard,"Maas Schiffswerft, Ottawa",
Ottowa  City,"Großstadt, Ottawa",
Pennacook,Pennacook,
Jackson's Yard,Jacksons Hof,
Shawnee,Shawnee,
Pennacook L-Point,"L-Punkt, Pennacook",
Shawnee MAAS Luxuries Manufacturing Plant,Maas Luxusgüterfabrik,
Shawnee Independent Shipyard,"Schiffswerft, Shawnee",
Shawnee Independent Waystation,"Raststation, Shawnee",
Shawnee MAAS Security Station,Maas Sicherheitsstation,
Shawnee Network 54 Transmittion Station,Network159-Sender,
Chickasaw,Chickasaw,
Chickasaw Independent Common Metals Mine,"Metallmine, Chickasaw",
Chickasaw Independent Settlement,"Großstadt, Chickasaw",
Chickasaw Exile Asylum,"Exilheim, Chickasaw",
Chickasaw Orbital Transfer Station,"Transferstation, Chickasaw",
Tishomingo,Tishomingo,
Chickasaw L-Point,"L-Punkt, Chickasaw",
Tishomingo Independent Medicare Orbital,"Krankenstation, Tishomingo",
Tishomingo Exile Agricultural Settlement,"Kommune, Tishomingo",
Tishomingo Exile Ark,"Arche, Tishomingo",
Tishomingo Exile Religious Centre,Tempel des Inneren Lichtes,
Tishomingo Exile Collective Settlement,"Kollektiv, Tishomingo",
Coyote Belt,Coyote-Gürtel,
Padua,Padua,
Padua Independent Homestead,"Anwesen, Padua",
Padua Independent Defense Station,"Verteidigungsstation, Padua",
Padua Independent Docking Station,"Andockstation, Padua",
Florence,Florence,
Florence Independent Settlement,"Ballungsgebiet, Florence",
Clipper,Clipper,
Clipper Independent Settlement,"Siedlung, Clipper",
Clipper Independent Defense Station,"Verteidigungsstation, Clipper",
Chancellor,Chancellor,
Chancellor Independent Homestead,"Anwesen, Chancellor",
Chancellor Independent Defense Station,"Verteidigungsstation, Chancellor",
Saltlick,Saltlick,
Tailor,Tailor,
Tailor Independent Homestead,"Anwesen, Tailor",
Tailor Independent Defense Station,"Verteidigungsstation, Tailor",
Tinker,Tinker,
Paradigm,Paradigm,
Paradigm Independent Exotic Metals Mine,"Spezialmetallmine, Paradigm",
Paradigm Independent Defense Station,"Verteidigungsstation, Paradigm",
Halladus,Halladus,
Bellagio,Bellagio,
Bellagio Independent Homestead,"Anwesen, Bellagio",
Janus,Janus,
Janus Independent Homestead,"Anwesen, Janus",
Janus Independent Defense Station,"Verteidigungsstation, Janus",
The Bishop,Bishop,
The Bishop Underworld Gangster Hideout,"Räuberhöhle, Bishop",
Real Mcoy,Real McCoy,
Real Mcoy Independent Homestead,"Anwesen, Real McCoy",
Big Bobs Head Sculpture Park,Big Bobs Büstenpark,
Freelancer Independent Defense Station,Freelancer-Verteidigungsstation,
Iroquois,Iroquois,
Iroquois Independent Fusionable Gases Mine,"Gasmine, Iroquois",
Cayuga,Cayuga,
Mohawk,Mohawk,
Coyote Government System Administration,"Systemverwaltung, Coyote",
Mohawk Independent Settlement,"Siedlung, Mohawk",
Mohawk Independent Docking Station,"Andockstation, Mohawk",
Mohawk Independent Repair Station,Station Repairs 'R' Us,
Mohawk Independent Settlement,Mohawkville,
Mohawk Independent Security Station,"Sicherheitsstation, Mohawk",
Oneida,Oneida,
Oneida Government STL Transceiver,"STL-Relaisstation, Oneida",
Onondaga,Onondaga,
Mohawk L-Point,"L-Punkt, Mohawk",
Onondaga Independent Mercenary Base,"Söldnerbasis, Onondaga",
Seneca,Seneca,
Tuscarora,Tuscarora,
Mingo,Mingo,
Caughnawaga,Caughnawaga,
Sattawingo,Sattawingo,
Sattawingo Government Hospice,"Hospiz, Sattawingo",
Sattawingo Independent Warehousing,"Lagerhaus, Sattawingo",
Sattawingo Independent Leisure Station,"Freizeitstation, Sattawingo",
Sattawingo Independent Medicare Orbital,"Orbit-Krankenstation, Sattawingo",
Sattawingo Independent Settlement,"Stadt, Sattawingo",
Sattawingo Independent Settlement,"Neustadt, Sattawingo",
Sattawingo Independent Defense Station,"Verteidigungsstation, Sattawingo",
Comanche,Comanche,
Comanche Independent Waystation,"Raststation, Comanche",
Comanche Independent Fusionable Gases Mine,"Gasmine, Comanche",
Hois,Hois,
Nokoni,Nokoni,
Penateka,Penateka,
Jupe,Jupe,
Winnebago,Trailerhome,
Winnebago Independent Rare Metals Mine,"Mine seltener Metalle, Winnebago",
Winnebago Independent Waystation,"Raststation, Trailerhome",
Winnebago Independent Agricultural Settlement,Trailerhome Agri Inc.,
Winnebago Orbital Transfer Station,"Transferstation, Trailerhome",
Yellow Thunder,Yellow Thunder,
Yellow Thunder MAAS Radioactives Mine,"Atommine, Yellow Thunder",
Yellow Thunder Exile Hideout,"Versteck, Yellow Thunder",
Yellow Thunder Orbital transfer Station,"Transferstation, Yellow Thunder",
Wuckian,Wuckian,
Yellow Thunder L-Point,"L-Punkt, Yellow Thunder",
Wuckian Independent Common Metals Mine,"Metallmine, Wuckian",
Wuckian Exile Hermitage,"Klause, Wuckian",
Wuckian Orbital Transfer Station,"Transferstation, Wuckian",
Delaware,Delaware,
Delaware Independent Exotic Metals Processing Plant,"Spezialmetall-Verarbeitungsanlage, Delaware",
Delaware Underworld Orbital Vice Den,"Casino, Delaware",
Delaware Independent Fusionable Gases Processing Plant,"Gaswerk, Delaware",
Huron,Huron,
Wendat,Wendat,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
