Dagda System,Dagda-System,
Dagda I,Dagda I,
The Graveyard,Graveyard,
The Graveyard MAAS Settlement,Maas Arbeitersiedlung,
The Graveyard MAAS Orbital Dome Farm,Maas Orbit-Kuppelfarm,
The Graveyard MAAS Habitat,Maas Schuldnersiedlung,
The Gravedigger,Gravedigger,
Dagda Alpha Prime,Dagda Alpha Prime,
Dagda Alpha Prime MAAS Radioactives Mine,Maas Atommine,
Dagda Alpha Prime Orbital Transfer Station,"Transferstation, Dagda Alpha Prime",
Dagda Alpha 1,Dagda Alpha 1,
Dagda Alpha 1 MAAS Dry Dock,"Trockendock, Dagda Alpha 1 ",
Dagda Alpha 1 MAAS Repair Station,"Reparaturstation, Dagda Alpha 1",
Dagda Alpha Prime L-Point,"L-Punkt, Dagda Alpha Prime",
Dagda Alpha 2,Dagda Alpha 2,
Dagda Alpha 2 MAAS Black Budget Research Station,"Forschungsblock, Dagda Alpha 2 ",
Dagda Alpha 3,Dagda Alpha 3,
Dagda Beta Prime,Dagda Beta Prime,
Dagda Beta 1,Dagda Beta 1,
Dagda Beta 1 MAAS Low Security Prison,"Schuldner-Umerziehungsstelle, Dagda Beta 1",
Dagda Beta 1 MAAS Neutronium Mine,"Neutroniummine, Dagda Beta 1",
Dagda Beta 1 MAAS Security Outpost,"Maas Sicherheitsvorposten, Dagda Beta 1",
Dagda Beta 3,Dagda Beta 3,
Dagda Beta 1 L-Point,"L-Punkt, Dagda Beta 1",
Dagda Beta 3 MAAS Neutronium Mine,"Neutroniummine, Dagda Beta 3",
Dagda Beta 2,Dagda Beta 2,
Dagda Beta 2 MAAS Neutronium Mine,"Neutroniummine, Dagda Beta 2",
Dagda Beta 2 MAAS Security Station,"Sicherheitsstation, Dagda Beta 2",
Dagda Delta Prime,Dagda Delta Prime,
Dagda Delta 1,Dagda Delta 1,
Dagda Delta 1 MAAS Neutronium Mine,"Neutroniummine, Dagda Delta 1 ",
Dagda Delta 1 MAAS Security Outpost,"Sicherheitsvorposten, Dagda Delta 1",
Dagda Delta 3,Dagda Delta 3,
Dagda Delta 3 MAAS Waystation,"Raststation, Dagda Delta 3",
Dagda Delta 2,Dagda Delta 2,
Dagada MAAS System Administration,"Maas Hauptquartier, Dagda",
Dagda Delta 2 L-Point,"L-Punkt, Dagda Delta 2",
Dagda Delta 2 MAAS L-Point Defenses,"L-Punkt-Verteidigung, Dagda Delta 2",
Dagda System MAAS Defense Station,"Verteidigungsstation, Dagda",
Dagda System MAAS Defence Dock,"Verteidigungsdock, Dagda",
Dagda Delta 2 MAAS Fortress,"Kaserne, Dagda Delta 2",
Dagda Delta 2 MAAS Transfer Station,"Transferstation, Dagda Delta 2",
Dagda Delta 2 MAAS Shipyard,"Schiffswerft, Dagda Delta 2",
Dagda  Epsilon Prime,Dagda Epsilon Prime,
Gravedigger Alpha Habitat,Schuldnersiedlung Alpha,
Gravedigger Beta Habitat,Schuldnersiedlung Beta,
Gravedigger Omega Habitat,Schuldnersiedlung Omega,
Dagda Delta 3 MAAS Neutronium Processing Plant,"Neutronium-Aufbereitungsanlage, Dagda Delta 3",
Dagda Delta 3 MAAS Backup Neutronium Processing Plant,"Zusätzliche Neutronium-Aufbereitungsanlage, Dagda Delta 3",
