Drake System,Drake-System,
Drake I,Drake I,
Omsk,Omsk,
Popovich,Popovich,
Tereshkova,Tereshkova,
Nikov,Nikov,
Tereshkova L-Point,"L-Punkt, Tereshkova",
Mumansk,Mumansk,
Archangel,Archangel,
Leonov,Leonov,
Titov,Titov,
Leonov L-Point,"L-Punkt, Leonov",
Magadan,Magadan,
Magadan Underworld Orbital Vice Den,"Casino & Strip-Club, Magadan",
Chatalov,Chatalov,
Chatalov Underworld Gangster Hideout,"Versteck, Chatalov",
Chatalov Independent Exotic Metals Mine,"Spezialmetallmine, Chatalov",
Kholmsk,Kholmsk,
Kholmsk Independent Exotic Metals Mine,"Freie Spezialmetallmine, Kholmsk",
Kubasov,Kubasov,
Kubasov MAAS Exotic Metals Processing Plant,Maas Spezialmetall-Verarbeitungsanlage,
Kubasov Underworld Gangster Hideout,"Freihafen, Kubasov",
Kubasov Helios Mining Common Metals Mine,Helios Mining Metallmine,
Volkov,Volkov,
Volkov NOMEX Energy Cells Manufacturing Plant,SOLAN Energiezellenfabrik,
Volkov NOMEX Fusionable Gases Processing Plant,SOLAN Fusionsgaswerk,
Volkov Underworld Gangster Hideout,"Freie Stadt, Volkov",
Volkov Independent Energy Cells Manufacturing Plant,"Energiezellenfabrik, Volkov",
Volkov MAAS Radioactives Processing Plant,Maas Atomare Aufbereitungsanlage,
Volkov MAAS Radioactives Mine,"Atommine, Volkov",
Novgorod,Novgorod,
Rostov,Rostov,
Rostov Government Medicare Orbital,"Orbit-Krankenstation, Rostov",
Rostov Government Hospice,"Hospiz, Rostov",
Kizim,Kizim,
Manarov,Manarov,
Manarov Independent Settlement,"Großstadt, Manarov",
Manarov Independent Exotic Metals Mine,"Spezialmetallmine, Manarov",
Grechko,Grechko,
Grechko Government Medicare Orbital,"Orbit-Krankenstation, Grechko",
Grechko Independent Exotic Metals Mine,"Spezialmetallmine, Grechko",
Grechko Government STL Transceiver,"STL-Relaisstation, Grechko",
Grechko Independent Settlement,"Großstadt, Grechko",
Kazan,Kazan,
Kazan Government Medicare Orbital,"Orbit-Krankenstation, Kazan ",
Kazan Government Garden Orbital,"Orbit-Gartenstation, Kazan ",
Kazan Independent Exotic Metals Mine,"Spezialmetallmine, Kazan",
Atkov,Atkov,
Atkov Naval Testing Site,"Marineversuchsareal, Atkov",
Atkov Naval Research Facility,"Marineforschungseinrichtung, Atkov",
Atkov Independent Rare Metals Mine,"Metallmine, Atkov",
Volynov,Volynov,
Volynov Military Naval Outpost,"Marineabhörstation, Volynov",
Shonin,Shonin,
Volynov L-Point,"L-Punkt, Volynov",
Shonin NOMEX Black Budget Research Station,SOLAN Forschungsstation,
Dii Minores,Dii Minores,
Dii Minores Independent Leisure Station,"Freizeitstation, Dii Minores",
Dii Minores Underworld Gangster Hideout,"Freihafen, Dii Minores",
Dii Minores Government Medicare Orbital,"Orbit-Krankenstation, Dii Minores",
Dii Minores Independent Agricultural Settlement,"Agrar-Komplex, Dii Minores",
Dii Minores Underworld Pirate Base,"Schlupfwinkel, Dii Minores",
Dii Minores Government Garden Orbital,"Orbit-Garten, Dii Minores",
Dii Minores Independent Energy Cells Manufacturing Plant,"Energiezellenfabrik, Dii Minores",
Dii Minores Independent Radioactives Processing Plant,"Atomare Aufbereitungsanlage, Dii Minores",
Dii Minores Independent Mercenary Base,"Freie Söldnerbasis, Dii Minores",
Vladivostok,Vladivostok,
Chelyabusk,Chelyabusk,
Chelyabusk Underworld Pirate Outpost,"Freihafen, Chelyabusk",
Lazerev,Lazerev,
St Petersburg,St Petersburg,
St Petersburg Government STC System HQ,"RFK-Hauptquartier, St Petersburg",
St Petersburg L-Point,"L-Punkt, St Petersburg",
St. Petersburg Government System Administration Centre,Systemverwaltungszentrale,
St Petersburg Network 54 Transmittion Station,Network159-Sender,
Moscow,Moscow,
Moscow NOMEX Fusionable Gases Mine,"Gasmine, Moscow",
Klimuk,Klimuk,
Klimuk Military Police Outpost,"Militärpolizei-Hauptquartier, Klimuk",
Klimuk Government High Security Prison,"Gefängnis, Klimuk",
Klimuk Exile Hermitage,"Klause, Klimuk",
Makarov,Makarov,
Makarov Independent Agricultural Settlement,"Agrar-Siedlung, Makarov",
Serelorov,Serelorov,
Serelorov Independent Rare Metals Mine,"Metallmine, Serelorov",
Serelorov Exile Mad Scientist Lab,"Labor, Serelorov",
Sarafanov,Sarafanov,
Sarafanov Exile Hideout,"Versteck, Sarafanov",
Rostov Independent Settlement,"Hüttensiedlung, Rostov",
Rostov City,"Großstadt, Rostov",
Atkov Naval Perimeter Defences,"Marinerundumverteidigung, Atkov ",
Atkov Naval Defences,"Marineverteidigung, Atkov",
Dii Minores Independent Homestead 1,Dupont-Anwesen,
Dii Minores Independent Homestead 2,Mistral-Anwesen,
Dii Minores Independent Homestead 3,Savanti-Anwesen,
Dii Minores Independent Homestead 4,Calipso-Anwesen,
,,
