Eureka System,Eureka-System
Eureka I,Eureka I
Galea,Galea
Galea Underworld Pirate Outpost,Severins Räuberhöhle
King Edward,King Edward
King Edward MAAS Radioactives Mine,"Atommine, King Edward"
King Edward Orbital Transfer Station,"Transferstation, King Edward"
Fomeus,Fomeus
Fomeus Police Outpost,"Orbit-Polizeistation, Fomeus"
Fomeus Government High Security Prison,"Gefängnis, Fomeus"
Jester,Jester
Eureka,Eureka
Eureka Medical Facility,Orbit-Krankenstation New Light
Eureka System Administration,"Systemverwaltung, Eureka"
Eureka Agri-Orbital 1,"Orbit-Agrarstation 1, Eureka"
Eureka Agri-Orbital 2,"Orbit-Agrarstation 2, Eureka"
Eureka View,"Aussichtspunkt, Eureka"
Eureka Port,"Hafen, Eureka"
Angelica,Angelica
Diablo,Diablo
Diablo Security Station,"Sicherheitsstation, Diablo"
Diablo Helios Mining Exotic Metals Mine,"Spezialmetallmine, Diablo"
Diablo Orbital Transfer Station,"Transferstation, Diablo"
Portus,Portus
Portus Agri-Orbital,"Orbit-Agrarstation, Portus"
Portus Village,"Dorf, Portus"
Bornholm,Bornholm
Bornholm Rare Metals Mine,"Mine seltener Metalle, Bornholm"
Roskilde,Roskilde
Storstrom,Storstrom
The Lurkers,Lurkers
Lagasse,Lagasse
The Lurkers Homestead,"Anwesen, Lurkers"
Lagasse  Research Station,"Forschungsstation, Lagasse"
Belial,Belial
Belial Market,"Markt, Belial"
Belial Energy Cells Manufacturing,"Energiezellenfabrik, Belial"
Belial Radioactives Processing Plant,"Atomare Aufbereitungsanlage, Belial"
Belial Town,"Stadt, Belial"
Belial Barracks,"Kaserne, Belial"
Belial Port,"Hafen, Belial"
Belial FTL Interchange,"FTL-Schaltstelle, Belial"
Lucifuge,Lucifuge
Belial L-Point,"L-Punkt, Belial "
Belial L-Point STC HQ,"L-Punkt-RFK-Hauptquartier, Belial"
Government STL Transceiver,Staatliche STL-Relaisstation 
La Pampa Government STC Post,"RFK-Station, La Pampa"
Lucifuge Independent Settlement,"Stadt, Lucifuge"
Hastur,Hastur
Hastur Underworld Gangster Hideout,Freihafen
Baal,Baal
Shoggoth,Shoggoth
Dagon,Dagon
Dog 1,Dog 1
Azrael,Azrael
Azrael Independent Homestead,"Anwesen, Azrael"
Archos,Archos
Archos Independent Fusionable Gases Mine,"Gasmine, Archos"
Fe,Fe
Fi,Fi
Fi Common Metals Mine,"Metallmine, Fi"
Fi Orbital Transfer Station,"Transferstation, Fi"
Fo,Fo
Fum,Fum
Fo L-Point,"L-Punkt, Fo"
Fum City,"Großstadt, Fum"
Fum Sporting Arena,"Sportstadion, Fum"
Fum  Hospice,"Hospiz, Fum"
Illecebra,Illecebra
Illecebra Independent Fusionable Gases Mine,"Gasmine, Illecebra"
Beethoven,Beethoven
Mozart,Mozart
Chopan,Chopin
Verdi,Verdi
Handel,Händel
Tchaikovsky,Tschaikowsky
Holst,Holst
Holst Independent Exotic Metals Mine,"Spezialmetallmine, Holst"
Holst Orbital Transfer Station,"Transferstation, Holst"
Bach,Bach
Wagner,Wagner
Schubert,Schubert
Schubert Exile Hermitage,"Klause, Schubert"
Schubert NOMEX Exotic Metals Processing Plant,"Spezialmetall-Verarbeitungsanlage, Schubert"
Torva,Torva
Torva Independent Fusionable Gases Processing Plant,"Gaswerk, Torva"
Formosa,Formosa
Formosa MAAS Radioactives Processing Plant,"Atomare Aufbereitungsanlage, Formosa"
La Pampa,La Pampa
La Pampa Defence Station,"Verteidigungsstation, La Pampa"
Mendoza,Mendoza
La Pampa L-Point,"L-Punkt, La Pampa"
Mendoza Rare Metals Mine,"Metallmine, Mendoza"
Mendoza Fusionable Gases Processing Plant,"Gaswerk, Mendoza"
Mendoza Orbital Transfer Station,"Transferstation, Mendoza"
Santiago,Santiago
Santiago Security Station,"Sicherheitsstation, Santiago"
Chaco,Chaco
Chaco Laboratories,"Labor, Chaco"
,
