Firefrost System,Firefrost-System
Firefrost I,Firefrost I
Nyr,Nyr
Bavor,Bavor
Bavor I,Bavor I
Bavor II,Bavor II
Bavor III,Bavor III
Dainn,Dainn
Dainn I,Dainn I
Dainn I L-Point,"L-Punkt, Dainn I"
Dainn I L-Point Defense Array,"L-Punkt-Verteidigungsarsenal, Dainn I"
Quail,Quail
Marauder Defense Base,Marauder-Verteidigungsbasis
Dainn II,Dainn II
Dainn II L-Point,"L-Punkt, Dainn II"
Dainn III,Dainn III
Oinn,Oinn
Rock,Rock
Doogal's Folly,Doogal's Folly
Charlotte,Charlotte
Galar,Galar
Naglfar,Naglfar
Naglfar Government Medicare Orbital,"Orbit-Krankenstation, Naglfar"
Naglfar Exile Asylum,"Exilheim, Naglfar"
Tomb,Tomb
Lonely,Lonely
Preistess,Priestess
Preistess Independent Rare Metals Processing Plant,"Metallverarbeitungsanlage, Priestess"
Gandalfr,Gandalfr
Cove,Cove
Shadwell,Shadwell
Ishallah,Ishallah
Eddas,Eddas
Carolina,Carolina
Huxley,Huxley
Ambrosia,Ambrosia
Onamuji,Onamuji
Nobre,Nobre
Siam,Siam
Gladheim,Gladheim
Thorinn,Thorinn
Bonita Cara,Bonita Cara
Bonita Cara Independent Common Metal Processing Plant,"Metallverarbeitungsanlage, Bonita Cara"
Mandalay,Mandalay
Rangoon,Rangoon
Norori,Norori
Adijon,Adijon
Samaruand,Samaruand
Frosti,Frosti
Frosti Government High Security Prison,"Gefängnis, Frosti"
Bukhoro,Bukhoro
Gerd,Gerd
Nott,Nott
Kotido,Kotido
Junja,Junja
Mbale,Mbale
Soroti,Soroti
Gulu,Gulu
Apac,Apac
Mubende,Mubende
Inner Belt,Innerer Gürtel
Ashimali,Ashimali
Itiki,Itiki
Mullai,Mullai
Karatchi,Karatchi
Karatchi Independent Homestead,"Anwesen, Karatchi"
Abasir,Abasir
Theocrete,Theocrete
Theocrete Independent Exotic Metals Mine,"Spezialmetallmine, Theocrete"
Theocrete Government STL Transceiver,"STL-Relaisstation, Theocrete"
Tabullah,Tabullah
Goliath,Goliath
Surt,Surt
Solomon's Claim,Solomon's Claim
Jord,Jord
Hickory,Hickory
Hammer,Hammer
Harr,Harr
Apache,Apache
Custer,Custer
Big Horn,Big Horn
Durinn,Durin
Durin's Gatekeepers,Durins Torwachen
Blaire,Blaire
Bunnin,Bunnin
Blade,Blade
Bik,Bik
Batrium,Batrium
Bnidir,Bnidir
Bnidir Independent Homestead,"Anwesen, Bnidir"
Bakkar,Bakkar
Bowlan,Bowlan
Bile,Bile
Njord,Njord
Crowsfoot,Crowsfoot
Njord L-Point,"L-Punkt, Njord "
Spartan,Spartan
Hoffers Agricultural Homestead,Hoffers Anwesen
Exodus,Exodus
Nickoli's Homestead,Nickolis Anwesen
Trevellin,Trevellin
Trevellin Exile Hideout,"Versteck, Trevellin"
Nori,Nori
Nori Exile Hermitage,"Klause, Nori"
Fort Louis,Fort Louis
Fort Louis Naval Intelligence Base,"Abhörstation, Fort Louis"
Firefrost II,Firefrost II
Austri,Austri
Khulna,Khulna
Khulna MAAS Radioactives Mine,"Atommine, Khulna"
Khulna MAAS Hi-Tech Manufacturing Plant,"Hi-Tech-Fabrik, Khulna"
Khulna Orbital Transfer Station,"Transferstation, Khulna"
Chittagong,Chittagong
Bambur,Bambur
Smitten,Smitten
Libniz,Libniz
Minskaya,Minskaya
Fili,Fili
Lenin's Eye,Lenin's Eye
Nibelung,Nibelung
Carnegie,Carnegie
Gloinn,Gloinn
Al Jumayleyah,Al Jumayleyah
Creole,Creole
Creole Orbital Transfer Station,"Transferstation, Creole"
Creole Independent Exotic Metals Mine,"Spezialmetallmine,Creole"
Durathror,Durathror
Durathror MAAS Rare Metals Mine,"Metallmine, Durathror "
Durathror Orbital transfer Station,"Transferstation, Durathror "
Ori,Ori
Ori Independent Exotic Metals Mine,"Spezialmetallmine, Ori"
Ori Orbital Transfer Station,"Transferstation, Ori"
Aubrey,Aubrey
Aubrey Independent Common Metals Mine,"Metallmine, Aubrey"
Aubrey Independent Agricultural Settlement,"Agrar-Komplex, Aubrey"
Aubrey Orbital Transfer Station,"Transferstation, Aubrey"
Vestri,Vestri
Vestri Independent Settlement,Vestriville
Vestri Independent Settlement,"Gemeinde, Vestri"
The Vandrills,Vandrills
Grunge,Grunge
Grunge Independent Docking Station,"Andockstation, Grunge"
Grunge Independent Settlement,"Gemeinde, Grunge"
Grunge Independent Waystation,"Raststation, Grunge"
Grunge Independent Rare Metals Mine,"Metallmine, Grunge"
Skexis,Skexis
Gaffah,Gaffah
Nadir,Nadir
Nadir Independent Homestead,"Anwesen, Nadir"
Nadir Independent Homestead,"Anwesen, Nadir"
Gabba,Gabba
Gabba Independent Homestead,"Anwesen, Gabba"
Mountbatton,Mountbatton
Mountbatton Independent Warehousing,"Lagerhaus, Mountbatton"
Mountbatton Government Medicare Orbital,"Orbit-Krankenstation, Mountbatton"
Mountbatton Independent Leisure Station,"Freizeitstation, Mountbatton"
Mountbatton Independent Mercenary Base,"Söldnerbasis, Mountbatton"
