Formhault System,Fomalhaut-System
Formhault I,Fomalhaut I
Tuscany,Tuscany
Tamayo-Mendez,Tamayo-Mendez
Tamayo-Mendez NOMEX Radioactives Mine,"Atommine, Tamayo-Mendez"
Tamayo-Mendez Transfer Station,"Transferstation, Tamayo-Mendez"
Gurragcha,Gurragcha
Gurragcha NOMEX Radioactives Mine,"Atommine, Gurragcha"
Gurragcha Orbital Transfer Station,"Transferstation, Gurragcha"
Sharman,Sharman
Sharman Underworld Pirate Outpost,"Freihafen, Sharman"
Padua,Padua
Padua Independent Repair Station,"Freie Reparaturstation, Padua"
Viehbock,Viehbock
Flade,Flade
Alexandrov,Alexandrov
Elba,Elba
Carcosa,Carcosa
Carcosa Independent Settlement,"Ballungsgebiet, Carcosa"
Carcosa Naval System Defence Station,"Marineverteidigungsstation, Carcosa"
Carcosa Exile Asylum,"Exilheim, Carcosa"
Carcosa Transfer Station,"Transferstation, Carcosa"
Siena,Siena
Florence,Florence
Florence MAAS Security Station,Maas Sicherheitsstation
Mohamand,Mohamand
Florence L-Point,"L-Punkt, Florence"
Mohamand Independent Exotic Metals Mine,"Spezialmetallmine, Mohamand"
Mohamand Orbital Transfer Station,"Orbit-Transferstation, Mohamand"
Remek,Remek
Remek Naval Jump Fortress,"Marine-Sprungpunktfestung, Remek"
Remek Government STC Post,"RFK-Station, Remek "
Remek Naval Base,"Marinebasis, Remek"
Remek L-Point,"L-Punkt, Remek"
Formhault Jump Accelerator,"Sprungbeschleuniger, Fomalhaut"
Formhault System Administration Centre,Systemverwaltungszentrale
Remek NOMEX Docking Station,SOLAN Andockstation
Remek MAAS Warehouse,Maas Lagerhaus
Remek Independent Trading Post,Freie Handelsniederlassung
Remek Independent Leisure Complex,"Freizeitkomplex, Remek"
Super Freighter Service Depot,Superfrachter-Wartungsdepot
Remek Marshalling yard,"Sammelpunkt, Remek"
Remek MAAS Central HQ,Maas Sternhaufen-Hauptquartier
Remek NOMEX Central HQ,SOLAN Sternhaufen-Hauptquartier
Remek NSO Laplace Central HQ,NSO Laplace Sternhaufen-Hauptquartier
Remek Network 54 Transmittion Station,Network159-Sender
Remek City,"Großstadt, Remek"
Remek Beanstalk,"Himmelsleiter, Remek"
Remek Beanstalk,"Transferstation, Remek "
Hermazewsky,Hermazewsky
Hermazewsky Underworld Pirate Outpost,"Freihafen, Hermazewsky "
Hermazewsky Government Medicare Orbital,"Orbit-Krankenstation, Hermazewsky "
Hermazewsky Government Garden Orbital,"Orbit-Garten, Hermazewsky"
Inner Belt,Innerer Gürtel
Lucca,Lucca
Lucca NOMEX Fusionable Gases Mine,SOLAN Fusionsgasmine
Crispin,Crispin
Crispin Independent Homestead,"Anwesen, Crispin"
Crispin Orbital Transfer Station,"Transferstation, Crispin"
Beckett,Beckett
Beckett Independent Rare Metals Mine,"Mine seltener Metalle, Beckett"
Beckett Naval Defence Station,"Marineverteidigungsstation, Beckett"
Beckett Naval Training Base,"Marinetrainingslager, Beckett"
Beckett Orbital Transfer Station,"Transferstation, Beckett"
Christmas,Christmas
Christmas Naval Perimeter Defences,"Marinerundumverteidigung, Christmas"
Christmas Naval Research Facility,"Marineforschungseinrichtung, Christmas"
Christmas L-Point,"L-Punkt, Christmas"
Jackson's Load,Jackson's Load
Jackson's Load Marine Barracks,"Marinekaserne, Jackson's Load"
Jackson's Load Naval Testing Site,"Marineversuchsareal, Jackson's Load"
Jackson's Load MAAS Agricultural Settlement,Maas Agrar-Komplex
Kaleidoscope,Kaleidoscope
Kaleidoscope Independent Rare Metals Mine,"Metallmine, Kaleidoscope"
Kaleidoscope Orbital Transfer Station,"Transferstation, Kaleidoscope"
Juniper,Juniper
Juniper Independent Exotic Metals Mine,"Spezialmetallmine, Juniper"
Juniper Orbital Transfer Station,"Transferstation, Juniper"
Copan,Copan
Copan Underworld Gangster Hideout,"Flüsterkneipe, Copan"
Palenque,Palenque
Palenque Independent Common Metals Mine,"Metallmine, Palenque"
Palenque Orbital Transfer Station,"Transferstation, Palenque "
Yucatan,Yucatan
Yucatan MAAS Luxuries Manufacturing Plant,"Luxusgüterfabrik, Yucatan"
Yucatan Government Dome Garden,"Kuppelgarten, Yucatan"
Yucatan Government Hospice,"Hospiz, Yucatan"
Ferrara,Ferrara
Ferrara Police Outpost,"Polizeivorposten, Ferrara"
Ferrara Government High Security Prison,"Hochsicherheitstrakt, Ferrara "
Pippin,Pippin
Pippin NOMEX Rare Metals Processing Plant,"Erzverarbeitungsanlage, Pippin"
Pippin Orbital Transfer Station,"Transferstation, Pippin"
Braeburn,Braeburn
Bramely,Bramely
Bramely Independent Rare Metals Mine,"Mine seltener Metalle, Bramely"
Bramely Independent Common Metals Mine,"Metallmine, Bramely"
Outer Belt,Äußerer Gürtel
Eisenhower,Eisenhower
Eisenhower Independent Fusion Reactor Manufacturing Plant,"Fusionsreaktorfabrik, Eisenhower"
Eisenhower Independent Neutronium Processing Plant,"Neutronium-Aufbereitungsanlage, Eisenhower"
Eisenhower MAAS Neutronium Mine,Maas Neutroniummine
Sherman,Sherman
Sherman Independent Agricultural Settlement,"Agrar-Siedlung, Sherman"
Patton,Patton
Patton MAAS Financial Centre,Maas Finanzzentrum
Patton Underworld Gangster Hideout,"Flüsterkneipe, Patton"
Mantua,Mantua
Mantua Underworld Pirate Outpost,"Flüsterkneipe, Mantua "
Salute,Salute
Salute Underworld Gangster Hideout,"Flüsterkneipe, Salute"
Salute Independent Waystation,"Freie Raststation, Salute"
Salute Independent Rare Metals Mine,"Mine seltener Metalle, Salute"
Salute Orbital Transfer Station,"Orbit-Transferstation, Salute"
Miguel's Quandry,Miguel's Quandry
Miguel's Quandry Underworld Gangster Hideout,"Flüsterkneipe, Miguel's Quandry"
Miguel's Quandry Government STL Transceiver,STL-Relaisstation
