Kompira System,Kompira-System
Kompira I,Kompira I
Auliya,Auliya
Auliya MAAS Common Metals Mine,Maas Metallmine
Al Jauf,Al Jauf
Al Jauf MAAS Common Metals Mine,Maas Metallmine
Najran,Najran
Al Jauf L-Point,"L-Punkt, Al Jauf "
Najran MAAS Rare Metals Mine,Maas Mine seltener Metalle
Najran MAAS Security Station,Maas Sicherheitsstation
MAAS Gunstar Array,Maas Gunstar-Arsenal
Musandam,Musandam
Najran L-Point,"L-Punkt, Najran"
Musandam NOMEX Homestead,"SOLAN Wohnanlage, Musandam"
Al Bahah,Al Bahah
Al Bahah MAAS Homestead,"Maas Wohnanlage, Al Bahah"
Jizan,Jizan
Jizan Oman Outpost,Oman-Vorposten
Al Khawr,Al Khawr
Al Khawr Underworld Gangster Hideout,"Schlupfwinkel, Al Khawr"
Al Quasim,Al Quasim
Al Quasim NOMEX Rare Metals Mine,"Metallmine, Al Quasim"
Ad Dawhah,Ad Dawhah
Ad Dawhah Independent Homestead,"Anwesen, Ad Dawhah"
Al Wakrah,Al Wakrah
Al Wakrah Government Hospice,"Hospiz, Al Wakrah"
Al Wakrah Government Medicare Orbital,"Orbit-Krankenstation, Al Wakrah"
Al Wakrah Independent Leisure Station,"Freizeitstation, Al Wakrah"
Ash Shariqah,Ash Shariqah
Al Fujayrah,Al Fujayrah
Al Fujayrah Dester Corporation Repair Station,Dester Corporation Reparaturstation
Al Fujayrah MAAS Homestead,Maas Systems Wohnanlage
Zanjan,Zanjan
Markazi,Markazi
Markazi Underworld Gangster Hideout,"Freihafen, Markazi "
Lorestan,Lorestan
Lorestan Independent Common Metals Mine,"Metallmine, Lorestan"
Khorasan,Khorasan
Khorasan Underworld Gangster Hideout,"Schlupfwinkel, Khorasan"
Ilam,Ilam
Ilam Helios Mining Rare Metals Mine,"Metallmine, Ilam "
Hamadan,Hamadan
Hamadan NOMEX Rare Metals Mine,"Metallmine, Hamadan"
Sharqi,Sharqi
Sharqi MAAS Water Processing Plant,"Wasserwerk, Sharqi"
Jahannam,Jahannam
Jahannam L-Point,"L-Punkt, Jahannam"
Hawiya,Hawiya
Dagon,Dagon
Dagon NOMEX Exotic Metals Processing Plant,"Spezialmetall-Verarbeitungsanlage, Dagon"
Laza,Laza
Laza L-Point,"L-Punkt, Laza"
Sa'ir,Sa'ir
Sa'ir Oman Outpost,"Oman-Vorposten, Sa'ir "
Saqar,Saqar
Al Wakrah Police Base,"Polizeistation, Al Wakrah"
Saqar NOMEX Docking Station,"SOLAN Andockstation, Saqar"
Saqar MAAS Docking Station,"Maas Andockstation, Saqar"
Saqar MAAS Security Station,"Maas Sicherheitsstation, Saqar"
Baal L-Point,"L-Punkt, Baal"
Saqar Advanced Security Corp Security Station,Advanced Security Corp Sicherheitsstation
Hutamah,Hutamah
Hutamah MASS Regional HQ,Maas Regionalhauptquartier
Hutamah NOMEX Regional HQ,SOLAN Regionalhauptquartier
Baal,Baal
Baal Exile Hideout,"Flüsterkneipe, Baal"
Baal Government STL Transceiver,"STL-Relaisstation, Baal"
Baal Exile Mad Scientist Lab,"Forschungslabor, Baal"
Baal Oman Outpost,"Oman-Vorposten, Baal "
Baal Network 54 Transmittion Station,Network 159-Sender
Jahim,Jahim
Jahim Government FTL Comms Array,"FTL-Kommunikationssystem, Jahim "
Jahim Exile Hermitage,"Klause, Jahim "
Jahim Oman Settlement,"Oman-Siedlung, Jahim"
The Oman Processing Plant,Oman-Verarbeitungsanlage
Daru el-Salam,Daru el-Salam
Jahim Beanstalk,"Himmelsleiter, Jahim "
Jahim Beanstalk,"Transferstation, Jahim "
Oman Defense Station Prime,Oman-Verteidigungsstation Prime
Oman Gunstar Array 1,Oman-Gunstar-Arsenal 1
Oman Gunstar Array 2,Oman-Gunstar-Arsenal 2
Oman Defense Station,Oman-Verteidigungsstation
