Osprey System,Osprey-System
Osprey I,Osprey I
Carlotti's Crumbs Government Garden Orbital,"Orbit-Garten, Carlotti's Crumbs "
Carlotti's Crumbs Government Medicare Orbital,"Orbit-Krankenstation, Carlotti's Crumbs"
Carlotti's Crumbs Underworld Pirate Base,"Flüsterkneipe, Carlotti's Crumbs"
Carlotti's Crumbs Underworld Gangster Hideout,"Freihafen, Carlotti's Crumbs"
Carlotti's Crumbs,Carlotti's Crumbs
Ricochette,Ricochette
Carlotti's Crumbs L-Point,"L-Punkt, Carlotti's Crumbs"
Valisia,Valisia
Zallan,Zallan
Tubbs,Tubbs
Tubbs Helios Mining Exotic Metals Mine,"Spezialmetallmine, Tubbs"
Tubbs Independent Mercenary Base,"Freie Söldnerbasis, Tubbs"
Tubbs Independent Common Metals Mine,"Metallmine, Tubbs "
Sunset,Sunset
Sunset Naval System Defence Station,"Systemverteidigungsstation, Sunset"
Sunset Independent Docking Station,"Andockstation, Sunset "
Sunset Independent Leisure Station,"Freizeitstation, Sunset"
Sunset Government Dome Garden,"Kuppelgarten, Sunset"
Sunset Independent Rare Metals Mine,"Metallmine, Sunset "
Sunset Government System Administration,Systemverwaltung
Sunset Government Hospice,"Hospiz, Sunset "
Sunset Government Medicare Orbital,"Orbit-Krankenstation, Sunset"
Sunset Government Asylum,"Exilheim, Sunset "
Cotchina,Cotchina
Sunset L-Point,"L-Punkt, Sunset"
Cotchina Independent Exotic Metals Mine,"Spezialmetallmine, Cotchina "
Eddison,Eddison
Rubicon,Rubicon
Eddison L-Point,"L-Punkt, Eddison "
Rubicon Underworld Gangster Hideout,"Freihafen, Rubicon"
Strozzi,Strozzi
Strozzi Independent Fusionable Gases Processing Plant,"Fusionsgaswerk, Strozzi"
Strozzi Independent Fusionable Gases Mine,"Fusionsgasmine, Strozzi"
Elouise,Elouise
Emily,Emily
Emily Police Outpost,"Polizeivorposten, Emily "
Emily Government Medicare Orbital,"Orbit-Krankenstation, Emily"
Emily Government High Security Prison,"Hochsicherheitstrakt, Emily "
Carla,Carla
Sofia,Sofia
Bess,Bess
Bess L-Point,"L-Punkt, Bess "
Cobett,Cobett
Cobett Covenrty Engineering Black Budget Research Station,Technische Forschungsstation Coventry
Rig,Rig
Rig Government STC System HQ,"RFK-Systemhauptquartier, Rig "
Yajur,Yajur
Sama,Sama
Soma,Soma
Soma Independent Common Metals Mine,"Freie Metallmine, Soma"
Soma Exile Hideout,"Versteck, Soma "
Puranas,Puranas
Puranas Independent Waystation,"Raststation, Puranas "
Puranas Independent Rare Metals Mine,"Mine seltener Metalle, Puranas"
Manu,Manu
Puranas L-Point,"L-Punkt, Puranas "
Vedas,Vedas
Manu L-Point,"L-Punkt, Manu"
Vedas Independent Exotic Metals Mine,"Spezialmetallmine, Vedas "
Vedas Government STC Post,"RFK-Station, Vedas "
Vedas L-Point,"L-Punkt, Vedas"
Vedas Government System Administration Centre,Systemverwaltungszentrale
Vedas Naval System Defense Station,"Systemverteidigungsstation, Vedas "
Vedas Stellar Net Transmittion Station,Stellar Net-Sender
Hegel,Hegel
Hegel Exile Hermitage,"Klause, Hegel "
Carlotti's Face,Carlotti's Face
Carlotti's Face Government Medicare Orbital,"Orbit-Krankenstation, Carlotti's Face"
Carlotti's Face Independent Fusionable Gases Mine,"Fusionsgasmine, Carlotti's Face "
Carlotti's Face Exile Mad Scientist Lab,"Institut, Carlotti's Face"
Thunder,Thunder
Thunder Government Medicare Orbital,"Orbit-Krankenstation, Thunder "
Thunder Exile Hideout,"Freihafen, Thunder"
Stoymir,Stoymir
Stoymir Government Medicare Orbital,"Orbit-Krankenstation, Stoymir "
Stoymir Government STL Comms Interchange,STL-Kommunikationsschaltstelle
Stoymir Government STL Transceiver,STL-Relaisstation
Stoymir Exile Mad Scientist Lab,"Forschungslabor, Stoymir "
Wenceslas,Wenceslas
Stoymir L-Point,"L-Punkt, Stoymir"
Lonely,Lonely
Lonely Government FTL Comms Interchange,FTL-Kommunikationsschaltstelle
Lonely Government FTL Comms Array,FTL-Kommunikationssystem
Lonely Independent Settlement,"Stadt, Lonely"
Lonely Government Dome Farm,"Kuppelfarm, Lonely "
Lonely Government Medicare Orbital,"Orbit-Krankenstation, Lonely"
Lonely Underworld Gangster Hideout,"Freihafen, Lonely"
Lonely Independent Homestead,"Kleines Dorf, Lonely"
Sunset City,"Großstadt, Sunset"
Sunset Independent Settlement,"Hüttensiedlung, Sunset"
