;Key Phrase_to_localise Sound_file_URL Comments,
;,
; Mission objectives,
;,
;,
;------------------------- ACT 0 ----------------------( 6 Missions total )------------------,
;,
a0_master_mission_name,Act 0
;,
;Mission 10,
;,
a0_m10_mission_name,Home Sweet Home
a0_m10_objectives_approach_clay,Approach Clay's Waypoint
a0_m10_objectives_approach_lesson,Use Approach Autopilot on a target
a0_m10_objectives_formate_lesson,Use Formate Autopilot on a target
a0_m10_objectives_starmap_lesson,Activate the Starmap
a0_m10_objectives_select_griffon,Select Griffon from the Starmap
a0_m10_objectives_fly_to,Fly to Griffon
a0_m10_objectives_fly_to_effrit,Fly to the Effrit
a0_m10_objectives_follow_waypoints,Follow waypoints to Lucrecia's Base
;,
;Mission 20,
;,
a0_m20_mission_name,Proving Grounds
a0_m20_objectives_complete_course,Complete Training Course in under 3 minutes
;,
;Mission Tour (30),
;,
a0_m35_mission_name,Grand Tour
;,
;Mission 40,
;,
a0_m40_mission_name,Errand Boy
a0_m40_objectives_visit,Visit Spielman at Charlesworth Freighter Station
a0_m40_objectives_meet_freight,Pick up package at Alexander L-Point
a0_m40_objectives_deliver_package,Deliver package to Junkers
a0_m40_objectives_collect,Collect reward from Spielman
a0_m40_objectives_intercept,Intercept Belrano around Griffon
a0_m40_objectives_return,Return stolen cargo to Spielman
;,
;Mission 50,
;,
a0_m50_mission_name,Junkyard Challenge
a0_m50_objectives_scout,Scout out the Junkyard
a0_m50_objectives_sneak,Sneak into Junkyard and dock to reactor
a0_m50_objectives_return,Get fuel rods back to base safely
;,
;Mission 60,
;,
a0_m60_mission_name,Nemesis
a0_m60_objectives_recover,Recover drone from Felix's lockup
;,
;------------------------- ACT 1 -------------------------------(10 Misssions Total )------,
;,
;ACT 1,
;,
a1_master_mission_name,Act 1
a1_m00_mission_name,Candy From a Baby
a1_m00_objective_checkout,Check out distress signal on edge of the Effrit
;,
;Mission 1,
;,
a1_m01_mission_name,The Great Escape
a1_m01_objective_change_iff,Change IFF beacon at Maurice's
a1_m01_objective_find_base,Find Lucrecia's Base
;,
;Mission 2,
;,
a1_m02_mission_name,The Stepsons
a1_m02_objective_visit,Visit Stepsons at meeting place
a1_m02_objective_steal,Steal Maas shipping manifest from courier at Touchdown L-Point
a1_m02_objective_recover,Recover shipping manifest from Grimwald Collection Station I
a1_m02_objective_deliver,Deliver shipping manifest to Stepsons
;,
;Mission 3,
;,
a1_m03_mission_name,Joint Forces
a1_m03_objectives_rendezvous,Rendezvous with strike fleet
a1_m03_objectives_destroy,Destroy marauder base
a1_m03_objectives_return,Return to Stepsons to collect reward
;,
;Mission 4,
;,
a1_m04_mission_name,The Heist
a1_m04_objectives_meet,Meet with Stepson informant
a1_m04_objectives_get_iff,Get a suitable IFF from the junkyard
a1_m04_objectives_redez,Redezvous with Jafs at meeting point
a1_m04_objectives_dock,Dock to Jafs and travel to Maas facility
a1_m04_objectives_recover,Recover fighters from security station
a1_m04_objectives_make_sure,Ensure Jafs escapes safely
;,
;Mission 5,
;,
a1_m05_mission_name,Marauder Cache
a1_m05_objectives_meet,Meet E. R. Oregon at asteroid mine
a1_m05_objectives_checkout,Check out the mining beacon
;,
;Mission 6,
;,
a1_m06_mission_name,The Trouble With Gunstars
a1_m06_objective_travel_to_base,Travel to Military FTL Relay
a1_m06_objective_dock_to_base,Dock to the station
a1_m06_objective_retrieve_arming_keys,Retrieve arming codes
a1_m06_objective_disarm_gunstars,Disarm gunstars
a1_m06_objective_call_in_freighter,Call Jafs to pickup gunstars
;,
;Mission 7,
;,
a1_m07_mission_name,Showdown
a1_m07_objective_go_to_hoffers,Travel to Hoffer's Gap
a1_m07_objective_arm_gunstars,Arm gunstars by docking to them
a1_m07_objective_destroy_marauders,Destroy Marauder vessels
a1_m07_objective_defend_hoffers_gap,Defend Hoffer's Gap
;,
;Mission 8,
;,
a1_m08_mission_name,League Initiation
a1_m08_objectives_meet,Meet League at waypoint
a1_m08_objectives_goto,Go to Memnon Military System Defence Dock
a1_m08_objectives_spray,Spray mark on Flagship
;,
;Mission 9,
;,
a1_m09_mission_name,Construction Yard
a1_m09_objectives_meet,Meet League at waypoint
a1_m09_objectives_travel,Travel to LOR platform location
a1_m09_objectives_cut,Detach habitation module from station with cutting drone
a1_m09_objectives_lor,Get LOR platform back to League
;,
;Mission 10,
;,
a1_m10_mission_name,Lucrecia's Hoard
a1_m10_objectives_find,Find Bill Dulley at Hoffer's Heel Ship Park
a1_m10_objectives_invest,Investigate Hoffer's Entertainment Complex to locate key
a1_m10_objectives_calculate,Calculate exact position of Lucrecia's Hoard using computer program
a1_m10_objectives_formate,Formate with NSO Vessels and travel to hoard location
a1_m10_objectives_recover,Recover hoard and crew
a1_m10_objectives_fail,Mission Failed: Crew Killed
;,
;------------------------- ACT 2 ------------------------(18 Mission total )--------------,
;,
;Master Script,
;,
a2_master_mission_name,Act 2
a2_master_objectives_look_help,Find help to combat Marauders in other systems
a2_master_objectives_talk_jackson,Talk to Frederick Jackson at Jackson's Yard around Pennacook
a2_master_objectives_firefrost1,"Visit Blue Note Social Club around Hyrokkin Beta, orbiting Firefrost III"
a2_master_objectives_firefrost2,Talk to sheriff at Firefrost System Administration around the planet Sunflower
a2_master_objectives_find_pilots,Find enough pilots to fly MCA fleet vessels
a2_master_objectives_leader,Investigate Clay's theory at Jacksons Yard
;,
;Mission 1,
;,
a2_m01_mission_name,Picking up the Pieces
a2_m01_objectives_protect,Protect LOR Platform from Marauder attackers
a2_m01_objectives_support,Protect League freighters from enemy fire
a2_m01_objectives_escort,Escort LOR Platform in convoy
a2_m01_objectives_cover,Cover convoy while they jump
;,
;Mission 2,
;,
a2_m02_mission_name,Meet the Oman
a2_m02_objectives_wait,Wait for Oman escort
a2_m02_objectives_formate,Formate with Oman escort and travel to initiation ground
a2_m02_objectives_complete,Complete the 3 initiation tasks for the Oman
a2_m02_objectives_fly_courage,Remote pilot training vessel to courage grounds waypoint
a2_m02_objectives_return_courage,Reclaim pod of gold from mine field and return it to waypoint
a2_m02_objectives_fly_cunning,Remote pilot training vessel to cunning grounds waypoint
a2_m02_objectives_follow_cunning,Navigate waypoints in gunstar field within time limit
a2_m02_objectives_fly_wisdom,Remote pilot training vessel to wisdom grounds waypoint
a2_m02_objectives_complete_wisdom,Complete wisdom puzzle
;,
;Mission 3,
;,
a2_m03_mission_name,Trouble at the Ranch
a2_m03_objectives_investigate,Investigate disturbances around Lucifuge in Eureka
a2_m03_objectives_revisit,Re-visit Third Way at Lucifuge
a2_m03_objectives_get_mines,Get defense mines from Hastur Pirate Base
a2_m03_objectives_manufacture,Manufacture 10 seeker mines
a2_m03_objectives_deliver,Deliver some mines to Lucifuge
;,
;Mission 4,
;,
a2_m04_mission_name,High Noon
a2_m04_objectives_redezvous,Rendezvous with posse at meeting point
a2_m04_objectives_lead,Lead group to hunt Marauders at Westley's waypoint
a2_m04_objectives_wing,Fly wing with group to hunt Marauders at Westley's waypoint
a2_m04_objectives_destroy,Destroy all Marauders
;,
;Mission 5,
;,
a2_m05_mission_name,Blockade Runner
a2_m05_objectives_redezvous,Meet MCA freighters at freighter assembly point
a2_m05_objectives_jump,Jump to Mwari with mercenaries to scout out route
a2_m05_objectives_eliminate,Eliminate Marauder threat
a2_m05_objectives_escort,Escort freighters to their destination
;,
; Another use of the 'Dock to the station objective!',
a2_m05_objective_dock_to_base,Dock to the station
;,
;Mission 7,
;,
a2_m07_mission_name,The Exile
a2_m07_objectives_redezvous,Speak to ambassador at Brotherhood Exile Ark in Santa Romera
a2_m07_objectives_lure,Lure Marauders away from ambassador
;,
;Mission 8,
;,
a2_m08_mission_name,Corporate Holdings
a2_m08_objectives_backdoor,Use Back-door L-Point in Mwari to get through to Dagda
a2_m08_objectives_clear,Clear mines before indenture freighters arrive
a2_m08_objectives_cover,Provide cover for transports as they jump out-system
a2_m08_objectives_leave,Leave system through L-Point
;,
;Mission 9,
;,
a2_m09_mission_name,Bloodhound
a2_m09_objectives_mca_base,Fly to MCA Base in Mwari
a2_m09_objecitves_patrol,Patrol waypoints and to allow sensor ship to pinpoint any Marauder transmissions
a2_m09_objectives_assault,Assault Marauder base and destroy any forces in the area
;,
;Mission 10,
;,
a2_m10_mission_name,Grassy Knoll
a2_m10_objectives_redezvous,Fly to meeting waypoint
a2_m10_objectives_equip,Go back to base to equip cannon
a2_m10_objectives_ammo,Retrieve ammo from 'Books' cargo near security station
a2_m10_objectives_shoot,Shoot out station window with sniper cannon
a2_m10_objectives_collect,Return to meeting waypoint to collect reward
;,
;Mission 11,
;,
a2_m11_mission_name,Unification
a2_m11_objectives_redezvous,Meet with fleet at rendezvous point
a2_m11_objectives_lpoint,Fly to Blackeye L-Point and clear out any Marauder resistance
a2_m11_objectives_cover,Cover L-Point and destroy any escaping Marauders
;,
;Mission 12,
;,
a2_m12_mission_name,Hunter or Hunted
a2_m12_objectives_fly,Fly to Greenback Orbital Transfer Station to obtain disruptors
a2_m12_objectives_scout,Scout out area around Haven Station
a2_m12_objectives_disable,Disable 'ghost' ship
a2_m12_objectives_capture,Dock and capture the ship
;,
;Mission 13,
;,
a2_m13_mission_name,The Kong Fracture
a2_m13_objectives_travel,"Travel to Hoffer's Wake Port Orbital, in orbit around Memnon"
a2_m13_objectives_head,Intercept Kong at Alexander L-Point
a2_m13_objectives_stop,Disable Kong to prevent them from destroying Police HQ
a2_m13_objectives_formate,Formate with Kong and follow to Freetown
a2_m13_objectives_investigate,Investigate large unidentified vessel
;,
; THE FOLLOWING TEXT COPIED FROM A1 M06 - Steve,
;,
