; FILE: DOutro_movie.csv,
; Key,
3,TEXT FOR LOCALISATION
4,"Rot in hell, Johnston!"
5,(screams in fear)
6,"Full power to weapons, Mr Elliot. If so much as a single alien comes through that accelerator, I want it blown out of space."
7,"Good to see you back, Mr Johnston."
8,Captain - are there any crew left on that accelerator?
9,No - why?
10,I think you know what I'm going to suggest.
11,Damn you!
12,(screams in terror)
13,"Just weeks ago we saw this gateway as a manmade barrier between the haves and the have-nots – a symbol of all that was wrong with humanity. But now the tables have turned, and the accelerator is a barricade holding back a storm of unprecedented ferocity. "
14,"But by sealing the accelerator and saving ourselves, we have isolated the Badlands. We can only speculate on what’s happening to everyone else. For all we know, we may be the last of our species. Perhaps one day we’ll return to discover the fate of humanity; but first, we must survive."
