; FILE: Dact3_mission08_addendum_3.csv,
; Key,GERMAN TRANSLATION
a3_m08_dialogue_cal_big_loop,"Was ist das denn? Sieht aus wie diese Schleife, die wir dem Sammler gebracht haben!"
a3_m08_dialogue_clay_but_bigger,"Aber tausendmal so groß! Zur Hölle, warum bauen die eine so riesige? Zapf ihren Funk an und finde heraus, was sie vorhaben."
name_von_schelling,Von Schelling
a3_m08_dialogue_von_schelling_intro,"....die Von Schelling Corporation ist stolz darauf, die Nova-Schleife präsentieren zu dürfen, einen neuen schlagkräftigen Plasmabeschleuniger zur Zerstörung von Stationen und Asteroiden. Es folgt eine kurze Demonstration."
a3_m08_dialogue_von_schelling_start,Das Gerät wird geladen....
a3_m08_dialogue_caleb_dont_do_it,"Aktiviert es nicht, verdammt! Ohne die Navy kriegen wir die Badlands niemals unter Kontrolle!"
a3_m08_name_engineer,Techniker
a3_m08_dialogue_engineer_panic,"Gerät betriebsbereit..... Sir, wir haben ein Problem! Es reagiert nicht auf unsere Eingaben! Wir haben es nicht mehr unter Kontrolle, es steuert sich selbst!"
a3_m08_dialogue_clay_yikes,Wir müssen Hoffer von hier weg bringen! Nimm dich in Acht vor diesen - was auch immer diese Dinger da sind - die fressen die Kreuzer bei lebendigem Leibe!
a3_m08_dialogue_cal_eating_the_hull,Sie fressen sich durch den Rumpf! Wir werden alle sterben!
a3_m08_name_von_schelling,"Von Schelling"
a3_m08_name_maas,"Maas"
