Ishime System,Ishime-System
Ishime I,Ishime I
Anesaki,Anesaki
Anesaki Government STC Post,"RFK-Station, Anesaki"
Anesaki Government Administration Centre,Systemverwaltung
Kokoro,Kokoro
Anesaki L-Point,"L-Punkt, Anesaki"
Kokoro Government Medicare Orbital,"Orbit-Krankenstation, Kokoro"
Kokoro Government High Security Prison,"Hochsicherheitstrakt, Kokoro"
Kokoro Police Base,"Polizeistation, Kokoro"
Mudabone,Mudabone
Nihongi,Nihongi
Kakutan,Kakutan
Nihongi L-Point,"L-Punkt, Nihongi"
Kakutan MAAS Exotic Metals Processing Plant,"Spezialmetall-Verarbeitungsanlage, Kakutan"
Ozaki,Ozaki
Ozaki MAAS Cluster Central HQ,"Maas Sternhaufen-Zentralhauptquartier, Ozaki"
MAAS Gunstar Array,Maas Gunstar-Arsenal
Ozaki MAAS Defense Station,Maas Verteidigungsstation
Kibami,Kibami
Ozaki L-Point,"L-Punkt, Ozaki"
Kibami Rhondus Gas Mining Fusionable Gases Processing Plant,Rhondus Gas Mining Fusionsgaswerk
Temmu,Temmu
Jakunen,Jakunen
Gemmyo,Gemmyo
Mumikansou,Mumikansou
Pansuke,Pansuke
Pansuke Numiko Products Electronics Manufacturing Plant,Numiko Products Elektronikfabrik
Pansuke Government Black Budget Research Station,"Sonderforschungs- und Entwicklungsstation, Pansuke"
Saseko,Saseko
Saseko MAAS Rare Metals Mine,Maas Mine seltener Metalle
Saseko Underworld Gangster Hideout,"Freihafen, Saseko"
Saseko MAAS Exotic Metals Mine,"Maas Spezialmetallmine, Saseko"
Saseko Independent Water Mine,"Wassermine, Saseko"
Saseko Crosspoint Minerals Common Metals Mine,Saseko Crosspoint Minerals Metallmine
Saseko MAAS Radioactives Mine,Maas Atommine
Gaishou,Gaishou
Gaishou Independent Water Processing Plant,"Wasserwerk, Gaishou"
Gaishou Government STL Transceiver,"STL-Relaisstation, Gaishou"
Haitsuchi,Haitsuchi
Haitsuchi Independent Settlement,"Gemeinde, Haitsuchi"
Haitsuchi MAAS Security Station,Maas Sicherheitsstation
Haitsuchi Police Base,"Polizeistation, Haitsuchi"
Haitsuchi Network 54 Transmittion Station,Network159-Sender
Gensho,Gensho
Haitsuchi L-Point,"L-Punkt, Haitsuchi"
Gensho Independent Rare Metals Mine,"Mine seltener Metalle, Gensho"
Gensho Underworld Pirate Outpost,"Freihafen, Gensho "
Izanagi,Izanagi
Izanagi MAAS Exotic Metals Mine,Maas Spezialmetallmine
Izanagi Independent Habitat,"Siedlung, Izanagi"
Yuutai,Yuutai
Yuutai Rhondus Gas Mining Fusionable Gases Mine,Rhondus Gas Mining Förderanlage
Fudoki,Fudoki
Fudoki MAAS Corporate Habitat,"Maas Unternehmenssiedlung, Fudoki"
Hyuga,Hyuga
Hyuga Government Medicare Orbital,"Orbit-Krankenstation, Hyuga "
Hyuga Independent Waystation,"Raststation, Hyuga "
Hyuga Independent Fusionable Gases Processing Plant,"Fusionsgaswerk, Hyuga"
Hyuga Independent Fusionable Gases Mine,"Fusionsgasmine, Hyuga"
Nagoya,Nagoya
Kadono,Kadono
Kadono Naval Testing Site,"Marineversuchsareal, Kadono"
Kami-Nari,Kami-Nari
Kadono L-Point,"L-Punkt, Kadono "
Shuumi,Shuumi
Amatsu-Mikaboshi,Amatsu-Mikaboshi
Amatsu-Mikaboshi Naval Outpost,"Marinevorposten, Amatsu-Mikaboshi "
Koken,Koken
Bishamon,Bishamon
Bishamon Exile Hermitage,"Exilklause, Bishamon"
Higo,Higo
Bishamon L-Point,"L-Punkt, Bishamon "
Higo Underworld Gangster Hideout,"Versteck, Higo "
Higo Helios Mining Rare Metals Mine,"Mine seltener Metalle, Higo"
Sutoku,Sutoku
Sutoku Exile Hideout,"Schlupfwinkel, Sutoku"
Genkan,Genkan
Genkan Exile Mad Scientist Lab,"Labor, Genkan"
Kadono Naval Defences,"Marineverteidigung, Kadono"
Kadono Naval Perimeter Defences,"Marinerundumverteidigung, Kadono"
