Dante System,Dante-System
Dante I,Dante I
Dante II,Dante II
Faust,Faust
Faust Alpha,Faust Alpha
Faust-Alpha L-Point,"L-Punkt, Faust Alpha"
Faust-Alpha L-Point Traffic Control,"L-Punkt-Lotsenstation, Faust Alpha"
Cicero,Cicero
Avicenna,Avicenna
Avicenna Beta,Avicenna Beta
Avicenna Alpha,Avicenna Alpha
Avicenna Gamma,Avicenna Gamma
Avicenna Delta,Avicenna Delta
Avicenna Epsilon,Avicenna Epsilon
Marauder Central HQ,Marauder-Zentralhauptquartier
Marauder Gunstar Array,Marauder-Gunstar-Arsenal
Marauder Defense Station,Marauder-Verteidigungsstation
Avicenna Zeta,Avicenna Zeta
Avicenna Theta,Avicenna Theta
Avicenna Iota,Avicenna Iota
Ortega,Ortega
Ortega Beta,Ortega Beta
Ortega Alpha,Ortega Alpha
Ortega Delta,Ortega Delta
Ortega Gamma,Ortega Gamma
Ortega Zeta,Ortega Zeta
Ortega Epsilon,Ortega Epsilon
Ortega Theta,Ortega Theta
Ortega Iota,Ortega Iota
Ortega Kappa,Ortega Kappa
Ortega Lambda,Ortega Lambda
Valia,Valia
Valia Alpha,Valia Alpha
Valia Beta,Valia Beta
Marauder Supply Depot,Marauder-Nachschubdepot
Valia Gamma,Valia Gamma
Valia Delta,Valia Delta
Valia Epsilon,Valia Epsilon
Malthus,Malthus
Dante Interstellar L-Point,"Interstellarer L-Punkt, Dante"
Marauder Interstellar L-Point Defense Station,Marauder-L-Punkt-Verteidigungsstation
Marauder Interstellar L-Point Gunstar Array,Marauder-L-Punkt-Gunstar-Arsenal
Marauder Shipyard,Marauder-Schiffswerft
Milton,Milton
Milton Alpha,Milton Alpha
Milton Beta,Milton Beta
Milton Gamma,Milton Gamma
Milton-Gamma L-Point,"L-Punkt, Milton Gamma"
Marauder Milton-Gamma L-Point Defense Station,"L-Punkt-Verteidigungsstation, Milton Gamma"
Marauder Milton-Gamma L-Point Minefield,"L-Punkt-Minensperre, Milton Gamma"
,
,
,
,
,
,
,
,
,
,
,
,
,
,

