Hoffer's Wake System,Hoffer's Wake-System
Hoffer's Wake Alpha,Hoffer's Wake Alpha
Junkyard,Schrottplatz
Military FTL Outpost,Militärischer FTL-Vorposten
Griffon,Griffon
Griffon Common Metals Mine,"Metallmine, Griffon"
Griffon Exotic Metals Mine,"Spezialmetallmine, Griffon"
Griffon Orbital Transfer Station,"Transferstation, Griffon"
Helios Mining Local HQ,Helios Mining Lokalhauptquartier
Griffon Common Metals Processing Plant,"Metallverarbeitungsanlage, Griffon"
Refuge Squatter Camp,Flüchtlingsdorf
Rosie's Piggery,Rosie's Piggery
Samarakand,Samarkand
Greydog City,Greydog City
Samarakand Common Metals Processing Plant - disused,"Metallverarbeitungsanlage (stillgelegt), Samarkand"
Charitable Sisters of Pity Hospital,Hospital der Barmherzigen Schwestern
Lomax Technologies Energy Cell Manufacturing Plant,Lomax Technologies Energiezellenfabrik
Samarakand Freelancer Settlement,"Freelancer-Siedlung, Samarkand"
Samarakand Independent Common Metals Mine,"Metallmine, Samarkand"
Samarakand Orbital Transfer Station,"Transferstation, Samarkand"
Samarakand Trading co,"Handelsgesellschaft, Samarkand"
Samarakand L-Point,"L-Punkt, Samarkand"
Jebiadiah's Foundary,Jebiadiahs Gießerei
Samarkand L-Point Police Base - disused,"L-Punkt-Polizeistation (stillgelegt), Samarkand "
Petra,Petra
Maas Corporation Mining Facility,Maas Corporation Bergbaubetriebe
Maas Systems Orbital Transfer Station,Maas Corporation Transferstation
Maas Systems Processing Plant,Maas Corporation Verarbeitungsanlage
Maas Systems Security Station,Maas Corporation Sicherheitsstation
Maas Corporation  Local Supply Depot,Maas Corporation Lokales Nachschubdepot
Maas Corporation Electronics Manufacturing Plant,Maas Corporation Elektronikfabrik
Timbuktu,Timbuktu
Timbuktu Alpha Mine,"Mine Alpha, Timbuktu "
Timbuktu Beta Mine,"Mine Beta, Timbuktu"
Shangri-La,Shangri-La
Timbuktu Radiactives Mine,"Atommine, Timbuktu"
Timbuktu Orbital Transfer Station,"Transferstation, Timbuktu "
Trimann Shipping Trading Post,Trimann Shipping Handelsniederlassung
Crosspoint Minerals Processing Plant,Crosspoint Minerals Verarbeitungsanlage
Trimann Shipping Freighter Service Yard,Trimann Shipping Frachterwartungsdepot
The Effrit,Effrit
Lucrecia's Base,Lucrecia's Basis
Touchdown,Touchdown
