Mwari I,Mwari I
Sauna,Sauna
Charcoal,Charcoal
Tamaa,Tamaa
Gwai,Gwai
Crust,Crust
FreeClaim,Free Claim
Inner Belt,Innerer Gürtel
Jerkey,Jerkey
Dog 2 Station,Dog 2-Station
Glasseye,Glasseye
Dog 1 Station,Dog 1-Station
Rockboy,Rockboy
Darwin,Darwin
Borehole,Borehole
Darwin L-Point,"L-Punkt, Darwin"
Jessop's Knot,Jessop's Knot
Signal,Signal
Balley's World,Balley's World
MCA Forward Defence Station,MCA-Vorverteidigungsstation
Scarface,Scarface
Balley's World L-Point,"L-Punkt, Balley's World"
Longshot,Longshot
DomeTown,Dome Town
Longshot Beanstalk Dock,"Himmelsleiter, Longshot"
Longshot Beanstalk Dock,"Transferstation, Longshot "
Longshot MCA Defence HQ,"MCA-Verteidigungshauptquartier, Longshot"
Salamanca,Salamanca
Salamanca Security Station,"Sicherheitsstation, Salamanca"
Salamanca Infonet Transmittion Station,InfiroNet-Sender
Salamanca Rare Metals Mine,"Mine seltener Metalle, Salamanca"
Salamanca City,"Stadt, Salamanca"
Salamaca Orbital Transfer Station,"Transferstation, Salamanca "
Salamaca Gardens,"Gärten, Salamanca"
Krak,Krak
Alcazar,Alcazar
Garden,Garden
Purgatory,Purgatory
Fort Hope,Fort Hope
Fort Faith,Fort Faith
Fort Charity,Fort Charity
Garden Beanstalk,"Himmelsleiter, Garden"
Garden Beanstalk,"Transferstation, Garden"
Allise,Allise
Allise M.C.A Exotic Metals Processing Plant,MCA-Spezialmetall-Verarbeitungsanlage
Brigit,Brigit
Brigit Independent Homestead,"Anwesen, Brigit"
Outer Belt,Äußerer Gürtel
Josephine,Josephine
Josephine Independent Rare Metals Processing Plant,"Erzverarbeitungsanlage, Josephine"
Camille,Camille
Camille M.C.A Forward Base,"MCA-Vorposten, Camille"
Nicole,Nicole
Nicole Independent Homestead,"Freies Anwesen, Nicole"
Beatrice,Beatrice
Beatrice Independent Common Metals Processing Plant - disused,"Erzverarbeitungsanlage (stillgelegt), Beatrice"
Socrates,Socrates
Aristotle,Aristotle
Thales,Thales
Pestur,Pestur
Pestur L-Point,"L-Punkt, Pestur"
Lilly,Lilly
Black Dog,Black Dog
Mesa,Mesa
Pythagoras,Pythagoras
Pythagoras Independent Fusionable Gases Mine,"Fusionsgasmine, Pythagoras"
Saxon,Saxon
Rainbow,Rainbow
Grimm,Grimm
Empedocles,Empedocles
Sauerland,Sauerland
Mantra,Mantra
Elixir,Elixir
Festoon,Festoon
Tappa,Tappa
Aristal,Aristal
Samson,Samson
Delila,Delila
