New_Bavaria System,Neu-Bayern-System
New_Bavaria I,Neu-Bayern I
Albrecht,Albrecht
Albrecht Underworld Pirate Outpost,"Freihafen, Albrecht"
Nurnberg,Nürnberg
Albrecht L-Point,"L-Punkt, Albrecht"
Nurnberg Coventry Engineering Black Budget Research Station,"Forschungsstation, Nürnberg"
Charlemagne,Karl der Große
Nurnberg L-Point,"L-Punkt, Nürnberg"
Charlemagne MAAS Security Station,Maas Sicherheitsstation
Charlemagne Independent Agricultural Settlement,"Agrar-Siedlung, Karl der Große"
Charlemagne Independent Exotic Metals Mine,"Spezialmetallmine, Karl der Große"
Charlemagne Independent Waystation,"Raststation, Karl der Große"
Charlemagne MAAS Common Metals Mine,"Metallmine, Karl der Große"
Charlemagne Government FTL Comms Array,"FTL-Kommunikationssystem, Karl der Große"
Ludwig,Ludwig
Ludwig Government Medicare Orbital,"Orbit-Krankenstation, Ludwig"
Augsburg,Augsburg
Augsburg Naval Training Base,"Marinetrainingslager, Augsburg"
Augsburg Naval Perimeter Defences,"Marinerundumverteidigung, Augsburg"
Augsburg Independent Leisure Station,"Freizeitstation, Augsburg"
Augsburg Government Medicare Orbital,"Orbit-Krankenstation, Augsburg"
Augsburg Government Garden Orbital,"Orbit-Garten, Augsburg"
Augsburg Independent Waystation,"Raststation, Augsburg"
Augsburg Naval Research Facility,"Marineforschungseinrichtung, Augsburg"
Augsburg Independent Rare Metals Mine,"Metallmine, Augsburg"
Augsburg Independent Common Metals Mine,"Metallmine, Augsburg"
Bamberg,Bamberg
Bamberg Independent Agricultural Settlement,"Agrar-Siedlung, Bamberg"
Bamberg Independent Mercenary Base,"Söldnerbasis, Bamberg"
Pepin,Pepin
Pepin Government Medicare Orbital,"Orbit-Krankenstation, Pepin "
Pepin Independent Exotic Metals Mine,"Spezialmetallmine, Pepin"
Pepin Independent Rare Metals Mine,"Metallmine, Pepin "
Pepin Government STC Post,"RFK-Station, Pepin "
Pepin Police Outpost,"Polizeivorposten, Pepin "
Pepin Government System Administration,Systemverwaltung
Pepin Network 54 FTL Interchange,Network159-FTL-Schaltstelle
Wurzburg,Würzburg
Pepin L-Point,"L-Punkt, Pepin "
Wurzburg Government Medicare Orbital,"Orbit-Krankenstation, Würzburg "
Wurzburg Exile Hideout,"Versteck, Würzburg"
Freising,Freising
Freising Independent Dry Dock,"Trockendock, Freising"
Freising Independent Common Metals Mine,"Metallmine, Freising "
Freising Independent Repair Station,"Reparaturstation, Freising"
Freising Exile Mad Scientist Lab,"Labor, Freising"
Freising Government Ore Transfer Station,"Erz-Transferstation, Freising "
Freising LOMAX Engines Fusion Reactor Manufacturing Plant,"Fusionsreaktorfabrik, Freising"
Freising MAAS Neutronium Processing Plant,"Neutronium-Aufbereitungsanlage, Freising"
Freising Advanced Security Corp Security Station,"Sicherheitsstation, Freising"
Freising Advanced Security Corp Security Fortress,"Sicherheitsfestung, Freising"
Freising Independent Common Metals Mine,"Metallmine, Freising"
Freising Independent Fusion Reactor Manufacturing Plant,Maas Fusionsreaktorfabrik
Freising Independent Agricultural Settlement,"Agrar-Siedlung, Freising "
Freising MAAS Neutronium Mine,Maas Neutroniummine
Freising Government Warehouse 1,"Staatliches Lagerhaus 1, Freising "
Freising Government Warehouse 2,"Staatliches Lagerhaus 2, Freising "
Freising Government Docking Facility,"Staatliche Andockstation, Freising"
Freising MAAS Defense Station,Maas Verteidigungsstation
Donauworth,Donauwörth
Donauworth Independent Exotic Metals Mine,"Spezialmetallmine, Donauwörth"
Donauworth Government Medicare Orbital,"Orbit-Krankenstation, Donauwörth"
Donauworth Independent Common Metals Mine,"Metallmine, Donauwörth"
Donauworth Government STL Transceiver,"STL-Relaisstation, Donauwörth"
Donauworth Military Police Outpost,"Militärpolizei-Vorposten, Donauwörth "
Donauworth Government High Security Prison,"Hochsicherheitstrakt, Donauwörth "
Donauworth L-Point,"L-Punkt, Donauwörth "
Nilfheim,Nilfheim
Eisner,Eisner
Eisner Rhondus Gas Mining Fusionable Gases Mine,Rhondus Gas Mining Fusionsgasmine
Freising Independent Homestead 1,Boatha-Anwesen
Freising Independent Homestead 2,Kripp-Anwesen
Freising Independent Homestead 3,Zimmer-Anwesen
