Owens_Star System,Owen's Star-System
Owens_Star I,Owen's Star I
Owen's Field Underworld Pirate Base,"Freie Stadt, Owen's Field"
Owen's Field Underworld Gangster Hideout,"Flüsterkneipe, Owen's Field"
Owen's Field Exile Hideout,Shady Mary's
Fender,Moore
Fender Military Police Outpost,"Militärpolizei-Vorposten, Moore"
Fender MAAS Security Station,"Maas Sicherheitsstation, Moore"
Fender Government High Security Prison,"Hochsicherheitstrakt, Moore"
Fender L-Point,"L-Punkt, Moore"
Fender Independent Rare Metals Mine,"Mine seltener Metalle, Moore"
Fender Government Dome Garden,"Kuppelgarten, Moore"
Fender Naval STL Transceiver,"Marine-STL-Relaisstation, Moore"
Fender Naval STC System HQ,"Marine-RFK-Systemhauptquartier, Moore"
Fender Exile Agricultural Settlement,"Agrar-Siedlung, Moore"
Fender Independent Rare Metals Processing Plant,"Verarbeitungsanlage für seltene Metalle, Moore"
Fender Exile Religious Centre,Kapelle des Reisenden
Fender Independent Waystation,"Raststation, Moore"
Fender Independent Exotic Metals Mine,"Spezialmetallmine, Moore"
Fender Independent Common Metals Mine,"Metallmine, Moore"
Fender NOMEX Electronics Manufacturing Plant,SOLAN Elektronikfabrik
Fender Exile Collective Settlement,"Kollektiv, Moore"
Owen's Field Government System Administration,Systemverwaltung
Marshall,Marshall
Marshall System L-Point,"L-Punkt, Marshall"
Marshall Underworld Gangster Hideout,"Freihafen, Marshall "
Marshall Independent Exotic Metals Processing Plant,"Spezialmetall-Verarbeitungsanlage, Marshall"
Marshall Independent Exotic Metals Mine,"Spezialmetallmine, Marshall "
Marshall Stellar Net Transmittion Station,Stellar Net-Sender
Owen's Field,Owen's Field
,
