Santa Romera System,Santa Romera-System
Santa Romera I,Santa Romera I
Sebastian's Belt,Sebastians Gürtel
Breeze,Breeze
Breeze Government Medicare Orbital,"Orbit-Krankenstation, Breeze"
Breeze Independent Docking Station,"Andockstation, Breeze"
Breeze Independent Waystation,"Raststation, Breeze"
Crocus,Crocus
Crocus Independent Homestead,"Anwesen, Crocus"
Guru,Guru
Guru Government Medicare Orbital,"Orbit-Krankenstation, Guru"
Guru Independent Rare Metals Processing Plant,"Verarbeitungsanlage, Guru"
Guru Independent Settlement,"Siedlung, Guru "
Kiri,Kiri
Little Blue,Little Blue
Little Blue Government Medicare Orbital,Hospital der Barmherzigen Schwestern
Little Blue Independent Exotic Metals Mine,"Spezialmetallmine, Little Blue"
Nymas,Nymas
Nymas MAAS Common Metals Mine,"Maas Metallmine, Nymas"
Nymas MAAS Common Metals Processing Facility,"Erzverarbeitungsanlage, Nymas"
Nymas MAAS Security Station,Maas Sicherheitsstation
Reservation,Reservation
Reservation Government Medicare Orbital,"Orbit-Krankenstation, Reservation"
Reservation Independent Settlement,"Metropole, Reservation "
Reservation Independent Waystation,"Raststation, Reservation"
Reservation L-Point,"L-Punkt, Reservation"
Saria,Saria
Saria Belt Underworld Pirate Base,"Schlupfwinkel, Saria "
The Baron,Baron
The Baron Independent Agricultural Settlement,"Agrar-Siedlung, Baron"
The Baron Underworld Gangster Hideout,"Hüttensiedlung, Baron "
Skallywag,Skallywag
Skallywag Government Dome Farm,"Kuppelfarm, Skallywag "
Skallywag L-Point,"L-Punkt, Skallywag"
Faith,Faith
Kiri-Bi,Kiri-Bi
Kiri-Bi L-Point,"L-Punkt, Kiri-Bi"
Uchi-Bi,Uchi-Bi
Unity,Unity
Freedom,Freedom
Hot Rock,Hot Rock
Hot Rock Government Medicare Orbital,"Orbit-Krankenstation, Hot Rock"
Hot Rock Independent Agricultural Settlement,"Agrar-Siedlung, Hot Rock "
Hot Rock Independent Common Metals Mine,"Metallmine, Hot Rock"
Hot Rock Independent Rare Metals Mine,"Spezialmetallmine, Hot Rock "
