; FILE: Dideathmatch#3.csv,
; Key,
; FILE NAME,GERMAN TRANSLATION
;,
mp_frag_player_spawned,wurde als neue Spielfigur erstellt.
mp_frag_player_left,hat uns verlassen.
mp_frag_player_falling,
mp_frag_player_transported,Du wurdest zurück zur Basis transportiert.
mp_frag_player_stuffed_you,Erwischt!
mp_flag_player_killed,%s hat %s getötet.
mp_frag_ammo_power_up,"Munitionsstärke gesteigert um:
"
mp_kill_message_1,"%s+ hat +%s+ eine Abreibung verpasst."
mp_kill_message_2,"%s+ wurde von +%s+ haushoch geschlagen."
mp_kill_message_3,"%s+ wurde von +%s+ zerstört."
mp_kill_message_4,"%s+ wurde von +%s+ ordentlich versohlt."

mp_bomb_kill_message_1,"Aua, mein Kopf!"
mp_bomb_kill_message_2,Das war zu viel!
mp_bomb_warning_message,Sekunden bis zur Explosion:
mp_health_message,Steigerung der Lebensenergie (%):
mp_speed_message_up,Steigerung der Maximalgeschwindigkeit (%):
mp_speed_message_down,Neueinstellung Maximalgeschwindigkeit
mp_station_name,Spondonium
,
mp_frag_graveyard,Friedhof
mp_suicide_1,hat Selbstmord begangen
mp_suicide_2,hat sich selbst in die Luft gejagt
,
,
mp_time_limit_two_minutes,Noch 2 Minuten
mp_time_limit_one_minute,Noch 1 Minute
mp_frag_limit_1,Noch ein Frag
mp_frag_limit_2,Noch zwei Frags
mp_frag_limit_3,Noch drei Frags





,
,
,
,
,
,
,
,
,
,
,
,
