Cargo_AchillesShieldDisruptor,Achilles-Schildrakete,Achilles-Rakete
Cargo_AchillesShieldDisruptors,Achilles-Bündel,Achilles-Bündel
Cargo_ActiveCooler,Aktivkühler,Aktivkühler
Cargo_ActiveSensorPackage,Aktivsensoren 2,Aktivsens. 2
Cargo_AdvancedActiveSensors,Aktivsensoren 3,Aktivsens. 3
Cargo_AdvancedHeatSink,Verbesserter Hitzeabl.,Verb. Hitzeabl.
Cargo_AdvancedHullMaterialRefit,Verbesserter Rumpf,Verbess. Rumpf
Cargo_AdvancedPassiveSensors,Passivsensoren 3,Passivsens. 3
Cargo_AdvancedSensorDisruptor,Signaltarnung 3,Signaltarnung 3
Cargo_AggressorShieldUpgrade,Angriffsschild,Angriffsschild
Cargo_AlphaHeatSink,Alpha-Hitzeableiter,Alpha-Hitzeabl.
Cargo_AntimatterMine,Antimateriemine,Antimateriemine
Cargo_AntimatterMines,Antimaterieminenbündel,Antim.-M.-Bdl.
Cargo_AntimatterParticleBeam,Antimaterie-TSK,Antimat.-TSK
Cargo_AntimatterPowerPod,Antimat.-Energiekapsel,Antimat.-Kapsel
Cargo_AntimatterStreamer,Antimaterie-Strahler,Antimat.-Strahl
Cargo_AntimatterRemote,Antimat.-REM-Rakete,Antim.-REM-Rkt.
Cargo_ArmouredHullPlates,Rumpfpanzerung,Rumpfpanzerung
Cargo_AssaultCannon,Gatling-Sturmkanone,Gatling-Sturmk.
Cargo_AssaultCannonAmmo,Gatling-Munition,Gatling-Munit.
Cargo_AssaultCannonAmmoRound,Gatling-Geschoss,Gatling-Gesch.
Cargo_AssaultCannonRingModel,Sturmkanone,Sturmkanone
Cargo_AssaultShield,Angriffs-LDA,Angriffs-LDA
Cargo_AutopilotDock,Auto-Andocken,Auto-Andocken
Cargo_BetaHeatSink,Beta-Hitzeableiter,Beta-Hitzeabl.
Cargo_BlizzardRocket,Blizzard-Rakete,Blizzard-Rakete
Cargo_BlizzardRocketPod,Blizzard-Bündel,Blizzard-Bündel
Cargo_CapsuleDrive,Hyperantrieb,Hyperantrieb
Cargo_ColdGasThrusters,Kaltgas-Schubdüsen,Kaltgas-Schubd.
Cargo_CombatShields,Kampf-LDA,Kampf-LDA
Cargo_CommunicationsLaser,Kommunikationslaser,Kommunik.-Laser
Cargo_CompactShipAI,Kompakt-KI,Kompakt-KI
Cargo_CooledPBC,Kühler-TSK,Kühler-TSK,
Cargo_CuttingBeam,Schneidestrahl,Schneidestrahl,
Cargo_DeadshotMissile,Deadshot-Rakete,Deadshot-Rakete,
Cargo_DeadshotMissiles,Deadshot-Bündel,Deadshot-Bündel,
Cargo_DeathblowRemote,Death-Blow-REM-Bdl.,D-Blow-REM-Bdl.,
Cargo_DeathblowRemoteMissile,Death-Blow-REM-Rkt,D-Blow-REM-Rkt.,
Cargo_Decoy,ECM-Köder,ECM-Köder,
Cargo_Decoys,ECM-Köder-Bündel,ECM-Köder-Bdl.,
Cargo_DefenceShield,Abwehr-LDA,Abwehr-LDA,
Cargo_DeltaHeatSink,Delta-Hitzeableiter,Delta-Hitzeabl.,
Cargo_DisruptorMissile,Disruptorrakete,Disruptor-Rkt.,
Cargo_DisruptorMissiles,Disruptor-Bündel,Disruptor-Bdl.,
Cargo_DockOnAutoTurret,Port. Geschützturm,Port. Geschützt.,
Cargo_EmergencyCoolingPod,Kühlkapsel,Kühlkapsel,
Cargo_EngineManagementProgram,Antriebsprogramm,Antriebsprogr.,
Cargo_EnhancedAimPBC,Bildmodul,Bildmodul,
Cargo_Flare,Leuchtrakete,Leuchtrakete
Cargo_Flares,Leuchtraketenbündel,Leuchtrkt.-Bdl.
