statistics_kill_rating_level_1,Unbekannt
statistics_kill_rating_level_2,Neuling
statistics_kill_rating_level_3,Qualifiziert
statistics_kill_rating_level_4,Kompetent
statistics_kill_rating_level_5,Geschickt
statistics_kill_rating_level_6,Ass
statistics_kill_rating_level_7,Veteran
statistics_kill_rating_level_8,Legende
statistics_kill_rating_level_9,Clay ebenbürtig
statistics_kill_rating_level_10,Clay überlegen
statistics_total,Gesamt
statistics_current,Seit Start
statistics_kills,Abschüsse
statistics_score,Stand
statistics_rating,Wertung
statistics_pods_pirated,Erbeutete Kapseln
statistics_pirated_value,Beutewert
statistics_shot_accuracy,Treffergenauigkeit
statistics_missile_accuracy,Raketentrefferquote
