stock_warn_1_male_1,"Du willst mir Angst machen, Grubenabschaum?"
stock_warn_3_male_1,Verschwinde!
stock_warn_4_male_1,"Wir tun jetzt mal so, als wär' das nie passiert."
stock_warn_5_male_1,Denk nicht mal dran.
stock_warn_6_male_1,"Keine Dummheiten, Mann."
stock_warn_7_male_1,"Gehen wir mal davon aus, dass dir der Finger ausgerutscht ist... dieses eine Mal."
stock_warn_8_male_1,"Zurück, oder ich mach' dich kalt."
stock_warn_9_male_1,Ich werde dich jetzt bitten zu gehen.
stock_warn_10_male_1,"Ich hab' nichts bei mir, lass mich in Ruhe!"
stock_warn_11_male_1,"Verschwinde jetzt, oder du musst die Konsequenzen tragen!"
stock_warn_12_male_1,"Mach das noch einmal, und ich stecke dir deine Kanone sonstwo hin."
stock_warn_13_male_1,"Tu nichts, was du noch bereuen könntest, Hitzkopf!"
stock_warn_14_male_1,Hey!
;,
stock_attack_1_male_1,"Stirb grausam, Loser!"
stock_attack_2_male_1,Ich werd' dir so was von wehtun!
stock_attack_3_male_1,STIRB!
stock_attack_4_male_1,Das wirst du mir büßen!
stock_attack_5_male_1,An dir statuieren wir ein Exempel.
stock_attack_6_male_1,"Ich kriege Verstärkung, und du gehörst der Vergangenheit an..."
stock_attack_7_male_1,Ich schieß' dich ab!
stock_attack_8_male_1,Du bist am Ende!
stock_attack_9_male_1,Ich vernichte dich!
stock_attack_10_male_1,Das Spiel ist aus!
stock_attack_11_male_1,Ich reiß dich in Stücke!
stock_attack_12_male_1,Hoffentlich hast du deine Schiffsversicherung bezahlt!
;,
stock_flee_gangster_1_male_1,"Ich komm' wieder, Freundchen... Glaub nicht, dass wir miteinander fertig sind!"
stock_flee_gangster_2_male_1,Hilfe!
stock_flee_gangster_3_male_1,Ich hau' ab!
;,
stock_flee_civillian_1_male_1,Hilfe! Polizei!!
stock_flee_civillian_2_male_1,"Nicht schießen, ich bin unschuldig!"
stock_flee_civillian_3_male_1,Ich werde dich anzeigen!
stock_flee_civillian_4_male_1,Ich will nicht sterben!
;,
stock_surrender_cargo_1_male_1,"Schon gut! Wir geben auf, nimm die Fracht!"
stock_surrender_cargo_2_male_1,Ich geb' dir meine Fracht!
stock_surrender_cargo_3_male_1,Keine Fracht ist mein Leben wert...
stock_surrender_cargo_4_male_1,"Da hast du die Fracht, aber glaub nicht, dass du damit davonkommst!"
stock_surrender_cargo_5_male_1,Bitte... Nimm dir die Fracht und verschwinde!
stock_surrender_cargo_6_male_1,Nimm dir die verdammten Kapseln. Wir kriegen dich noch!
stock_surrender_cargo_7_male_1,"Schon gut, Mann, du musst doch nur fragen!"
;,
stock_surrender_no_cargo_1_male_1,Nicht schießen! Ich ergebe mich!
stock_surrender_no_cargo_2_male_1,Halt! Ich gebe auf!
stock_surrender_no_cargo_3_male_1,Zerstör uns bitte nicht!
stock_surrender_no_cargo_4_male_1,Ich mach' mich aus dem Staub!
stock_surrender_no_cargo_5_male_1,"Ich hab' nichts geladen, lass mich gehen!"
;,
stock_complain_1_male_1,Meine Gebühren werden rapide steigen.
stock_complain_2_male_1,Das ist es einfach nicht wert.
stock_complain_3_male_1,"Mann! Bin ich froh, dass ich nächsten Monat in Rente gehe!"
stock_complain_4_male_1,"Das war's dann mit dem Schadenfreiheitsrabatt, du Hundesohn."
stock_complain_5_male_1,"Und ich dachte, meine letzte Fahrt wär' schlimm gewesen!"
stock_complain_6_male_1,"Du bist so gütig, dass du uns nicht tötest. Du willst uns doch nicht töten, oder?"
stock_complain_7_male_1,Nimm keine Rücksicht auf mich. Meine Versicherung kommt schon dafür auf.
;,
stock_distress_1_male_1,"Mayday, Mayday, wir werden angegriffen!"
stock_distress_2_male_1,Irgendwer in der Nähe? Hilfe!
stock_distress_3_male_1,Ein Hinterhalt! Hilfe!
stock_distress_4_male_1,Wir sind unter Beschuss! Erbitten Hilfe!
;,
stock_thanks_1_male_1,Danke... Das werden wir dir nie vergessen!
