;Key Phrase_to_localise Comments,
;,
;PLEASE NOTE THAT ALL COMMENTS REFER TO THE DIALOGUE IMMEDIATELY FOLLOWING THE COMMENT.,
;,
;THIS IS PART OF THE IN-GAME INTERFACE TEXT,
;,
; ONSCREEN TEXT ONLY - NOT SPOKEN,
; GUI titles and other fancy buttons - 12 character limit,
;,
basemenu_hangar,HANGAR
basemenu_trade,TRADE
basemenu_inventory,INVENTORY
basemenu_recycling,RECYCLING
basemenu_manufacturing,MANUFACTURING
basemenu_communications,COMMUNICATIONS
basemenu_encyclopedia,ENCYCLOPEDIA
basemenu_starmap,STARMAP
hangarmenu_launch,LAUNCH
hangarmenu_ship,SHIP
hangarmenu_loadout,LOADOUT
hangarmenu_manifest,MANIFEST
loadoutmenu_customise,CUSTOMIZE
loadoutmenu_add_cargo,ADD CARGO
loadoutmenu_rearm,REARM
encyclopaedia_back,BACK
pda,PDA
pda_start_new_game,START NEW GAME
pda_load_game,LOAD GAME
pda_instant_action,INSTANT ACTION
pda_multiplayer,MULTIPLAYER
pda_options,OPTIONS
pda_quit_button,QUIT
pda_save_game,SAVE GAME
pda_resume,RESUME
pda_quit,QUIT


;,
; ONSCREEN TEXT ONLY - NOT SPOKEN,
; These ship readiness strings have a 15 character limit,
;,
hangarmenu_loadout_not_spaceworthy,NOT SPACEWORTHY
hangarmenu_loadout_check_manifest,CHECK MANIFEST


;,
; ONSCREEN TEXT ONLY - NOT SPOKEN,
; The loadout names are limited to just 8 characters, because of the hangar
; ship readiness description,
;,
loadoutmenu_standard,STANDARD
loadoutmenu_stealth,STEALTH
loadoutmenu_assault,ASSAULT
loadoutmenu_ecm,ECM
loadoutmenu_custom,CUSTOM


;,
; ONSCREEN TEXT ONLY - NOT SPOKEN,
; The ship names are limited to 11 characters because of the hangar ship,
; readiness description.,
;,
ship_type_command_section,COMMAND SECTION
ship_type_tug,TUG
ship_type_fast_attack_ship,ADVANCED PATCOM
ship_type_heavy_corvette,HEAVY CORVETTE
ship_type_storm_petrel,STORM PETREL
ship_type_no_ship,NO SHIP


;,
; ONSCREEN TEXT ONLY - NOT SPOKEN,
; Tab headings are limited to 15 characters. These headings should be ,
; localised as nouns - e.g. ""an offer"" not ""they offer"".",
;,
gui_item,ITEM
commsmenu_sender,SENDER
commsmenu_subject,SUBJECT
encyclopaedia_topic,TOPIC
trading_faction,FACTION
trading_offer,OFFER
trading_want,REQUEST
inventory_quantity,QUANTITY
recycling_value,RECYCLE VALUE
manufacturing_cost,COST


; ,
; ONSCREEN TEXT ONLY - NOT SPOKEN,
; Smaller buttons are limited to 17 characters,
;,
gui_cancel,CANCEL
trading_trade,TRADE
recycling_recycle_one,RECYCLE ONE
