; FILE: GUI#3.csv,
; Key,FRENCH
;PLEASE NOTE THAT ALL COMMENTS REFER TO THE DIALOGUE IMMEDIATELY FOLLOWING THE COMMENT.,
;,
; IN ALL CASES,
; PLEASE DO NOT CHANGE THIS INSTRUCTION IN ANY WAY!,
;,
;THIS IS PART OF THE IN-GAME INTERFACE TEXT,
;,
; ONSCREEN TEXT ONLY - NOT SPOKEN,
; GUI titles and other fancy buttons - 12 character limit,
;,
basemenu_hangar,HANGAR
basemenu_trade,TRANSACTIONS
basemenu_inventory,INVENTAIRE
basemenu_recycling,RECYCLAGE
basemenu_manufacturing,CONSTRUCTION
basemenu_communications,COMMUNICATIONS
basemenu_encyclopedia,ENCYCLOPEDIE
basemenu_starmap,CARTE STELLAIRE
hangarmenu_launch,LANCEMENT
hangarmenu_ship,VAISSEAU 
hangarmenu_loadout,CONFIG.
hangarmenu_manifest,MANIFESTE
loadoutmenu_customise,PERSONNALISER
loadoutmenu_add_cargo,AJOUT. CARGAISON
loadoutmenu_rearm,RECHARGER
encyclopaedia_back,RETOUR
pda,ASSISTANT
pda_start_new_game,NOUVELLE PARTIE
pda_load_game,CHARGER PARTIE
pda_instant_action,ACTION
pda_multiplayer,MULTIJOUEURS
pda_options,OPTIONS
pda_quit_button,ABANDONNER
pda_save_game,SAUVEGARDER
pda_resume,REPRENDRE
pda_quit,ABANDONNER


;,
; ONSCREEN TEXT ONLY - NOT SPOKEN,
; These ship readiness strings have a 15 character limit,
;,
hangarmenu_loadout_not_spaceworthy,INUTILISABLE
hangarmenu_loadout_check_manifest,VERIF MANIFESTE


;,
; ONSCREEN TEXT ONLY - NOT SPOKEN,
; The loadout names are limited to just 8 characters,
; ship readiness description,
;,
loadoutmenu_standard,STANDARD
loadoutmenu_stealth,FURTIF
loadoutmenu_assault,ASSAUT
loadoutmenu_ecm,CME
loadoutmenu_custom,PERSON.


;,
; ONSCREEN TEXT ONLY - NOT SPOKEN,
; The ship names are limited to 11 characters because of the hangar ship,
; readiness description.,
;,
ship_type_command_section,SECTION CMD
ship_type_tug,REMORQUEUR
ship_type_fast_attack_ship,PATCOM
ship_type_heavy_corvette,CORVETTE
ship_type_storm_petrel,CORMORAN
ship_type_no_ship,SANS VAISS.


;,
; ONSCREEN TEXT ONLY - NOT SPOKEN,
; Tab headings are limited to 15 characters. These headings should be ,
"; localised as nouns - e.g. 'an offer' not 'they offer'.",
;,
gui_item,OBJET
commsmenu_sender,EXPEDITEUR
commsmenu_subject,SUJET
encyclopaedia_topic,DOSSIER
trading_faction,FACTION
trading_offer,OFFRE
trading_want,DEMANDE
inventory_quantity,QUANTITE
recycling_value,VALEUR
manufacturing_cost,PRIX


; ,
; ONSCREEN TEXT ONLY - NOT SPOKEN,
; Smaller buttons are limited to 17 characters,
;,
gui_cancel,ANNULER
trading_trade,ECHANGER
recycling_recycle_one,RECYCLER UN
recycling_recycle_all,RECYCLER TOUS
manufacturing_manufacture,CONSTRUIRE


;,
; ONSCREEN TEXT ONLY - NOT SPOKEN,
; Manifest headings are limited to 11 characters,
;,
manifest_ship_systems,SYSTEMES
manifest_ship_armaments,ARMEMENT
manifest_ship_tfighters,CHASSEURS-T
manifest_ship_cargo,CARGAISON
manifest_no_missiles_warning,Vide


;,
; ONSCREEN TEXT ONLY - NOT SPOKEN,
; The new mail notification must not exceed a total of ???? (8 and 12?),
;,

; Add a space after the words 'YOU HAVE',
commsmenu_you_have,VOUS AVEZ 

