; FILE: Dact1_master.csv,
; Key,
; FILE NAME,GERMAN TRANSLATION
;,
a1_master_dialogue_picked_up_distress_1,"Cal, sieh dir das an. Die Sensoren der Basis haben ein Notsignal auf Firmenfrequenz aufgefangen, das direkt aus dem Effrit kommt. Ich habe den Streckenpunkt auf deine Kontaktliste gesetzt, falls du Lust hast, dir das mal anzusehen."
a1_master_dialogue_picked_up_distress_2,
a1_master_dialogue_picked_up_distress_3,
a1_master_dialogue_picked_up_distress_4,
a1_master_dialogue_jafs_signal_coment_1,"Ich wette, das ist ein großer, saftiger Frachter, den wir uns einverleiben können! Dank der Interferenzen im Effrit dürfte das Notsignal nicht sehr weit kommen, wahrscheinlich haben sogar nur wir es empfangen. So was würden die Firmenbosse wohl ein kalkulierbares Risiko nennen!"
a1_master_dialogue_jafs_signal_coment_2,
a1_master_dialogue_jafs_signal_coment_3,
a1_master_spirit_of_capitalism,Spirit of Capitalism
a1_master_dialogue_victim_threat_1,"Achtung, unbekanntes Schiff! Hier spricht das Maas Transportschiff 'Spirit of Capitalism'. Das Schiff ist Eigentum von Maas Systems. Die Firma setzt ein hohes Kopfgeld auf jeden aus, der sich uns gegenüber feindselig verhält. Halten Sie Abstand, und erklären Sie Ihre Absichten."
a1_master_dialogue_victim_threat_2,
a1_master_dialogue_victim_threat_3,
a1_master_player_option_1,Ich will euch ausrauben.
a1_master_player_option_2,Haben Sie Schwierigkeiten?
a1_master_player_option_3,Ich habe Ihr Notsignal empfangen.
a1_master_player_option_4,"Keine Angst, wir sind nur auf der Durchreise."
a1_victim_comment_1,Typen wie ihr können mir keine Angst einjagen!
a1_victim_comment_2,Das Maas Bergungsschiff wird hier jede Minute eintreffen.
a1_victim_comment_3,Wir brauchen keine Hilfe von Typen wie euch.
a1_victim_comment_4,Wir haben alles unter Kontrolle.
a1_victim_comment_5,Dann verlassen Sie sofort diesen Bereich.
a1_victim_plea_1,"Das war der größte Fehler, den ihr in eurem kurzen, erbärmlichen Leben je gemacht habt!"
a1_victim_plea_2,"Nehmt die verdammte Ladung, und lasst uns in Ruhe. Bitte!"
