; FILE NAMEFAct2_master.csv,FRENCH
frederick_jackson,"Frederick Jackson"
a2_master_stc_control,"Poste STC Eureka"
a2_master_dagda_stc,"Poste STC Dagda"
a2_master_character_name_indigo,"Indigo"
a2_master_dialogue_clay_this_place_was_a_snake_pit,"A l'époque de ta grand-mère, le Ritz était un nid de vipères. Ca n'a pas l'air de s'être arrangé. Surveille tes arrières."
a2_master_dialogue_indigo_word_has_passed_down,"Le commandement MCA m'a demandé d'être extrêmement courtoise envers Monsieur Cal Johnston et de l'aider le plus possible. Franchement, Monsieur Cal Johnston, le commandement peut aller se faire griller dans une nova. Tenter de maintenir nos routes logistiques avec Mwari nous a déjà amenés à nos limites. Je n'ai ni le temps ni les moyens pour tirer d'affaire un ami influent des huiles lourdes. Alors, soyez bref. Qu'est-ce que vous voulez ?"
a2_master_option_cal_problems_with_marauders,On a besoin de votre aide. On a des problèmes de Marauders.
a2_master_dialogue_cal_problems_with_marauders,On a besoin de votre aide. On a des problèmes de Marauders.
a2_master_dialogue_indigo_well_if_you_hadnt_noticed,"Eh bien, au cas où vous n'auriez pas remarqué, nous aussi ! Les Marauders assiègent Mwari ! Mes gens meurent de faim et le gouvernement de l'Amas refuse de nous aider. Nos maigres moyens sont affectés à notre défense. On doit racler les fonds de tiroirs pour engager des truands de deuxième zone tels que ceux que vous voyez ici au Ritz. Alors, désolée, Monsieur Johnston, mais nous ne vous aiderons pas. Et si le commandement veut me saquer pour avoir fait passer mes gens avant les vôtres, qu'il ne se gêne pas !"
a2_master_dialogue_cal_just_curious,J'aimerais simplement savoir ce qui se passe par ici.
a2_master_dialogue_indigo_this_fleapit,"Nous essayons de diriger la défense de Mwari depuis ce charmant établissement. Comme le gouvernement de l'Amas se moque du sort de Mwari, la MCA a été contrainte de coordonner l'assistance extérieure depuis ce trou à rats. La MCA embauche les truands qui traînent autour du Ritz pour escorter les convois de soutien qui forcent le blocus des Marauders."
a2_master_dialogue_cal_tell_me_about_mca,Parlez-moi du travail de la MCA.
