a2_m07_dialogue_ambassador_c2_who_are_you,Qui êtes-vous ? Que faites-vous ici ?
a2_m07_dialogue_ambassador_c2_ah_your_back,Déjà de retour ? Que puis-je faire pour vous cette fois ?
a2_m07_text_player_c2_option_1_cal_help,"Je m'appelle Cal, et on m'a dit que vous pourriez aider..."
a2_m07_dialogue_player_c2_option_1_cal_help,Je m'appelle Cal. On m'a dit que vous pourriez nous aider à vaincre les Marauders.
a2_m07_dialogue_ambassador_c2_response_1_ah_a_common,"C'est une ambition louable que je partage. Je rassemble des forces pour stopper la marée montante de l'oppression. Mais mes efforts m'ont fait remarquer et maintenant, je ne peux aller nulle part sans attirer une attention...superflue. Les vaisseaux Marauders me suivent partout où je vais. Bien que ce soit très flatteur pour un pauvre fonctionnaire tel que moi, vous devez comprendre que cela a mis un frein à mes activités. Je suis désolé. Je ne peux pas me débarrasser des Marauders, alors je ne peux aider personne."
a2_m07_dialogue_player_c2_response_1_we_can_help,Alors peut-être que NOUS pouvons VOUS aider. Echangeons nos IFF. Les Marauders croiront que mon vaisseau est votre escorte et ils nous poursuivront à votre place.
a2_m07_dialogue_ambassador_c2_response_1_hm_that_might,"Hmm. Brave garçon. Ou peut-être imprudent. Eh bien, je crois que votre plan peut marcher, si vous y survivez. Si vous emmenez les Marauders assez loin, je tenterai d'atteindre le point de saut. Et nous nous retrouverons à votre base. Allons-y alors. Je vous suis, et quand nous serons assez loin, je vous transmettrai mon IFF."
a2_m07_text_player_c2_option_2_just_passing_through,Juste de passage.
a2_m07_dialogue_player_c2_option_2_just_passing_through,Juste de passage.
a2_m07_dialogue_ambassador_c2_response_2_hm_ok_then,Hmm. Très bien alors. Faites ce que vous avez à faire.
a2_m07_dialogue_ambassador_ok_this_should_do,"Ca devrait faire l'affaire. Nous sommes assez loin pour envoyer l'IFF. Un moment.... Ca y est, voilà mon IFF. Vous l'avez ? Bien. Infligez une bonne correction à ces Marauders. A plus tard à la base."
a2_m07_dialogue_clay_lets_move_kid,"Allons-y, fiston. Eloignons-nous de l'ambassadeur !"
a2_m07_dialogue_clay_heads_up_kid,"Fais gaffe, fiston ! Je crois qu'on est repérés !"
a2_m07_dialogue_clay_nice_one,Beau boulot ! Maintenant retournons à la base avant l'arrivée des renforts !
a2_m07_dialogue_clay_nice_one_shame,"Bien joué, fiston. Dommage pour l'ailier. Maintenant retournons à la base avant l'arrivée des renforts !"
a2_m07_dialogue_wingman_thanks_for_the_help,"Merci pour le coup de main. Tenez, ceci est pour vous."
,
,
