; FILE: Dact2_master_addendum2.csv,
; Key,
; FILE NAME,GERMAN TRANSLATION
a2_master_name_franklyn,Franklyn Hoffer
a2_master_name_black,Black Hawk
a2_master_name_lion,Lion Heart
a2_master_dialogue_clay_racking_brains,"He Kleiner, ich habe meine Datenbanken durchforstet, ich wollte doch endich wissen woher ich die Stimme von diesem Frederick Jackson kenne... Es ist Franklyn Hoffer!!!"
a2_master_dialogue_cal_who_the,"Was, *der* Franklyn Hoffer?? Der Gründer von Hoffer's Gap? Aber... mein Vater sagte immer, er sei in die Tiefen des Universums geflogen, um Hilfe für Hoffer's Wake zu holen als es durch die Novakatastrophe von Dante isoliert wurde.... Alle dachten er sei tot..."
a2_master_dialogue_clay_lets_visit,"Meine Erinnerungen täuschen mich nicht, Kleiner - laut meinen Datenbanken ist die Stimme identisch mit der von Hoffer. Da stand noch in dieser E-Mail, wir brauchen einen Anführer, nun darf ich vorschlagen wir statten diesem 'Frederick Jackson' nochmal einen Besuch ab...."
a2_master_dialogue_hoffer_returned,"Ahh Cal, Sie sind zurückgekommen, docken Sie an und dann können wir reden...."
a2_master_dialogue_hoffer_what_can_i,"Was kann ich für Sie tun, Cal?"
a2_master_dialogue_cal_i_know_sounds,"Ich weiß, das hört sich jetzt seltsam an... aber... mein Freund Jefferson Clay sagt, dass er Sie kennt....."
a2_master_dialogue_hoffer_jefferson,"Jefferson Clay? Ein Name, den ich schon sehr lange nicht mehr gehört habe...."
a2_master_dialogue_clay_not_so_young,"He, du bist auch nicht mehr der Jüngste..."
a2_master_dialogue_hoffer_really_am,"Nun... dann hat er Ihnen wohl gesagt, wer ich bin..."
a2_master_dialogue_cal_yes_sir,"Ja, Sir.... Mr Hoffer.... und deshalb bin ich hier."
a2_master_dialogue_hoffer_call_me_franklyn,"Bitte, nenn mich Franklyn. Also, was kann ich für dich tun?"
a2_master_dialogue_cal_with_all_youve,"Wir haben eine große Anzahl von Schiffen erworben, die wir in einem Angriff gegen die Marauder einsetzen wollen.... Aber wir brauchen einen Anführer. Bei all dem was du in der Vergangenheit für die Menschen der Badlands getan hast - also, ich hatte gehofft, dass du unser Anführer sein könntest."
a2_master_dialogue_hoffer_proud_to_stand,"Ihr habt eine große Flotte gesammelt? Das ist es, was uns gegen diese 'Marauder' gefehlt hat. Es wäre mir eine Ehre, mit euch gegen sie zu kämpfen."
a2_master_dialogue_cal_fantastic,"Fantastisch! Wir bauen eine Einsatzbasis um meinen Stützpunkt auf, der in Santa Romera liegt. Wir werden dort auf dich warten."
a2_master_dialogue_hoffer_few_calls,"Also, dann habe ich wohl einiges zu erledigen... Wir sehen uns an deiner Basis."
a2_master_dialogue_cal_whats_to_stop_me,"Und was hält mich davon ab, da durch zu springen?"
a2_master_dialogue_clay_are_you_blind,"Bist du blind, Junge?! Sie haben ein LDA-Splitterfeld über der Öffnung. Wer da unerlaubt rein oder raus springt, gehört der Vergangenheit an. Ich habe so eine Sache schon mal aus der Nähe gesehen. Aus NÄCHSTER Nähe. Deshalb stecke ich jetzt auch in diesem verdammten Blechkasten."
a2_master_dialogue_cal_you_can_calm,"Du kannst dich auch mal wieder beruhigen, Jafs! Kaum haben wir ein neues Schiff, schon führen sich alle auf, als wäre Weihnachten."
a2_master_dialogue_smith_hang_on_thats_strange,"Warte mal, das ist merkwürdig..."
a2_master_dialogue_cal_whats_up_smith,Was denn?
a2_master_dialogue_smith_strange_system,Da ist ein System an die Sensoren und den Hyperantrieb angeschlossen... So etwas habe ich noch nie gesehen.
a2_master_dialogue_clay_capsule_space,"Ahhhha, verstehe. Das, meine Damen und Herren, ist ein Hyperraum-Fährtensucher! Hätte nicht gedacht, dass ich so einen nochmal sehen würde."
a2_master_dialogue_smith_ive_heard_of_those,"So so... gehört habe ich auch schon davon! Damit ermittelt man den Hyperraum-Zielpunkt von Schiffen, wenn sie springen. Das Ding benutzt dazu einen Quantensuperstrang..."
a2_master_dialogue_cal_no_time,"Smith! Wir haben keine Zeit für eine technische Nachhilfestunde. Was wir wissen müssen, ist doch, dass wir jetzt Marauder aufspüren können, und ich möchte ihnen das, was sie mit Haven Station gemacht haben, heimzahlen."
a2_master_dialogue_stc_the_third_way_are,"Der Third Way ist ein Kartell, das die Massenproduktion von Lebensmitteln für dieses System kontrolliert. Aber das Wort Kartell sagt noch nicht alles. Sehen Sie, der Third Way kümmert sich auch um Reinrassigkeit und Religion und so. Das kommt von dem ach-so-gesunden landwirtschaftlichen Leben, das man hier führt. Wenn Sie sich den Planeten Eureka ansehen, werden Sie verstehen, was ich meine. Eh ich's vergesse, seien Sie auch hier vorsichtig, sogar der Third Way hat in letzter Zeit Probleme mit Angriffen von Maraudern gehabt....... Ich habe Gerüchte gehört, laut denen es Unruhen um Lucifuge im Asteroidengürtel geben...."
