badlands_cluster,Amas des Badlands
map:/geog/badlands/hoffers_wake,Faille de Hoffer
map:/geog/badlands/mwari,Mwari
map:/geog/badlands/santa_romera,Santa Romera
map:/geog/badlands/coyote,Coyote
map:/geog/badlands/kompira,Kompira
map:/geog/badlands/eureka,Eureka
map:/geog/badlands/firefrost,Firefrost
map:/geog/badlands/dagda,Dagda
map:/geog/badlands/dante,Dante
;,
 ;Gagarin system cluster names,
;,
gagarin_cluster,Amas de Gagarin
map:/geog/gagarin/new_bavaria,Nouvelle-Bavière
map:/geog/gagarin/drake,Drake
map:/geog/gagarin/ishime,Ishime
map:/geog/gagarin/owens_star,Etoile d'Owen
map:/geog/gagarin/osprey,Osprey
map:/geog/gagarin/formhault,Fomalhaut
map:/geog/gagarin/batatas,Batatas
