Ishime System,Système Ishime 
Ishime I,Ishime I
Anesaki,Anesaki
Anesaki Government STC Post,Poste STC Anesaki
Anesaki Government Administration Centre,Administration du système
Kokoro,Kokoro
Anesaki L-Point,Point-L Anesaki
Kokoro Government Medicare Orbital,Hôpital orbital Kokoro
Kokoro Government High Security Prison,Pénitencier de haute sécurité Kokoro
Kokoro Police Base,Base de police Kokoro
Mudabone,Mudabone
Nihongi,Nihongi
Kakutan,Kakutan
Nihongi L-Point,Point-L Nihongi
Kakutan MAAS Exotic Metals Processing Plant,Usine de traitement de minerais spéciaux Kakutan
Ozaki,Ozaki
Ozaki MAAS Cluster Central HQ,QG central Maas de l'Amas  Ozaki
MAAS Gunstar Array,Batterie gunstar Maas
Ozaki MAAS Defense Station,Station de défense Maas
Kibami,Kibami
Ozaki L-Point,Point-L Ozaki
Kibami Rhondus Gas Mining Fusionable Gases Processing Plant,Usine de traitement de gaz minier Rhondus
Temmu,Temmu
Jakunen,Jakunen
Gemmyo,Gemmyo
Mumikansou,Mumikansou
Pansuke,Pansuke
Pansuke Numiko Products Electronics Manufacturing Plant,Usine de fabrication de produits électroniques Numiko
Pansuke Government Black Budget Research Station,Station de recherche en développements spéciaux Pansuke
Saseko,Saseko
Saseko MAAS Rare Metals Mine,Mine de métaux rares Maas
Saseko Underworld Gangster Hideout,Port-franc Saseko
Saseko MAAS Exotic Metals Mine,Mine de métaux spéciaux Saseko
Saseko Independent Water Mine,Mine d'eau Saseko
Saseko Crosspoint Minerals Common Metals Mine,Mine de métaux Saseko Crosspoint
Saseko MAAS Radioactives Mine,Mine de minerais radioactifs Maas
Gaishou,Gaishou
Gaishou Independent Water Processing Plant,Usine de traitement d'eau Gaishou
Gaishou Government STL Transceiver,Emetteur STL Gaishou
Haitsuchi,Haitsuchi
Haitsuchi Independent Settlement,Haitsuchi-bourg
Haitsuchi MAAS Security Station,Station de sécurité Maas
Haitsuchi Police Base,Base de police Haitsuchi
Haitsuchi Network 54 Transmittion Station,Station de transmission Network 159
Gensho,Gensho
Haitsuchi L-Point,Point-L Haitsuchi
Gensho Independent Rare Metals Mine,Mine de métaux rares Gensho
Gensho Underworld Pirate Outpost,Port-franc Gensho
Izanagi,Izanagi
Izanagi MAAS Exotic Metals Mine,Mine de métaux spéciaux Maas
Izanagi Independent Habitat,Habitat Izanagi
Yuutai,Yuutai
Yuutai Rhondus Gas Mining Fusionable Gases Mine,Usine minière d'extraction de gaz Rhondus
Fudoki,Fudoki
Fudoki MAAS Corporate Habitat,Habitat cadres Maas Fudoki
Hyuga,Hyuga
Hyuga Government Medicare Orbital,Hôpital orbital Hyuga
Hyuga Independent Waystation,Gare Hyuga
Hyuga Independent Fusionable Gases Processing Plant,Usine de traitement de gaz à fusion Hyuga
Hyuga Independent Fusionable Gases Mine,Mine de gaz à fusion Hyuga
Nagoya,Nagoya
Kadono,Kadono
Kadono Naval Testing Site,Site naval de test Kadono
Kami-Nari,Kami-Nari
Kadono L-Point,Point-L Kadono
Shuumi,Shuumi
Amatsu-Mikaboshi,Amatsu-Mikaboshi
Amatsu-Mikaboshi Naval Outpost,Poste naval avancé Amatsu-Mikaboshi
Koken,Koken
Bishamon,Bishamon
Bishamon Exile Hermitage,Ermitage exilé Bishamon
Higo,Higo
Bishamon L-Point,Point-L Bishamon
Higo Underworld Gangster Hideout,Repaire Higo
Higo Helios Mining Rare Metals Mine,Mine de métaux rares Higo
Sutoku,Sutoku
Sutoku Exile Hideout,Refuge Sutoku
Genkan,Genkan
Genkan Exile Mad Scientist Lab,Laboratoires Genkan
Kadono Naval Defences,Défenses navales Kadono
Kadono Naval Perimeter Defences,Défenses navales de périmètre Kadono
,
,
,
,
,
,
