Drake System,Système Drake ,
Drake I,Drake I,
Omsk,Omsk,
Popovich,Popovich,
Tereshkova,Tereshkova,
Nikov,Nikov,
Tereshkova L-Point,Point-L Tereshkova,
Mumansk,Mumansk,
Archangel,Archangel,
Leonov,Leonov,
Titov,Titov,
Leonov L-Point,Point-L Leonov,
Magadan,Magadan,
Magadan Underworld Orbital Vice Den,Casino et club de strip-tease Magadan,
Chatalov,Chatalov,
Chatalov Underworld Gangster Hideout,Repaire Chatalov,
Chatalov Independent Exotic Metals Mine,Mine de minerais spéciaux Chatalov,
Kholmsk,Kholmsk,
Kholmsk Independent Exotic Metals Mine,Mine indépendante de minerais spéciaux Kholmsk,
Kubasov,Kubasov,
Kubasov MAAS Exotic Metals Processing Plant,Usine de traitement de minerais spéciaux Maas,
Kubasov Underworld Gangster Hideout,Port-franc Kubasov,
Kubasov Helios Mining Common Metals Mine,Mine de métaux Helios,
Volkov,Volkov,
Volkov NOMEX Energy Cells Manufacturing Plant,Manufacture de cellules énergétiques SOLAN,
Volkov NOMEX Fusionable Gases Processing Plant,Traitement de gaz à fusion SOLAN,
Volkov Underworld Gangster Hideout,Ville-libre Volkov,
Volkov Independent Energy Cells Manufacturing Plant,Manufacture de cellules énergétiques Volkov,
Volkov MAAS Radioactives Processing Plant,Traitement de minerais radioactifs Maas,
Volkov MAAS Radioactives Mine,Mine de minerais radioactifs Volkov,
Novgorod,Novgorod,
Rostov,Rostov,
Rostov Government Medicare Orbital,Hôpital orbital Rostov,
Rostov Government Hospice,Hospice Rostov,
Kizim,Kizim,
Manarov,Manarov,
Manarov Independent Settlement,Manarov-ville,
Manarov Independent Exotic Metals Mine,Mine de minerais spéciaux Manarov,
Grechko,Grechko,
Grechko Government Medicare Orbital,Hôpital orbital Grechko,
Grechko Independent Exotic Metals Mine,Mine de minerais spéciaux Grechko,
Grechko Government STL Transceiver,Emetteur STL Grechko,
Grechko Independent Settlement,Grechko-ville,
Kazan,Kazan,
Kazan Government Medicare Orbital,Hôpital orbital Kazan,
Kazan Government Garden Orbital,Jardin orbital Kazan,
Kazan Independent Exotic Metals Mine,Mine de minerais spéciaux Kazan,
Atkov,Atkov,
Atkov Naval Testing Site,Zone navale de test Atkov,
Atkov Naval Research Facility,Installations navales de recherche Atkov,
Atkov Independent Rare Metals Mine,Mine de métaux Atkov,
Volynov,Volynov,
Volynov Military Naval Outpost,Avant-poste naval Volynov,
Shonin,Shonin,
Volynov L-Point,Point-L Volynov,
Shonin NOMEX Black Budget Research Station,Station de recherche SOLAN,
Dii Minores,Dii Minores,
Dii Minores Independent Leisure Station,Station de loisirs Dii Minores,
Dii Minores Underworld Gangster Hideout,Port-franc Dii Minores,
Dii Minores Government Medicare Orbital,Hôpital orbital Dii Minores,
Dii Minores Independent Agricultural Settlement,Agro-complexe Dii Minores,
Dii Minores Underworld Pirate Base,Refuge Dii Minores,
Dii Minores Government Garden Orbital,Jardin orbital Dii Minores,
Dii Minores Independent Energy Cells Manufacturing Plant,Usine de fabrication de cellules énergétiques Dii Minores,
Dii Minores Independent Radioactives Processing Plant,Traitement de minerais radioactifs Dii Minores,
Dii Minores Independent Mercenary Base,Base mercenaire indépendante Dii Minores,
Vladivostok,Vladivostok,
Chelyabusk,Chelyabusk,
Chelyabusk Underworld Pirate Outpost,Port-franc Chelyabusk,
Lazerev,Lazerev,
St Petersburg,St Petersburg,
St Petersburg Government STC System HQ,QG STC St Petersburg,
St Petersburg L-Point,Point-L St Petersburg,
St. Petersburg Government System Administration Centre,Centre administratif du système,
St Petersburg Network 54 Transmittion Station,Station de transmission Network 159,
Moscow,Moscow,
Moscow NOMEX Fusionable Gases Mine,Mine de gaz Moscow,
Klimuk,Klimuk,
Klimuk Military Police Outpost,Quartier général de police militaire Klimuk,
Klimuk Government High Security Prison,Pénitencier Klimuk,
Klimuk Exile Hermitage,Ermitage Klimuk,
Makarov,Makarov,
Makarov Independent Agricultural Settlement,Colonie agricole Makarov,
Serelorov,Serelorov,
Serelorov Independent Rare Metals Mine,Mine de métaux Serelorov,
Serelorov Exile Mad Scientist Lab,Laboratoires Serelorov,
Sarafanov,Sarafanov,
Sarafanov Exile Hideout,Repaire Sarafanov,
Rostov Independent Settlement,Bidonville Rostov,
Rostov City,Rostov-ville,
Atkov Naval Perimeter Defences,Défenses navales de périmètre Atkov,
Atkov Naval Defences,Défenses navales Atkov,
Dii Minores Independent Homestead 1,Propriété Dupont,
Dii Minores Independent Homestead 2,Propriété Mistral,
Dii Minores Independent Homestead 3,Propriété Savanti,
Dii Minores Independent Homestead 4,Propriété Calipso,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
