Formhault System,Système Fomalhaut  
Formhault I,Fomalhaut  I
Tuscany,Tuscany
Tamayo-Mendez,Tamayo-Mendez
Tamayo-Mendez NOMEX Radioactives Mine,Mine de minerais radioactifs Tamayo-Mendez
Tamayo-Mendez Transfer Station,Station de transfert Tamayo-Mendez
Gurragcha,Gurragcha
Gurragcha NOMEX Radioactives Mine,Mine de minerais radioactifs Gurragcha
Gurragcha Orbital Transfer Station,Station de transfert Gurragcha
Sharman,Sharman
Sharman Underworld Pirate Outpost,Port-franc Sharman
Padua,Padua
Padua Independent Repair Station,Station indépendante de réparation Padua
Viehbock,Viehbock
Flade,Flade
Alexandrov,Alexandrov
Elba,Elba
Carcosa,Carcosa
Carcosa Independent Settlement,Conurbation de Carcosa
Carcosa Naval System Defence Station,Station navale de défense du système Carcosa
Carcosa Exile Asylum,Asile Carcosa
Carcosa Transfer Station,Station de transfert Carcosa
Siena,Siena
Florence,Florence
Florence MAAS Security Station,Station de sécurité Maas
Mohamand,Mohamand
Florence L-Point,Point-L Florence
Mohamand Independent Exotic Metals Mine,Mine de minerais spéciaux Mohamand
Mohamand Orbital Transfer Station,Station orbitale de transfert Mohamand
Remek,Remek
Remek Naval Jump Fortress,Forteresse navale de saut Remek
Remek Government STC Post,Poste STC Remek
Remek Naval Base,Base navale Remek
Remek L-Point,Point-L Remek
Formhault Jump Accelerator,Accélérateur de saut Fomalhaut 
Formhault System Administration Centre,Centre d'administration du système
Remek NOMEX Docking Station,Station d'amarrage SOLAN
Remek MAAS Warehouse,Entrepôt Maas 
Remek Independent Trading Post,Comptoir d'échange indépendant
Remek Independent Leisure Complex,Complexe de loisirs Remek
Super Freighter Service Depot,Dépôt de maintenance de super-transporteurs
Remek Marshalling yard,Centre de triage Remek
Remek MAAS Central HQ,QG Amas-Maas
Remek NOMEX Central HQ,QG Amas-SOLAN
Remek NSO Laplace Central HQ,QG Amas- NSO Laplace
Remek Network 54 Transmittion Station,Transmetteur Network 159
Remek City,Remek-ville
Remek Beanstalk,Ascenseur Remek
Remek Beanstalk,Station de transfert Remek
Hermazewsky,Hermazewsky
Hermazewsky Underworld Pirate Outpost,Port-franc Hermazewsky
Hermazewsky Government Medicare Orbital,Hôpital orbital Hermazewsky
Hermazewsky Government Garden Orbital,Jardin orbital Hermazewsky
Inner Belt,Ceinture intérieure
Lucca,Lucca
Lucca NOMEX Fusionable Gases Mine,Mine de gaz à fusion SOLAN
Crispin,Crispin
Crispin Independent Homestead,Propriété Crispin
Crispin Orbital Transfer Station,Station de transfert Crispin
Beckett,Beckett
Beckett Independent Rare Metals Mine,Mines de métaux rares Beckett
Beckett Naval Defence Station,Station navale de défense Beckett
Beckett Naval Training Base,Base navale d'entraînement Beckett
Beckett Orbital Transfer Station,Beckett
Christmas,Christmas
Christmas Naval Perimeter Defences,Défenses navales périmètre Christmas
Christmas Naval Research Facility,Installations navales de recherche Christmas
Christmas L-Point,Point-L Christmas
Jackson's Load,Jackson
Jackson's Load Marine Barracks,Caserne de Marines Jackson
Jackson's Load Naval Testing Site,Zone navale de tests Jackson
Jackson's Load MAAS Agricultural Settlement,Complexe agricole Maas
Kaleidoscope,Kaleidoscope
Kaleidoscope Independent Rare Metals Mine,Mine de métaux Kaleidoscope
Kaleidoscope Orbital Transfer Station,Station de transfert Kaleidoscope
Juniper,Juniper
Juniper Independent Exotic Metals Mine,Mine de métaux spéciaux Juniper
Juniper Orbital Transfer Station,Station de transfert Juniper
Copan,Copan
Copan Underworld Gangster Hideout,Tripot Copan
Palenque,Palenque
Palenque Independent Common Metals Mine,Mine de métaux Palenque
Palenque Orbital Transfer Station,Station de transfert Palenque
Yucatan,Yucatan
Yucatan MAAS Luxuries Manufacturing Plant,Manufacture de luxe Yucatan
Yucatan Government Dome Garden,Jardin-dôme Yucatan
Yucatan Government Hospice,Hospice Yucatan
Ferrara,Ferrara
Ferrara Police Outpost,Poste avancé de police Ferrara
Ferrara Government High Security Prison,Prison de haute sécurité Ferrara
Pippin,Pippin
Pippin NOMEX Rare Metals Processing Plant,Usine de traitement de minerai Pippin
Pippin Orbital Transfer Station,Station de transfert Pippin
Braeburn,Braeburn
Bramely,Bramely
Bramely Independent Rare Metals Mine,Mine de métaux rares Bramely
Bramely Independent Common Metals Mine,Mines de métaux Bramely
Outer Belt,Ceinture extérieure
Eisenhower,Eisenhower
Eisenhower Independent Fusion Reactor Manufacturing Plant,Usine de fabrication de réacteurs à fusion Eisenhower
Eisenhower Independent Neutronium Processing Plant,Usine de traitement de neutronium Eisenhower
Eisenhower MAAS Neutronium Mine,Mine de neutronium Maas 
Sherman,Sherman
Sherman Independent Agricultural Settlement,Colonie agricole Sherman
Patton,Patton
Patton MAAS Financial Centre,Centre financier Maas 
Patton Underworld Gangster Hideout,Tripot Patton
Mantua,Mantua
Mantua Underworld Pirate Outpost,Tripot Mantua
Salute,Salute
Salute Underworld Gangster Hideout,Tripot Salute
Salute Independent Waystation,Gare indépendante Salute
Salute Independent Rare Metals Mine,Mine de métaux rares Salute
Salute Orbital Transfer Station,Station orbitale de transfert Salute
Miguel's Quandry,Miguel
Miguel's Quandry Underworld Gangster Hideout,Tripot Miguel
Miguel's Quandry Government STL Transceiver,Emetteur STL
Miguel's Quandry Military Naval Outpost,Poste militaire naval avancé Miguel
Kashmir,Kashmir
Kashmir Government Hospice,Hospice Kashmir
Kashmir Government Medicare Orbital,Hôpital orbital Kashmir
Kashmir Underworld Gangster Hideout,Tripot Kashmir
Kashmir MAAS Common Metals Processing Plant,Usine de traitement de minerai Kashmir
Genoa,Genoa
Genoa Independent Fusionable Gases Mine,Mine de gaz à fusion Genoa
Focus,Focus
Focus MAAS Security Station,Station de sécurité Maas
Tashille,Tashille
Tashille Exile Ark,Arche Tashille
Tashille Exile Religious Centre,Cathédrale Tashille
