Santa Romera System,Système Santa Romera
Santa Romera I,Santa Romera I
Sebastian's Belt,Ceinture de Sebastian
Breeze,Breeze
Breeze Government Medicare Orbital,Hôpital orbital Breeze
Breeze Independent Docking Station,Station d'amarrage Breeze
Breeze Independent Waystation,Gare Breeze
Crocus,Crocus
Crocus Independent Homestead,Propriété Crocus
Guru,Guru
Guru Government Medicare Orbital,Hôpital orbital Guru
Guru Independent Rare Metals Processing Plant,Usine de traitement Guru
Guru Independent Settlement,Colonie Guru
Kiri,Kiri
Little Blue,Little Blue
Little Blue Government Medicare Orbital,Hôpital des petites soeurs de la Charité
Little Blue Independent Exotic Metals Mine,Mine de minerais spéciaux Little Blue
Nymas,Nymas
Nymas MAAS Common Metals Mine,Mine de métaux Nymas Maas
Nymas MAAS Common Metals Processing Facility,Installations de traitement de minerais Nymas
Nymas MAAS Security Station,Station de sécurité Maas
Reservation,Reservation
Reservation Government Medicare Orbital,Hôpital orbital Reservation
Reservation Independent Settlement,Métropolis Reservation
Reservation Independent Waystation,Gare Reservation
Reservation L-Point,Point- L Reservation
Saria,Saria
Saria Belt Underworld Pirate Base,Refuge Saria
The Baron,Baron
The Baron Independent Agricultural Settlement,Agro-colonie Baron
The Baron Underworld Gangster Hideout,Bidonville Baron
Skallywag,Skallywag
Skallywag Government Dome Farm,Ferme-dôme Skallywag
Skallywag L-Point,Point-L Skallywag
Faith,Faith
Kiri-Bi,Kiri-Bi
Kiri-Bi L-Point,Point-L Kiri-Bi
Uchi-Bi,Uchi-Bi
Unity,Unity
Freedom,Freedom
Hot Rock,Hot Rock
Hot Rock Government Medicare Orbital,Hôpital orbital Hot Rock
Hot Rock Independent Agricultural Settlement,Agro-colonie Hot Rock
Hot Rock Independent Common Metals Mine,Mine de métaux Hot Rock
Hot Rock Independent Rare Metals Mine,Mine de métaux rares Hot Rock
Hot Rock Independent Waystation,Gare Hot Rock
Hot Rock L-Point,Point-L Hot Rock
Hot Rock Orbital Transfer Station,Station de transfert Hot Rock
Brotherhood,Brotherhood
Brotherhood Exile Ark,Arche Brotherhood
Brotherhood Exile Collective Settlement,Collectif Brotherhood
Brotherhood Independent Docking Station,Station d'amarrage Brotherhood
Brotherhood Independent Settlement,Brotherhood-bourg
Brotherhood Underworld Pirate Outpost,Refuge Brotherhood
The Ritz,Ritz
Maxentius,Maxentius
Maxentius NOMEX Radioactives Mine,Mine de minerais radioactifs Maxentius
Maxentius NOMEX Orbital Transfer Station,Station de transfert Maxentius
Licinius,Licinius
Licinius NOMEX Rare Metals Mine,Mine de métaux rares Licinius
Licinius Underworld Gangster Hideout,Ville-libre Licinius
Licinius Nomex Orbital Transfer Station,Station de transfert Licinius
Constantine,Constantine
Liberty,Liberty
Liberty Independent Settlement,Liberty Ville-nouvelle
Liberty NOMEX Docking Station,Station d'amarrage Liberty
Liberty NOMEX Warehouse,Entrepôt Liberty
Liberty Government System Administration,Administration du système
Liberty Military System Defence Station,Commandement de défense du système
Liberty Police Base,Quartier général de police Liberty
Liberty City,Liberty-ville
Liberty Waystation,Gare Liberty
Liberty System Defense Station,Station de défense du système
Liberty Marshalling Yard,Centre de triage Liberty
Liberty MAAS Docking Station,Station d'amarrage Maas
Liberty MAAS Warehousing,Entrepôts Maas
Liberty Network54 Transmission Station,Transmetteur Network 159
Liberty Infonet Transmission Station,Transmetteur InfiroNet Liberty
Libery Beanstalk,Ascenseur Liberty
Libery Beanstalk,Station de transfert Liberty
Snowball,Snowball
Liberty L-Point,Point-L Liberty
Jump Accelerator,Accélérateur de saut
Super Freighter Service Depot,Dépôt de maintenance de super-transporteurs
Snowball Independent Water Mine,Mine d'eau Snowball
