;,
; Multiplayer Host Session GUI Keys,
;,German
mp_server_map,KARTE



;,
; Localised versions of multiplayer game types,
;,
mp_game_type_ivc,INDIES GEGEN FIRMEN
mp_game_type_mt,DIE MINE
mp_game_type_tmt,DIE MINE (TEAMVARIANTE)
mp_game_type_ctc,KREUZER-FANGEN
; general piracy type,
mp_game_type_gp,PIRATEN


;,
; Rejection info screen title,
;,
mp_rejection_title,ABGELEHNT
;,
; descriptions of rejection by client or server,
;,

mp_reject_server_bad_sim,Server-Sim konnte nicht erstellt werden: 
mp_reject_server_not_a_sim,Server-Sim konnte nicht erstellt werden - Falsche Klasse
mp_reject_server_wrong_version,Client-Version mit Server nicht kompatibel
mp_reject_server_player_invalid,Spieler kann dem Server nicht beitreten
mp_reject_server_admin_reject,
mp_reject_client_wrong_version,Server- und Clientversion sind inkompatibel
mp_reject_client_bad_world,Welt konnte nicht erstellt werden: 
mp_reject_client_bad_sim,Client-Proxy konnte nicht erstellt werden: 
mp_reject_client_not_a_sim,Client-Proxy konnte nicht erstellt werden - falsche Klasse
mp_reject_client_unauthorised,Spieler konnte nicht authentifiziert werden: 

;,
; Graphics options,
;,
options_directx8,DirectX8

;,
; Mod screen,
;,
pda_extras,EXTRAS
pda_installed_mods,VERFÜGBARE MODIFIKATIONEN:
pda_installed_missions,VERFÜGBARE SZENARIEN:
pda_play_mission,SZENARIO STARTEN
