modifier_text_inverse,Inversion
modifier_text_ctrl,CTRL
modifier_text_alt,ALT
modifier_text_shift,MAJ
modifier_text_shift1,MAJ 1
modifier_text_shift2,MAJ 2
modifier_text_shift3,MAJ 3
modifier_text_shift4,MAJ 4

;,
; Input mapper device text,
;,
device_text_keyboard,Clavier
device_text_mouse,Souris
device_text_joystick,Joystick


;,
; Input mapper object text,
;,

; Mouse objects,

object_text_mousexaxis,Axe X
object_text_mouseyaxis,Axe Y
object_text_mousezaxis,Molette
object_text_mouseabsxaxis,Axe X (abs.)
object_text_mouseabsyaxis,Axe Y (abs.)
object_text_mousebutton1,Bouton 1
object_text_mousebutton2,Bouton 2
object_text_mousebutton3,Bouton 3
object_text_mousebutton4,Bouton 4

; Joystick objects,

object_text_joyxaxis,Axe X
object_text_joyyaxis,Axe Y
object_text_joyzaxis,Axe Z
object_text_joyuaxis,Gaz
object_text_joyvaxis,Axe V
object_text_joyrxaxis,Rotation sur axe X
object_text_joyryaxis,Rotation sur axe Y
object_text_joyrzaxis,Rotation sur axe Z
object_text_joyruaxis,Gaz
object_text_joyrvaxis,Axe V
object_text_joypov1up,Bouton multidirectionnel haut
object_text_joypov1down,Bouton multidirectionnel bas
object_text_joypov1left,Bouton multidirectionnel gauche
object_text_joypov1right,Bouton multidirectionnel droite
object_text_joypov2up,Bouton multidirectionnel 2 haut
object_text_joypov2down,Bouton multidirectionnel 2 bas
object_text_joypov2left,Bouton multidirectionnel 2 gauche
object_text_joypov2right,Bouton multidirectionnel 2 droite
object_text_joypov3up,Bouton multidirectionnel 3 haut
object_text_joypov3down,Bouton multidirectionnel 3 bas
object_text_joypov3left,Bouton multidirectionnel 3 gauche
object_text_joypov3right,Bouton multidirectionnel 3 droite
object_text_joypov4up,Bouton multidirectionnel 4 haut
object_text_joypov4down,Bouton multidirectionnel 4 bas
object_text_joypov4left,"""Bouton multidirectionnel 4 gauche"""
object_text_joypov4right,"""Bouton multidirectionnel 4 droite"""
object_text_joybutton1,Bouton 1
object_text_joybutton2,Bouton 2
object_text_joybutton3,Bouton 3
object_text_joybutton4,Bouton 4
object_text_joybutton5,Bouton 5
object_text_joybutton6,Bouton 6
object_text_joybutton7,Bouton 7
object_text_joybutton8,Bouton 8
object_text_joybutton9,Bouton 9
object_text_joybutton10,Bouton 10
object_text_joybutton11,Bouton 11
object_text_joybutton12,Bouton 12
object_text_joybutton13,Bouton 13
object_text_joybutton14,Bouton 14
object_text_joybutton15,Bouton 15
object_text_joybutton16,Bouton 16
object_text_joybutton17,Bouton 17
object_text_joybutton18,Bouton 18
object_text_joybutton19,Bouton 19
object_text_joybutton20,Bouton 20
object_text_joybutton21,Bouton 21
object_text_joybutton22,Bouton 22
object_text_joybutton23,Bouton 23
object_text_joybutton24,Bouton 24
object_text_joybutton25,Bouton 25
object_text_joybutton26,Bouton 26
object_text_joybutton27,Bouton 27
object_text_joybutton28,Bouton 28
object_text_joybutton29,Bouton 29
object_text_joybutton30,Bouton 30
object_text_joybutton31,Bouton 31
object_text_joybutton32,Bouton 32

;,
; Input mapper key text,
;,

key_text_escape,ECHAP
key_text_1,&
key_text_2,é
key_text_3,""""
key_text_4,'
key_text_5,(
key_text_6,-
key_text_7,è
key_text_8,_
key_text_9,ç
key_text_0,à
key_text_minus,)
key_text_equals,=
key_text_backspace,Retour arrière
key_text_tab,TAB
key_text_Q,A
key_text_W,Z
key_text_E,E
key_text_R,R
key_text_T,T
key_text_Y,Y
key_text_U,U
key_text_I,I
key_text_O,O
key_text_P,P
key_text_leftbracket,^
key_text_rightbracket,$
key_text_return,Entrée
key_text_leftcontrol,CTRL gauche
key_text_A,Q
key_text_S,S
key_text_D,D
key_text_F,F
key_text_G,G
key_text_H,H
key_text_J,J
key_text_K,K
key_text_L,L
key_text_semicolon,M
key_text_apostrophe,ù
key_text_backquote,*
key_text_leftshift,MAJ gauche
key_text_backslash,<
key_text_Z,W
key_text_X,X
key_text_C,C
key_text_V,V
key_text_B,B
key_text_N,N
key_text_M,","
key_text_comma,;
key_text_dot,:
key_text_slash,!
key_text_rightshift,MAJ droit
key_text_numpadstar,* Pavé num.
key_text_leftalt,ALT gauche
key_text_space,Espace
key_text_capslock,VERR. MAJ
key_text_F1,F1
key_text_F2,F2
key_text_F3,F3
key_text_F4,F4
key_text_F5,F5
key_text_F6,F6
key_text_F7,F7
key_text_F8,F8
key_text_F9,F9
key_text_F10,F10
key_text_numlock,Verr. num.
key_text_scrolllock,Arrêt défil.
key_text_numpad7,7 Pavé num.
key_text_numpad8,8 Pavé num.
key_text_numpad9,9 Pavé num.
key_text_numpadminus,- Pavé num.
key_text_numpad4,4 Pavé num.
key_text_numpad5,5 Pavé num.
key_text_numpad6,6 Pavé num.
key_text_numpadplus,+ Pavé num.
key_text_numpad1,1 Pavé num.
key_text_numpad2,2 Pavé num.
key_text_numpad3,3 Pavé num.
key_text_numpad0,0 Pavé num.
key_text_numpaddot,. Pavé num.
key_text_F11,F11
key_text_F12,F12
key_text_F13,F13
key_text_F14,F14
key_text_F15,F15
key_text_kana,Kana
key_text_convert,Convertir
key_text_noconvert,Ne pas convertir
key_text_yen,Yen
key_text_numpadequals,= Pavé num.
key_text_circumflex,6
key_text_at,%
key_text_colon,Maj + M
key_text_underline,°
key_text_kanji,Kanji
key_text_stop,Arrêt
key_text_ax,Ax
key_text_unlabelled,Sans étiquette
key_text_numpadreturn,Entrée Pavé num.
key_text_rightcontrol,CTRL droit
key_text_numpadcomma,", Pavé num."
key_text_numpadslash,/ Pavé num.
key_text_printscreen,Impr. écran
key_text_pause,Pause
key_text_rightalt,ALT droit
key_text_home,Début
key_text_up,Flèche haut
key_text_pageup,Page Pr
key_text_left,Flèche gauche
key_text_right,Flèche droite
key_text_end,Fin
key_text_down,Flèche bas
key_text_pagedown,Page Sv
key_text_insert,Inser
