; FILE: Djafs_dialogue_addendum.csv,
; Key,GERMAN TRANSLATION
;,
jafs_dialogue_after_you_1,"In Ordnung, Cal, ich lade die Fuhre ein, wenn du angedockt hast."
jafs_dialogue_after_you_2,"Ich lade ein, wenn du angedockt hast."
jafs_dialogue_after_you_3,"Wozu die Eile, Cal ? Ich lade ein, wenn ich bereit bin."
jafs_dialogue_after_you_4,Überlass das mir. Flieg schon mal vor.

jafs_dialogue_im_busy_1,"Immer mit der Ruhe, Cal! Ich mach ja schon, so schnell ich kann."
jafs_dialogue_im_busy_2,Ich hab gerade zu tun. Warte einen Moment.
jafs_dialogue_im_busy_3,"Na klar, ich kann ja auch alles auf einmal machen! Du wirst dich leider gedulden müssen."
jafs_dialogue_im_busy_4,"Warte, ich bin gerade beschäftigt."
,
jafs_load_up_starting_1,Ich lade ein.
jafs_load_up_starting_2,"Also, Cal, was bringst du mir denn heute Schönes?"
jafs_load_up_starting_3,Die Ladung kommt - schon unterwegs.
jafs_load_up_starting_4,Ladevorgang eingeleitet.
,
jafs_load_up_poor_1,Was zum Teufel willst du denn damit?
jafs_load_up_poor_2,"He, Cal, wir sind Piraten, keine Schrotthändler!"
jafs_load_up_poor_3,"Oh Mann, mit solchem Müll sollte ich mich nicht abgeben."
jafs_load_up_poor_4,Und für diesen Schrott holst du mich hierher?
,
jafs_load_up_medium_1,"He, für das Zeug krieg' ich vielIeicht sogar was."
jafs_load_up_medium_2,"Cal, wann beschaffst du uns denn mal was Wertvolles?"
jafs_load_up_medium_3,Wir werden uns damit zufrieden geben müssen.
jafs_load_up_medium_4,"Nicht gerade außergewöhnlich, das Zeug."
,
jafs_load_up_good_1,Oooh... Fette Beute!
jafs_load_up_good_2,Treffer!
jafs_load_up_good_3,"Diesmal sind wir auf Gold gestoßen, Mann."
jafs_load_up_good_4,"Auf, auf ihr kleinen Kapseln, kommt zu Papa."
,
jafs_load_up_animals_1,"Mach ruhig einen Zoo auf, Cal, aber mich bringst du nicht dazu, den verdammten Laderaum auszumisten."

jafs_gerroff_1,"He, lass das, Cal!"
jafs_gerroff_2,"Treibs nicht zu weit, Cal!"
jafs_gerroff_3,Nur weiter so - schieß den alten Jafs ruhig ab. Du Idiot.
,
jafs_runs_from_cal_1,Hol dir deine verdammte Ladung doch selbst. Ich hau' ab.
jafs_runs_from_cal_2,Für deine Zielübungen kannst du dir jemand anders suchen.
jafs_runs_from_cal_3,"Was glaubst du eigentlich, wer du bist, Cal – Caleb Maas?!"
,
jafs_runs_from_them_1,"Mir ist's hier zu heiß, verdammt nochmal. Machts gut, ja!"
jafs_runs_from_them_2,Das gefällt mir ganz und gar nicht. Ich verzieh' mich!
jafs_runs_from_them_3,"Vielleicht bin ich ja feige, aber zumindest bin ich noch am Leben!"
,
Jafs_bottles_out_1,"Du kriegst mich nicht da raus! Das sieht gefährlich aus, Mann!"
Jafs_bottles_out_2,"Wenn du dafür sorgst, dass es sicher ist, hol' ich vielleicht auch die Kapseln."
Jafs_bottles_out_3,"Spielen deine Sensoren verrückt, Cal? Das ist gefährlich!"
