a0_m10_mission_name,Zu Hause
a0_m10_objectives_approach_clay,Clays Streckenpunkt anfliegen
a0_m10_objectives_approach_lesson,"Autopilot 'Anflug' mit einem Ziel einsetzen"
a0_m10_objectives_formate_lesson,"Autopilot 'Formieren' mit einem Ziel einsetzen"
a0_m10_objectives_starmap_lesson,Sternkarte aktivieren
a0_m10_objectives_select_griffon,Griffon auf Sternkarte wählen
a0_m10_objectives_fly_to,Nach Griffon fliegen
a0_m10_objectives_fly_to_effrit,Zum Effrit fliegen
a0_m10_objectives_follow_waypoints,Den Streckenpunkten zu Lucrecias Basis folgen
;,

;,
a0_m20_mission_name,Bewährungsprobe
a0_m20_objectives_complete_course, Trainingskurs in unter 3 Minuten absolvieren
;,

;,
a0_m35_mission_name,Große Tour
;,

;,
a0_m40_mission_name,Botenjunge
a0_m40_objectives_visit,Spielman in der Frachterstation von Charlesworth besuchen
a0_m40_objectives_meet_freight,Paket am L-Punkt von Alexander abholen
a0_m40_objectives_deliver_package,Paket an Junkers liefern
a0_m40_objectives_collect,Belohnung von Spielman abholen
a0_m40_objectives_intercept,Belrano bei Griffon abfangen
a0_m40_objectives_return,Gestohlene Ware an Spielman zurückgeben
;,

;,
a0_m50_mission_name,Schrottplatz-Rallye
a0_m50_objectives_scout,Schrottplatz auskundschaften
a0_m50_objectives_sneak,Auf Schrottplatz schleichen und an Reaktor andocken
a0_m50_objectives_return,Brennstäbe sicher zum Stützpunkt bringen
;,

;,
a0_m60_mission_name,Nemesis
a0_m60_objectives_recover,Drohne aus Felix' Garage bergen
;,

;,
a1_master_mission_name,Erster Akt
a1_m00_mission_name,Kinderspiel
a1_m00_objective_checkout,Notsignal am Rande des Effrit untersuchen
;,

;,
a1_m01_mission_name,Gesprengte Ketten
a1_m01_objective_change_iff,IFF-Sender bei Maurice austauschen
a1_m01_objective_find_base,Lucrecias Basis finden
;,

;,
a1_m02_mission_name,Die Stepsons
a1_m02_objective_visit,Stepsons beim Treffpunkt besuchen
a1_m02_objective_steal,Maas Schiffsladeliste vom Kurier am Touchdown-L-Punkt erbeuten
a1_m02_objective_recover,Schiffsladeliste aus der Sammelstation I von Grimwald bergen 
a1_m02_objective_deliver,Schiffsladeliste an die Stepsons übergeben
;,

;,
a1_m03_mission_name,Vereinte Kräfte
a1_m03_objectives_rendezvous,Angriffsflotte treffen
a1_m03_objectives_destroy,Marauderstützpunkt zerstören
a1_m03_objectives_return,"Zu den Stepsons zurückkehren, um Belohnung zu holen"
;,

;,
a1_m04_mission_name,Der Fang
a1_m04_objectives_meet,Stepsons-Informant treffen
a1_m04_objectives_get_iff,Passenden IFF vom Schrottplatz holen
a1_m04_objectives_redez,Jafs am Treffpunkt aufsuchen
a1_m04_objectives_dock,Bei Jafs andocken und zur Maas Einrichtung fliegen
a1_m04_objectives_recover,Jäger aus Sicherheitsstation bergen
a1_m04_objectives_make_sure,Jafs' Abzug vom Stützpunkt sichern
;,

;,
a1_m05_mission_name,Frachteinheit der Marauder
a1_m05_objectives_meet,E. R. Oregon bei Asteroidenmine treffen
a1_m05_objectives_checkout,Minensender-Punkt untersuchen
;,

;,
a1_m06_mission_name,Ärger mit den Gunstars
a1_m06_objective_travel_to_base,Zur militärischen FTL-Relaisstation fliegen
a1_m06_objective_dock_to_base,An Station andocken
a1_m06_objective_retrieve_arming_keys,Gunstar-Codes bergen
a1_m06_objective_disarm_gunstars,Gunstars entschärfen
a1_m06_objective_call_in_freighter,Jafs zum Einsammeln der Gunstars rufen
;,

;,
a1_m07_mission_name,Kraftprobe
a1_m07_objective_go_to_hoffers,Nach Hoffer's Gap fliegen
a1_m07_objective_arm_gunstars,Gunstars durch Andocken aktivieren
a1_m07_objective_destroy_marauders,Schiffe der Marauder zerstören
a1_m07_objective_defend_hoffers_gap,Hoffer's Gap verteidigen
;,

;,
a1_m08_mission_name,League-Einstand
a1_m08_objectives_meet,League am Streckenpunkt treffen
a1_m08_objectives_goto,Zum Dock der militärischen Systemverteidigung in Memnon fliegen
a1_m08_objectives_spray,Flaggschiff besprühen
;,

;,
a1_m09_mission_name,Baustelle
a1_m09_objectives_meet,League am Streckenpunkt treffen
a1_m09_objectives_travel,Zum Standort der Wartungsplattform fliegen
a1_m09_objectives_cut,Unterkunftsmodul mit Schneidedrohne von Station trennen
a1_m09_objectives_lor,Wartungsplattform zur League zurückbringen
;,

;,
a1_m10_mission_name,Lucrecias Schatz
a1_m10_objectives_find,Bill Dulley in Hoffers Werft finden
a1_m10_objectives_invest,In Hoffers Freizeitkomplex Schlüssel ausfindig machen
a1_m10_objectives_calculate,Genauen Standort von Lucrecias Schatz mit Computerprogramm berechnen
a1_m10_objectives_formate,In Formation mit NSO-Schiff zum Standort des Schatzes fliegen
a1_m10_objectives_recover,Schatz und Mannschaft bergen
a1_m10_objectives_fail,Einsatz gescheitert: Besatzung getötet
;,



;,
a2_master_mission_name,Zweiter Akt
a2_master_objectives_look_help,"Hilfe suchen, um Marauder in anderen Systemen zu bekämpfen"
a2_master_objectives_talk_jackson,Mit Frederick Jackson auf Jacksons Hof bei Penacook reden
a2_master_objectives_firefrost1,"Blue Note-Club bei Hyrokkin Beta, einem Planeten beim Firefrost-III-Stern, besuchen"
a2_master_objectives_firefrost2,Mit dem Sheriff in der Systemverwaltung bei Sunflower sprechen
a2_master_objectives_find_pilots,Genügend Piloten zum Einsatz der MCA-Schiffe finden
a2_master_objectives_leader,Clays Mutmaßungen in Jacksons Hof nachgehen
;,

;,
a2_m01_mission_name,Schadensbegrenzung
